"ID","NAME","STATUS","PREFIXES AS URL","PREFIXES AS LRU","HOME PAGE","START PAGES","CRAWLED","CRAWLING STATUS","INDEXING STATUS","INDEGREE","OUTDEGREE","NEIGHBOORS COUNT","TOTAL KNOWN PAGES","CRAWLED PAGES","CREATION TIMESTAMP","CREATION DATE","LAST MODIFICATION TIMESTAMP","LAST MODIFICATION DATE","Crawl Source (TAGS)","forme éditoriale (TAGS)","acteur (TAGS)","mergedWebEntities (TECHNICAL INFO)","recrawlNeeded (TECHNICAL INFO)","createdBy (TECHNICAL INFO)"
"82","Jacquesgenereux.fr","IN","http://jacquesgenereux.fr http://www.jacquesgenereux.fr https://jacquesgenereux.fr https://www.jacquesgenereux.fr","s:https|h:fr|h:jacquesgenereux| s:https|h:fr|h:jacquesgenereux|h:www| s:http|h:fr|h:jacquesgenereux| s:http|h:fr|h:jacquesgenereux|h:www|","http://jacquesgenereux.fr","http://jacquesgenereux.fr http://jacquesgenereux.fr/news/pourquoi-je-quitte-le-ps http://www.jacquesgenereux.fr https://jacquesgenereux.fr https://www.jacquesgenereux.fr","true","FINISHED","FINISHED","11","97","104","1023","88","1649241376234","2022-04-06T10:36:16.234Z","1649328520646","2022-04-07T10:48:40.646Z","archivesinternet.bnf.fr","site","militant","","",""
"92","Guengl.eu","IN","http://guengl.eu http://www.guengl.eu https://guengl.eu https://www.guengl.eu","s:https|h:eu|h:guengl| s:https|h:eu|h:guengl|h:www| s:http|h:eu|h:guengl| s:http|h:eu|h:guengl|h:www|","http://www.guengl.eu/showPage.jsp","http://guengl.eu http://www.guengl.eu http://www.guengl.eu/showPage.jsp http://www.guengl.eu/showPage.jsp?ID=1 http://www.guengl.eu/showPage.php?ID=9850&LANG=2&FORCELANG=1 http://www.guengl.eu/showPage.php?ID=9856&LANG=2&FORCELANG=1 https://guengl.eu https://www.guengl.eu","true","FINISHED","FINISHED","8","6","14","155","122","1649247680281","2022-04-06T12:21:20.281Z","1649328331511","2022-04-07T10:45:31.511Z","archivesinternet.bnf.fr","site","formation politique","","",""
"99","Gabrielamard.fr","IN","http://gabrielamard.fr http://www.gabrielamard.fr https://gabrielamard.fr https://www.gabrielamard.fr","s:https|h:fr|h:gabrielamard| s:https|h:fr|h:gabrielamard|h:www| s:http|h:fr|h:gabrielamard| s:http|h:fr|h:gabrielamard|h:www|","http://www.gabrielamard.fr","http://gabrielamard.fr http://www.gabrielamard.fr http://www.gabrielamard.fr/index.php?option=com_content&view=article&id=51&Itemid=103 http://www.gabrielamard.fr/pdf/commandeLivre.pdf https://gabrielamard.fr https://www.gabrielamard.fr","true","FINISHED","FINISHED","11","43","47","279","45","1649247753622","2022-04-06T12:22:33.622Z","1649320475265","2022-04-07T08:34:35.265Z","Live Web + archivesinternet.bnf.fr","blog","professionnel de la politique","","",""
"102","Olivier-Dartigolles.com","IN","http://olivier-dartigolles.com http://www.olivier-dartigolles.com https://olivier-dartigolles.com https://www.olivier-dartigolles.com","s:https|h:com|h:olivier-dartigolles| s:https|h:com|h:olivier-dartigolles|h:www| s:http|h:com|h:olivier-dartigolles| s:http|h:com|h:olivier-dartigolles|h:www|","http://www.olivier-dartigolles.com","http://olivier-dartigolles.com http://www.olivier-dartigolles.com http://www.olivier-dartigolles.com/?post%2F2011%2F09%2F22%2FTroy-Davis-a-%C3%A9t%C3%A9-%C3%A9x%C3%A9cut%C3%A9. http://www.olivier-dartigolles.com/?post%2F2011%2F09%2F25%2FOn-continue. http://www.olivier-dartigolles.com/?post%2F2011%2F09%2F27%2FDe-l-usine-au-conseil-de-s%C3%A9curit%C3%A9-de-l-Onu. https://olivier-dartigolles.com https://www.olivier-dartigolles.com","true","FINISHED","FINISHED","3","35","37","1777","90","1649247753622","2022-04-06T12:22:33.622Z","1649335186986","2022-04-07T12:39:46.986Z","archivesinternet.bnf.fr","blog","professionnel de la politique","","",""
"104","Twitter.com /LePartideGauche","IN","http://twitter.com/LePartideGauche http://www.twitter.com/LePartideGauche https://twitter.com/LePartideGauche https://www.twitter.com/LePartideGauche","s:https|h:com|h:twitter|h:www|p:LePartideGauche| s:https|h:com|h:twitter|p:LePartideGauche| s:http|h:com|h:twitter|h:www|p:LePartideGauche| s:http|h:com|h:twitter|p:LePartideGauche|","http://twitter.com/LePartideGauche","http://twitter.com/LePartideGauche http://www.twitter.com/LePartideGauche https://twitter.com/LePartideGauche https://www.twitter.com/LePartideGauche","true","FINISHED","FINISHED","2","155","156","76","32","1649247757745","2022-04-06T12:22:37.745Z","1649327910157","2022-04-07T10:38:30.157Z","archivesinternet.bnf.fr","réseau social","formation politique","","",""
"111","Romain-Jammes.fr","IN","http://romain-jammes.fr http://www.romain-jammes.fr https://romain-jammes.fr https://www.romain-jammes.fr","s:https|h:fr|h:romain-jammes| s:https|h:fr|h:romain-jammes|h:www| s:http|h:fr|h:romain-jammes| s:http|h:fr|h:romain-jammes|h:www|","http://www.romain-jammes.fr","http://romain-jammes.fr http://www.romain-jammes.fr http://www.romain-jammes.fr/?p=1301 http://www.romain-jammes.fr/?p=1330 http://www.romain-jammes.fr/?p=1667 https://romain-jammes.fr https://www.romain-jammes.fr","true","FINISHED","FINISHED","5","0","5","6","3","1649247761047","2022-04-06T12:22:41.047Z","1649338881183","2022-04-07T13:41:21.183Z","archivesinternet.bnf.fr","blog","militant","","",""
"156","Eric-Coquerel.fr","IN","http://eric-coquerel.fr http://www.eric-coquerel.fr https://eric-coquerel.fr https://www.eric-coquerel.fr","s:https|h:fr|h:eric-coquerel| s:https|h:fr|h:eric-coquerel|h:www| s:http|h:fr|h:eric-coquerel| s:http|h:fr|h:eric-coquerel|h:www|","http://www.eric-coquerel.fr","http://eric-coquerel.fr http://www.eric-coquerel.fr http://www.eric-coquerel.fr/?p=297 http://www.eric-coquerel.fr/?p=539 http://www.eric-coquerel.fr/?p=714 http://www.eric-coquerel.fr/?p=736 https://eric-coquerel.fr https://www.eric-coquerel.fr","true","FINISHED","FINISHED","8","18","21","75","71","1649247868469","2022-04-06T12:24:28.469Z","1649328116423","2022-04-07T10:41:56.423Z","archivesinternet.bnf.fr","blog","professionnel de la politique","","",""
"166","Penseelibre.fr","IN","http://penseelibre.fr http://www.penseelibre.fr https://penseelibre.fr https://www.penseelibre.fr","s:https|h:fr|h:penseelibre| s:https|h:fr|h:penseelibre|h:www| s:http|h:fr|h:penseelibre| s:http|h:fr|h:penseelibre|h:www|","http://www.penseelibre.fr","http://www.penseelibre.fr","true","FINISHED","FINISHED","13","182","184","1512","76","1649247914906","2022-04-06T12:25:14.906Z","1649328939381","2022-04-07T10:55:39.381Z","archivesinternet.bnf.fr","site","militant","","",""
"170","Francoisdelapierre.fr","IN","http://francoisdelapierre.fr http://www.francoisdelapierre.fr https://francoisdelapierre.fr https://www.francoisdelapierre.fr","s:https|h:fr|h:francoisdelapierre| s:https|h:fr|h:francoisdelapierre|h:www| s:http|h:fr|h:francoisdelapierre| s:http|h:fr|h:francoisdelapierre|h:www|","http://www.francoisdelapierre.fr","http://blog.francoisdelapierre.fr http://francoisdelapierre.fr http://www.francoisdelapierre.fr http://www.francoisdelapierre.fr/me-contacter/ https://francoisdelapierre.fr https://www.francoisdelapierre.fr","true","FINISHED","FINISHED","13","10","21","151","45","1649247914906","2022-04-06T12:25:14.906Z","1649320475400","2022-04-07T08:34:35.400Z","Live Web + archivesinternet.bnf.fr","blog","professionnel de la politique","","",""
"173","fatimabenomar.Wordpress.com","IN","http://fatimabenomar.wordpress.com http://www.fatimabenomar.wordpress.com https://fatimabenomar.wordpress.com https://www.fatimabenomar.wordpress.com","s:https|h:com|h:wordpress|h:fatimabenomar| s:https|h:com|h:wordpress|h:fatimabenomar|h:www| s:http|h:com|h:wordpress|h:fatimabenomar| s:http|h:com|h:wordpress|h:fatimabenomar|h:www|","http://fatimabenomar.wordpress.com","http://fatimabenomar.wordpress.com http://www.fatimabenomar.wordpress.com https://fatimabenomar.wordpress.com https://www.fatimabenomar.wordpress.com","true","FINISHED","FINISHED","5","81","82","435","28","1649247914906","2022-04-06T12:25:14.906Z","1649327776307","2022-04-07T10:36:16.307Z","archivesinternet.bnf.fr","blog","professionnel de la politique","","",""
"196","Blogfinel.com","IN","http://blogfinel.com http://www.blogfinel.com https://blogfinel.com https://www.blogfinel.com","s:https|h:com|h:blogfinel| s:https|h:com|h:blogfinel|h:www| s:http|h:com|h:blogfinel| s:http|h:com|h:blogfinel|h:www|","http://www.blogfinel.com","http://blogfinel.com http://www.blogfinel.com https://blogfinel.com https://www.blogfinel.com","true","FINISHED","FINISHED","6","10","14","1614","176","1649248024854","2022-04-06T12:27:04.854Z","1649328072399","2022-04-07T10:41:12.399Z","archivesinternet.bnf.fr","blog","professionnel de la politique","","",""
"197","Alexis-Corbiere.com","IN","http://alexis-corbiere.com http://alexis-corbiere.fr http://alexiscorbiere.fr http://www.alexis-corbiere.com https://alexis-corbiere.com https://alexis-corbiere.fr https://alexiscorbiere.fr https://www.alexis-corbiere.com https://www.alexis-corbiere.fr https://www.alexiscorbiere.fr","s:https|h:com|h:alexis-corbiere| s:https|h:com|h:alexis-corbiere|h:www| s:https|h:fr|h:alexis-corbiere| s:https|h:fr|h:alexis-corbiere|h:www| s:https|h:fr|h:alexiscorbiere| s:https|h:fr|h:alexiscorbiere|h:www| s:http|h:com|h:alexis-corbiere| s:http|h:com|h:alexis-corbiere|h:www| s:http|h:fr|h:alexis-corbiere| s:http|h:fr|h:alexiscorbiere|","http://alexis-corbiere.com","http://alexiscorbiere.fr http://www.alexis-corbiere.fr http://www.alexiscorbiere.fr http://www.alexiscorbiere.fr https://alexiscorbiere.fr https://www.alexiscorbiere.fr","true","FINISHED","FINISHED","18","148","153","1613","139","1649248024854","2022-04-06T12:27:04.854Z","1649335509946","2022-04-07T12:45:09.946Z","archivesinternet.bnf.fr","blog","professionnel de la politique","154: Alexis-Corbiere.fr (IN)|916: Alexiscorbiere.fr (IN)","true",""
"198","Martine-Billard.fr","IN","http://martine-billard.fr http://martinebillard-blog.org http://www.martine-billard.fr https://martine-billard.fr https://martinebillard-blog.org https://www.martine-billard.fr https://www.martinebillard-blog.org","s:https|h:fr|h:martine-billard| s:https|h:fr|h:martine-billard|h:www| s:https|h:org|h:martinebillard-blog| s:https|h:org|h:martinebillard-blog|h:www| s:http|h:fr|h:martine-billard| s:http|h:fr|h:martine-billard|h:www| s:http|h:org|h:martinebillard-blog|","http://www.martine-billard.fr","http://martine-billard.fr http://martinebillard-blog.org http://www.martine-billard.fr http://www.martine-billard.fr/?mid=5756 http://www.martinebillard-blog.org http://www.martinebillard-blog.org http://www.martinebillard-blog.org/index.php?2009%2F07%2F08%2F346-pourquoi-je-demissionne-des-verts https://martine-billard.fr https://martinebillard-blog.org https://www.martine-billard.fr https://www.martinebillard-blog.org","true","FINISHED","FINISHED","15","94","105","1101","97","1649248024854","2022-04-06T12:27:04.854Z","1649335898863","2022-04-07T12:51:38.863Z","Live Web + archivesinternet.bnf.fr","blog","professionnel de la politique","85: Martinebillard-Blog.org (IN)","true",""
"199","Raquel-Garrido.net","IN","http://raquel-garrido.net http://www.raquel-garrido.net https://raquel-garrido.net https://www.raquel-garrido.net","s:https|h:net|h:raquel-garrido| s:https|h:net|h:raquel-garrido|h:www| s:http|h:net|h:raquel-garrido| s:http|h:net|h:raquel-garrido|h:www|","http://www.raquel-garrido.net","http://raquel-garrido.net http://www.raquel-garrido.net https://raquel-garrido.net https://www.raquel-garrido.net","true","FINISHED","FINISHED","3","37","39","116","18","1649248024854","2022-04-06T12:27:04.854Z","1649335199190","2022-04-07T12:39:59.190Z","archivesinternet.bnf.fr","site","professionnel de la politique","","",""
"221","Despasperdus.com","IN","http://despasperdus.com http://www.despasperdus.com https://despasperdus.com https://www.despasperdus.com","s:https|h:com|h:despasperdus| s:https|h:com|h:despasperdus|h:www| s:http|h:com|h:despasperdus| s:http|h:com|h:despasperdus|h:www|","http://www.despasperdus.com","http://despasperdus.com http://www.despasperdus.com http://www.despasperdus.com/index.php?post%2F2009%2F12%2F10%2Fle-monde-des-bisounours-du-MoDem http://www.despasperdus.com/index.php?post%2F2010%2F01%2F20%2Fle-social-lib%C3%A9ralisme-bat-%28d%C3%A9j%C3%A0%29-en-retraite http://www.despasperdus.com/index.php?post%2F2010%2F03%2F01%2FConcert-collectif-coop%C3%A9ratif-pour-La-Coop%C3%A9rative http://www.despasperdus.com/index.php?post%2F2010%2F10%2F13%2Fquand-l-autre-gauche-est-au-pouvoir... https://despasperdus.com https://www.despasperdus.com","true","FINISHED","FINISHED","12","170","176","1053","87","1649248121117","2022-04-06T12:28:41.117Z","1649328098196","2022-04-07T10:41:38.196Z","archivesinternet.bnf.fr","site","militant","","",""
