year,key,indegree,totalKnownPages,count
2012,site,380,152830,41
2012,blog,253,36165,44
2012,réseau social,9,129,4
2012,site,380,152830,41
2017,site,305,294476,51
2012,blog,253,36165,44
2017,blog,6,13357,4
2012,réseau social,9,129,4
2017,réseau social,420,10310,59
2017,plateforme vidéo,12,24,2
2012,site,380,152830,41
2017,site,305,294476,51
2022,site,224,115512,30
2012,blog,253,36165,44
2017,blog,6,13357,4
2022,blog,32,49974,8
2012,réseau social,9,129,4
2017,réseau social,420,10310,59
2022,réseau social,217,2304,90
2017,plateforme vidéo,12,24,2
2022,pas de clé,57,5124,14
