"URL de départ";"Fréquence";"Profondeur";"Typologie";"Type d'élections";"Niveau géographique";"Parti";"Candidat";"Autres mots clés";"Historique des URL"
"http://100p100.agauche.free.fr";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"régionales";"Midi-Pyrénées";"LCR";;;
"http://100p100.agauche.free.fr";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"européennes";"Midi-Pyrénées";"LCR";"Sanchez Lucien";;
"http://195.101.101.217/siteprotected/siteprotected/includ/Sitemjs/SitePublic/";"Hebdomadaire";"non disponible";"Sites des formations politiques";"régionales";"Midi-Pyrénées";"PS";;;
"http://2004.scrutins.net/r2004";"Avant scrutin et après scrutin";"non disponible";;"européennes";"Est (Alsace, Bourgogne, Champagne-Ardenne, Franche-Comté, Lorraine)";;;;
"http://216.71.173.124/M-N-R/www.m-n-r.com/Index.htm";"Hebdomadaire";"non disponible";"Sites des formations politiques";"régionales";"national";"MNR";;;
"http://216.71.173.124/M-N-R/www.m-n-r.com/Index.htm";"Hebdomadaire";"non disponible";"Sites des formations politiques";"européennes";"national";"MNR";"Mégret Bruno";;
"http://acrimed.samizdat.net";"avant le 1er tour, entre les 2 tours, après le 2e tour";"non disponible";"Annuaires, observatoires et analyses";"régionales";"national";;;;
"http://acrimed.samizdat.net";"Avant scrutin et après scrutin";"non disponible";"Annuaires, observatoires et analyses";"européennes";"national";;;;
"http://ademonice.free.fr";"Une seule fois";"non disponible";"Associations, syndicats et autres organisations";"régionales";"PACA";;;;
"http://adminet.com/poli/reg2004/";"Hebdomadaire";"non disponible";"Annuaires, observatoires et analyses";"régionales";"national";;;;
"http://adsav.free.fr";"Avant scrutin et après scrutin";"non disponible";;"européennes";"Ouest (Bretagne, Pays-de-la-Loire, Poitou-Charentes)";;;;
"http://agauchepourrhonealpes.com";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"régionales";"Rhône-Alpes";"Union Gauche";;;
"http://agirvite.free.fr";"Une seule fois";"non disponible";;"régionales";"national";;;;
"http://agirvite.free.fr";"Avant scrutin et après scrutin";"non disponible";;"européennes";"national";;;;
"http://alain.kerherve.free.fr";"Avant scrutin et après scrutin";"non disponible";;"européennes";"national";;;;
"http://alainkrivine.free.fr";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"européennes";"Sud-Ouest (Aquitaine, Languedoc-Roussillon, Midi-Pyrénées)";"LCR";"Krivine Alain";;
"http://alainpersia.free.fr";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"régionales";"PACA";"Autre";;;
"http://alainpersia.free.fr";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"européennes";"PACA";"Autre";"Persia Alain";;
"http://alainpersia.free.fr/paca";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"régionales";"PACA";"Autre";;;
"http://alphavert.net";"avant le 1er tour, entre les 2 tours, après le 2e tour";"non disponible";;"régionales";"national";"Les Verts";;;
"http://alsace.mei-fr.org";"Hebdomadaire";"non disponible";"Sites des formations politiques";"régionales";"Alsace";"MEI";;;
"http://alsace.mei-fr.org";"Hebdomadaire";"non disponible";"Sites des formations politiques";"européennes";"Alsace";"MEI";;;
"http://alsace.parti-federaliste.org";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"régionales";"Alsace";"Parti régionaux";;;
"http://alsace.parti-federaliste.org";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"européennes";"Alsace";"Parti régionaux";"Grauss Pascale";;
"http://amiens.socialiste.com";"Hebdomadaire";"non disponible";"Sites des formations politiques";"régionales";"Picardie";"PS";;;
"http://amiens.socialiste.com";"Hebdomadaire";"non disponible";"Sites des formations politiques";"européennes";"Picardie";"PS";;;
"http://anarchie.joueb.com/secondaire.shtml";"avant le 1er tour, entre les 2 tours, après le 2e tour";"non disponible";;"régionales";"national";"FN";;;
"http://anarchie.joueb.com/secondaire.shtml";"Avant scrutin et après scrutin";"non disponible";;"européennes";"national";"FN";;;
"http://appeldr.free.fr";"Avant scrutin et après scrutin";"non disponible";"Associations, syndicats et autres organisations";"européennes";"national";;;;
"http://aubert2004.org";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"européennes";"Ouest (Bretagne, Pays-de-la-Loire, Poitou-Charentes)";"Les Verts";"Aubert Marie-Hélène";;
"http://babetphil.free.fr/MENEZ/cinema.html";"Hebdomadaire";"non disponible";"Sites des formations politiques";"européennes";"Île-de-France";"DVD";"Menez Bernard";;
"http://bcreuzer2004.free.fr";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"régionales";"Bretagne";"Autre";"Creuzer Bernard";;
"http://bennahmias2004.org";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"européennes";"Sud-Est (Corse, Provence-Alpes-Côte-d'Azur, Rhône-Alpes)";"Les Verts";"Bennahmias Jean-Luc";;
"http://bix.enix.org";"Avant scrutin et après scrutin";"non disponible";;"européennes";"national";;;;
"http://bloglipietz.net";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"européennes";"Île-de-France";"Les Verts";"Lipietz Alain";;
"http://bn-alternative.org";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"régionales";"Basse-Normandie";"Autre";;;
"http://bourgogne.mei-fr.org";"Hebdomadaire";"non disponible";"Sites des formations politiques";"régionales";"Bourgogne";"MEI";;;
"http://bourgogne.mei-fr.org";"Hebdomadaire";"non disponible";"Sites des formations politiques";"européennes";"Bourgogne";"MEI";;;
"http://bretagneverteunieetsolidaire.org";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"régionales";"Bretagne";"Union Gauche";;;
"http://brunobambois.net";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"européennes";"Est (Alsace, Bourgogne, Champagne-Ardenne, Franche-Comté, Lorraine)";"Autre";;;
"http://cagi.kimoun.com";"Une seule fois";"non disponible";"Annuaires, observatoires et analyses";"régionales";"DOM-TOM";;;;
"http://cagi.kimoun.com";"Avant scrutin et après scrutin";"non disponible";"Annuaires, observatoires et analyses";"européennes";"DOM-TOM";;;;
"http://chicheweb.org";"Une seule fois";"non disponible";;"régionales";"national";;;;
"http://chicheweb.org";"Avant scrutin et après scrutin";"non disponible";;"européennes";"national";;;;
"http://christian.guyonvarch.free.fr";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"régionales";"Bretagne";"Parti régionaux";;;
"http://cip-idf.ouvaton.org";"Une seule fois";"non disponible";;"régionales";"Île-de-France";"Autre";;;
"http://citoyen2.lautre.net";"Avant scrutin et après scrutin";"non disponible";;"européennes";"national";"Autre";;;
"http://claire.aymes.free.fr";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"régionales";"PACA";"MEI";"Aymes Claire";;
"http://club.eln.free.fr";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"régionales";"Île-de-France";"PCF";"Gauthier Danielle et al.";;
"http://club.eln.free.fr";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"européennes";"Île-de-France";"PCF";"Gauthier Danielle et al.";;
"http://coherence.chez.tiscali.fr";"avant le 1er tour, entre les 2 tours, après le 2e tour";"non disponible";"Associations, syndicats et autres organisations";"régionales";"national";;;;
"http://coherence.chez.tiscali.fr";"Avant scrutin et après scrutin";"non disponible";"Associations, syndicats et autres organisations";"européennes";"national";;;;
"http://collair.org/regionales";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"régionales";"DOM-TOM";"Parti régionaux";"Gérad Gilbert";;
"http://collectifs.raslfront.info";"Une seule fois";"non disponible";;"régionales";"national";;;;
"http://collectifs.raslfront.info";"Avant scrutin et après scrutin";"non disponible";;"européennes";"national";;;;
"http://collectifs.raslfront.info/article.php3?id_article=2283";"Une seule fois";"non disponible";;"régionales";"national";"FN";;;
"http://collectifs.raslfront.info/IMG/pdf/Rlf31_BLdec03.pdf";"Une seule fois";"non disponible";"Associations, syndicats et autres organisations";"régionales";"Midi-Pyrénées";"Autre";;;
"http://collectifs.raslfront.info/rubrique.php3?id_rubrique=97";"Une seule fois";"non disponible";;"régionales";"Rhône-Alpes";"FN";;;
"http://coordination5962.pieddebiche.fr.eu.org";"Une seule fois";"non disponible";"Associations, syndicats et autres organisations";"régionales";"Nord Pas de Calais";;;;
"http://corsenouvelle.free.fr";"Hebdomadaire";"non disponible";"Sites des formations politiques";"régionales";"Corse";"Parti régionaux";;;
"http://corsenouvelle.free.fr";"Hebdomadaire";"non disponible";"Sites des formations politiques";"européennes";"Corse";"Parti régionaux";;;
"http://courrier.vielocale-viepublique.fr";"Une seule fois";"non disponible";"Annuaires, observatoires et analyses";"régionales";"national";;;;
"http://crci-2004.telmedia.fr";"Une seule fois";"non disponible";"Sites officiels et institutionnels";"régionales";"Nord Pas de Calais";;;;
"http://dawe.h.free.fr/mjs";"Hebdomadaire";"non disponible";"Sites des formations politiques";"européennes";"Est (Alsace, Bourgogne, Champagne-Ardenne, Franche-Comté, Lorraine)";"PS";;;
"http://deboutlafrance.free.fr";"Avant scrutin et après scrutin";"non disponible";"Sites des formations politiques";"européennes";"national";"Parti Souverainiste";;;
"http://decrypt.politique.free.fr";"Une seule fois";"non disponible";;"régionales";"national";;;;
"http://decrypt.politique.free.fr";"Avant scrutin et après scrutin";"non disponible";;"européennes";"national";;;;
"http://diffusion-royaliste.site.voila.fr";"Avant scrutin et après scrutin";"non disponible";;"européennes";"national";;;;
"http://documents.verts.ouvaton.org";"Une seule fois";"non disponible";"Sites des formations politiques";"régionales";"Île-de-France";"Les Verts";;;
"http://documents.verts.ouvaton.org";"Avant scrutin et après scrutin";"non disponible";"Sites des formations politiques";"européennes";"Île-de-France";"Les Verts";;;
"http://dromadaire.com/psvaldesaone/accueil";"Hebdomadaire";"non disponible";"Sites des formations politiques";"régionales";"Rhône-Alpes";"PS";;;
"http://dsk.typepad.com";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"régionales";"Bretagne";"PS";;;
"http://dsk.typepad.com";"Hebdomadaire";"non disponible";"Sites des candidats en campagne";"européennes";"Bretagne";"PS";"Strauss-Kahn Dominique";;
"http://dynamique.federale.org/fr";"Avant scrutin et après scrutin";"non disponible";;"européennes";"national";;;;
"http://echo.levillage.org/228/4205.cbb";"Avant scrutin et après scrutin";"non disponible";"Associations, syndicats et autres organisations";"européennes";"national";;;;
"http://ecorev.org";"Une seule fois";"non disponible";;"régionales";"Nord Pas de Calais";;;;
"http://ecorev.org";"Avant scrutin et après scrutin";"non disponible";;"européennes";"Nord Pas de Calais";;;;
