Id,type,total
adn,theme,30446
FIV,theme,24216
genes,theme,122620
chretien,theme,243749
brevets,theme,63095
embryon,theme,28303
clonage,theme,41016
telethon,theme,17787
vache_folle,theme,159688
avortement,theme,88533
bioethique,theme,45776
souches,theme,39037
eugenisme,theme,5989
genome,theme,18962
ogm,theme,4498
transgenetique,theme,23864
bayer,theme,4499
vouzemoi.net,domaine,36158
chiennesdegarde.org,domaine,88401
ladepeche.com,domaine,147795
levillage.org,domaine,8684
chevenement2002.com,domaine,32714
pcf.fr,domaine,44814
topchretien.com,domaine,86307
generation-ecologie.com,domaine,10652
teaser.fr,domaine,6308
senat.fr,domaine,15247
derstandard.at,domaine,12540
presidentielles.net,domaine,31955
assemblee-nationale.fr,domaine,10697
france-sites.com,domaine,1300
mei-fr.org,domaine,3908
samizdat.net,domaine,3261
mhr-viandes.com,domaine,6968
lcr-rouge.org,domaine,12449
journaldunet.com,domaine,5390
largeur.com,domaine,19082
eu.org,domaine,7532
les-verts.org,domaine,10034
fluctuat.net,domaine,2122
wanadoo.fr,domaine,4851
actupp.org,domaine,1677
chevenement.net,domaine,1499
chiracaveclafrance.net,domaine,34475
academie-sciences.fr,domaine,450
lycos.fr,domaine,1741
free.fr,domaine,8207
mauvaisgenres.com,domaine,780
turigoloukoi.com,domaine,89
demlib.com,domaine,12284
gauchestory.com,domaine,38219
raslfront.org,domaine,1274
terredescale.net,domaine,246
touscitoyens.org,domaine,192
u-m-p.org,domaine,16437
infodujour.com,domaine,684
d-l-c.org,domaine,1613
publico.pt,domaine,219
temps-reels.net,domaine,1284
tempspublic.com,domaine,520
nicematin.fr,domaine,1998
reforme.net,domaine,2678
c6r-fr.org,domaine,147
laicite-republique.org,domaine,1044
ouvaton.org,domaine,866
premier-ministre.gouv.fr,domaine,5394
front-national.com,domaine,1824
christineboutin2002.com,domaine,968
citegay.fr,domaine,1178
lesverts-lorraine.org,domaine,340
mrap.asso.fr,domaine,128
online.fr,domaine,1014
parti-du-plaisir.com,domaine,33
csa.fr,domaine,198
liberation.fr,domaine,437
routard.com,domaine,1470
uzine.net,domaine,536
cidem.org,domaine,573
ctanet.fr,domaine,148
radikalweb.com,domaine,88
unite-radicale.com,domaine,634
france2.fr,domaine,311
club-internet.fr,domaine,188
ifrance.com,domaine,143
boycottyes.com,domaine,132
democratie-continue.org,domaine,9938
elysee.fr,domaine,862
gldf.org,domaine,84
hoaxbuster.com,domaine,8
leparisien.com,domaine,218
sos-racaille.org,domaine,44
tiscali.fr,domaine,115
trdd.org,domaine,942
approches-croisees.net,domaine,67
joueb.com,domaine,48
0plus0.com,domaine,464
25lignes.org,domaine,48
issy.com,domaine,102
lemonde.fr,domaine,2405
lentreprise.com,domaine,238
yahoo.com,domaine,50
chiracvsjospin.com,domaine,2093
mpf-villiers.org,domaine,1912
udf.org,domaine,12437
m-n-r.com,domaine,6246
bruno-megret.com,domaine,1074
rpr.asso.fr,domaine,1147
jean-francoismattei.com,domaine,3734
bayrou.net,domaine,31321
mdc-france.org,domaine,1508
lapolitique.com,domaine,2971
ornitho.org,domaine,300
lafrancehumaine.net,domaine,10487
cef.fr,domaine,7593
prochoix.org,domaine,910
voila.fr,domaine,523
tf1.fr,domaine,168
ac-rouen.fr,domaine,108
latribune.fr,domaine,461
plagnol.org,domaine,108
amaurynardone.net,domaine,30
libres.org,domaine,138
sitelibre.com,domaine,36
cgt.fr,domaine,194
chez.com,domaine,300
geocities.com,domaine,140
rajf.org,domaine,80
lexpress.fr,domaine,236
fmd.asso.fr,domaine,8
lepoint.fr,domaine,12
national-hebdo.com,domaine,566
oxymore.com,domaine,50
professionpolitique.com,domaine,866
roger-mei.org,domaine,112
scrutins.net,domaine,90
lioneljospin.net,domaine,4401
spiegel.de,domaine,234
