,domain,id,url,top10
795,pcf.fr,20020318000000/s65kUvSyoUWtVx8X9eYTDw==,http://www.pcf.fr/docs/index2e14.html?iddoc=42&idgd=10,"['maladies', 'pays', 'besoins', 'médicament', 'lindustrie', 'daventis', 'santé', 'pharmaceutique', 'aventis', 'recherche']"
796,les-verts.org,20020318000000/t/rFKthJnFHKZOwvqypVig==,http://www.les-verts.org/communiq/com2000/com0006.html,"['chômeurs', 'presse', 'communiqués', 'sanspapiers', 'communiqué', 'juin', 'retour', 'liste', 'panneaux', 'verts']"
797,lcr-rouge.org,20020318000000/taFn1t0yzsjAvs3GuzH0CA==,http://www.lcr-rouge.org/archives/090700/dansroug.html,"['méfaits', 'persécutées', 'injustifiables', 'arrosé', 'royaux', 'passos', 'deinhorn', 'larroseur', 'cordeiro', 'lessence']"
798,pcf.fr,20020318000000/u+Xe+qZc+cWK1XBNBqD7Ow==,http://www.pcf.fr/docs/indexd47c.html?iddoc=98&iddos=26&idcol=22&cpt=30,"['transfert', 'bioéthique', 'scientifiques', 'révision', 'thérapeutique', 'visée', 'clonage', 'pcf', 'collège', 'exécutif']"
799,pcf.fr,20020318000000/uT/JQQzIuOYrMfRzGR/zrw==,http://www.pcf.fr/docs/index530b.html?iddoc=98&iddos=26&idcol=22&cpt=40,"['bioéthique', '100ème', 'scientifiques', 'révision', 'thérapeutique', 'loi', 'visée', 'clonage', 'collège', 'exécutif']"
800,lcr-rouge.org,20020318000000/vEHkVaUm7o1gIDc2kQ85Hw==,http://www.lcr-rouge.org/archives/062200/faits.html,"['labsurde', 'naturel', 'versa', 'décologistes', 'lassortissant', 'lanticapitalisme', 'amères', 'identique', 'dorénavant', 'élément']"
801,pcf.fr,20020318000000/x3Or2IUCOSvEbP6aqBPkww==,http://www.pcf.fr/docs/index1bdd.html?iddoc=42&idgd=11,"['maladies', 'pays', 'besoins', 'médicament', 'lindustrie', 'daventis', 'pharmaceutique', 'aventis', 'santé', 'recherche']"
802,mdc-france.org,20020318000000/xHwhYw31tNCwhEE8UNHMUA==,http://www.mdc-france.org/actualite/actarc27.html,"['monsieur', 'plus', '150102', 'rtf', 'loi', 'république', 'jeanpierre', 'brandt', 'chevènement', 'sarre']"
803,pcf.fr,20020318000000/xitaaqWquuf/hnbdrYctlw==,http://www.pcf.fr/docs/indexb63c.html?iddoc=439&iddos=59&idcol=24&cpt=0,"['choix', 'connaissances', 'constitue', 'actualités', 'manquant', 'recherche', 'débat', 'dacquérir', 'ignorant', 'bioéthique']"
804,les-verts.org,20020318000000/xpyuiOO1o1g+KMCaSOKT5w==,http://www.les-verts.org/communiq/com2000/com0005.html,"['porteparole', 'pocrain', 'presse', 'communiqués', 'communiqué', 'mai', 'retour', 'liste', 'panneaux', 'verts']"
805,pcf.fr,20020318000000/xs7TAcIRS0zEfu073jijiw==,http://www.pcf.fr/docs/index0a62.html?iddoc=158&iddos=26&idcol=22&cpt=60,"['organiser', 'thèmes', 'bioéthique', 'citoyen', 'légiférer', 'report', 'débat', 'déclaration', 'loi', 'révision']"
806,lioneljospin.net,20020318000000/xt7tSefWqmw4mnYj3Hq9Ag==,http://www.lioneljospin.net/rejoindre/membre/index.html,"['directeur', 'historien', 'université', 'metteur', 'artiste', 'professeur', 'cinéaste', 'comédien', 'comédienne', 'écrivain']"
807,chevenement2002.com,20020318000000/z+hwaHLPB0UAO9akYHby2w==,http://www.chevenement2002.com/dit/indexa2c2.html?idcle=49,"['technologique', 'letat', 'entre', 'eureka', 'pays', 'coopération', 'berque', 'science', 'développement', 'recherche']"
808,demlib.com,20020318000000/zV+WDlNfIsd4TWhOes5zCw==,http://www.demlib.com/sante/ethique/brevetage.htm,"['biotechnologies', 'ecolabel', 'éccologique', 'obelbe', 'bioéthique', 'déposé', 'jeanfrançois', 'mattei', 'pr', 'label']"
809,parti-socialiste.fr,20020319002450/Is/XvvjSFIoz68mRKSM1Bg==,http://www.parti-socialiste.fr/doc_pdf/projetdef.pdf,"['proposons', 'letat', 'aussi', 'mieux', 'développement', 'cest', 'être', 'politique', 'doit', 'plus']"
810,chevenement2002.com,20020319024109/668svY4UA83C0hgoF0Edbw==,http://www.chevenement2002.com/projet/position.php?idcle=67,"['miel', 'constat', 'dégale', 'letat', 'nimpliquent', 'judicieuses', 'lempathie', 'lallocution', 'téléchargez', 'recherche']"
811,chevenement2002.com,20020319024110/pw1w30a+VyZzm6td/yNBRg==,http://www.chevenement2002.com/dit/index.php?idcle=49,"['technologique', 'letat', 'entre', 'eureka', 'pays', 'coopération', 'berque', 'science', 'développement', 'recherche']"
812,chiracaveclafrance.net,20020319050213/GaQX+HnSRoALrUperVCpLw==,http://www.chiracaveclafrance.net/lesfaits.html?idArticle=125,"['procèdent', 'exportateur', 'compétitivité', 'incompréhension', '4e', 'pauvres', 'plus', 'monde', 'pays', 'mondialisation']"
813,corinne-lepage.com,20020319062604/Xqcw3RJJWtDxthg4CEemNg==,http://www.corinne-lepage.com/forum/bbbb-question.php3?request=1185,"['2002', 'partagezvous', '2249', '25', 'question', '02', 'pensezvous', '1059', 'pacitti', 'référendum']"
814,corinne-lepage.com,20020319062632/1wQKc/1RY4s2Wodk1VwY8Q==,http://www.corinne-lepage.com/forum/bbbb-question.php3?request=530,"['rendement', 'question', 'edmond', '0512', 'baguekin', 'solisola', '23', '2002', '01', 'lab']"
815,demlib.com,20020319062852/UaBubQp0HpOtfWVDcRyiYw==,http://www.demlib.com/sante/ethique/ethique.html,"['médecins', 'jeanfrançois', 'médicale', 'déontologie', 'médecine', 'lois', 'rapport', 'conseil', 'rapports', 'bioéthique']"
816,demlib.com,20020319062927/ZMGcQRblpQcSN+L9q8pTTg==,http://www.demlib.com/editorial/budget_2002/recherche.htm,"['scientifique', 'france', 'rang', 'mds', '5ème', 'recherche', 'lemploi', 'japon', '1000', 'budget']"
817,demlib.com,20020319063011/KVHxEHpbta8op0ZYtePhtg==,http://www.demlib.com/bench/sante/ethique.htm,"['suisse', 'lassistance', 'loi', 'dembryons', 'lembryon', 'lois', 'postmortem', 'procréation', 'espagnole', 'britannique']"
818,demlib.com,20020319063114/nX8b2WNbKIxKBZoGJUQnmg==,http://www.demlib.com/sante/ethique/ethique3.htm,"['largument', 'présente', 'lembryon', 'difficultés', 'risque', 'souches', 'empreintes', 'clonage', 'texte', 'cellules']"
819,demlib.com,20020319063114/pYukJTQwz0Hatv6xuHsCyA==,http://www.demlib.com/sante/ethique/ethique2.htm,"['femelle', 'diagnostic', 'vitro', 'embryons', 'préimplantatoire', 'cellules', 'fécondation', 'gamète', 'souche', 'cellule']"
820,demlib.com,20020319063114/zV+WDlNfIsd4TWhOes5zCw==,http://www.demlib.com/sante/ethique/brevetage.htm,"['biotechnologies', 'ecolabel', 'éccologique', 'obelbe', 'bioéthique', 'déposé', 'jeanfrançois', 'mattei', 'pr', 'label']"
821,demlib.com,20020319063228/pcZZxNfgd/pExl408lDbxg==,http://www.demlib.com/editorial/actu/revlib/000824.htm,"['éthique', 'toutes', '9844ce', 'repoussé', 'vivant', 'gène', 'gènes', 'brevets', 'breveter', 'directive']"
822,demlib.com,20020319063230/OobqG0XUtpBx2vQbK/mDUw==,http://www.demlib.com/editorial/actu/revlib/000721.htm,"['fossé', 'netoyens', 'numérique', 'letat', 'detat', 'g8', 'plus', 'web', 'dinternet', 'internet']"
823,demlib.com,20020319063311/EsJyHQf5kxhUXpqor+8kFg==,http://www.demlib.com/editorial/actu2001/avril.htm,"['espace', 'sncf', 'alain', 'dossier', 'grève', 'madelin', '2001', 'avril', 'figaro', 'dl']"
824,demlib.com,20020319063311/WJq6OrDewUWCae2VjC+KdA==,http://www.demlib.com/editorial/actu2001/mars.htm,"['dossier', 'fièvre', 'aphteuse', 'gouvernement', 'heures', '35', '2001', 'mars', 'figaro', 'dl']"
825,demlib.com,20020319063312/1G8Jw57Jg3Bf5kH1yW1Abw==,http://www.demlib.com/editorial/actu2001/fevrier.htm,"['publiques', 'dossier', 'gouvernement', 'retraites', 'alain', 'dl', '2001', 'madelin', 'figaro', 'février']"
826,demlib.com,20020319063313/UuFcfrn6UhoV6Zn2LCajFw==,http://www.demlib.com/editorial/actu/juin.html,"['violence', 'castro', 'linterview', 'algérien', 'dalain', 'lire', 'madelin', 'dl', '2000', 'juin']"
827,demlib.com,20020319063313/gdhvT1at0KWi6/E8mGU96A==,http://www.demlib.com/editorial/actu/mai.html,"['gauttieri', 'france', 'lopposition', 'kha', 'phieu', 'dl', 'madelin', '2000', 'enchères', 'mai']"
828,demlib.com,20020319063340/69qdk7os10G2oJ7pvI76zg==,http://www.demlib.com/bibliotheque/fiches/mattei.htm,"['folies', 'problèmes', 'plus', 'biomédicale', 'enfants', 'mattéi', 'jeanfrançois', 'ladoption', 'lenfant', 'éd']"
829,demlib.com,20020319063345/Laf/oE4DBuA34VLfK6x5LA==,http://www.demlib.com/bibliotheque/fiches/varaut.htm,"['devoirs', 'fondement', 'institutionnel', 'avocat', 'substitution', 'essai', 'éd', 'jeanmarc', 'varaut', 'droit']"
830,demlib.com,20020319063352/Lcv6AHc83JcTOfiNu4eOXg==,http://www.demlib.com/dossiers/bioethique/biobiblio.htm,"['repères', 'éthique', 'léthique', 'génétique', 'folies', 'lenfant', 'biomédicale', 'mattéi', 'éd', 'jeanfrançois']"
831,demlib.com,20020319063745/TP3XBzdMsv4vYjch41lRBQ==,http://www.demlib.com/intranet/extranet/clpro/san/accsan.htm,"['santé', 'sociale', 'lci', 'jeanfrançois', 'mattei', 'pétition', 'infirmiers', 'risques', 'gestion', 'dl']"
832,demlib.com,20020319063749/3Kct0kkpuftqb31yEt9sxg==,http://www.demlib.com/editorial/actu2001/indigne.htm,"['crise', 'secteurs', 'crédits', 'atteint', 'créations', 'recherche', 'dénoncé', 'sciences', 'budget', 'lacadémie']"
833,demlib.com,20020319063834/npuOmqGWWzgKmz4LO2LmQA==,http://www.demlib.com/editorial/actu/brevetag.htm,"['obelbe', 'éccologique', 'jeanfrançaois', 'jeanfrançois', 'déposé', 'dl', 'mattei', 'bioéthique', 'pr', 'label']"
834,demlib.com,20020319063843/D7dINQkuErh/HVB2tPoV/g==,http://www.demlib.com/editorial/actu/brevehomme.html,"['échouons', 'narcisses', 'beauvoir', 'retournions', 'casta', 'humain', 'foi', 'tel', 'breveter', 'science']"
835,demlib.com,20020319063942/nmyQ2JsAm7LEPUcW4oWynQ==,http://www.demlib.com/editorial/omc/0005/nordsud.html,"['dhabitants', 'corée', 'demisiècle', 'protectionnisme', 'nord', 'commerce', 'mondial', 'pays', 'sud', 'riches']"
836,demlib.com,20020319064127/eloKPJpq9P/V2tIBNmk2VA==,http://www.demlib.com/intranet/extranet/clpro/san/dossan.htm,"['medicaid', 'européenne', 'dévantagé', 'brevetablité', 'génomechaque', 'gènes', 'parce', 'applications', 'mattei', 'santé']"
837,front-national.com,20020319064256/L2NFM/4HpKiNosqcicUJiA==,http://www.front-national.com/programme/souverainete/europe.htm,"['étatsunis', 'états', 'lunion', 'souveraineté', 'européenne', 'traité', 'france', 'leurope', 'damsterdam', 'maastricht']"
838,lcr-rouge.org,20020319074835/LLRdV7WL6lrIU+Z/RTF+kg==,http://www.lcr-rouge.org/forum/forum296.html,"['lhomme', 'parfait', 'homme', 'maladies', 'génétiquement', 'technoscience', 'vautil', 'anticapitaliste', 'yk', 'manipulé']"
839,lcr-rouge.org,20020319074907/taFn1t0yzsjAvs3GuzH0CA==,http://www.lcr-rouge.org/archives/090700/dansroug.html,"['méfaits', 'persécutées', 'injustifiables', 'arrosé', 'royaux', 'passos', 'deinhorn', 'larroseur', 'cordeiro', 'lessence']"
840,lcr-rouge.org,20020319074940/hBlA6ATfzHXOyhA+0MC9Ew==,http://www.lcr-rouge.org/debat/debat60.html,"['paysans', 'lherbicide', 'lagroalimentaire', 'lagroindustrie', 'interpellés', 'transnationales', 'terminator', 'confédération', 'paysanne', 'monsanto']"
841,lcr-rouge.org,20020319075048/UQOQUVkb1aJWF1Ow3XP+zw==,http://www.lcr-rouge.org/euro/euro98.html,"['orientations', 'moppose', 'finalisées', 'légalise', 'gorsel', 'instrumentalisée', 'agroindustriels', 'projetscadres', 'ploojvan', 'recherche']"
842,lcr-rouge.org,20020319075215/Tes4J3+qeiTUUgfUIDGBMw==,http://www.lcr-rouge.org/archives/040501/blocnot1.html,"['avril', 'paysanne', '17', 'journée', 'campesina', 'mondialisons', '9844ce', 'ogm', 'paysannes', 'paysans']"
843,lcr-rouge.org,20020319075312/vEHkVaUm7o1gIDc2kQ85Hw==,http://www.lcr-rouge.org/archives/062200/faits.html,"['labsurde', 'naturel', 'versa', 'décologistes', 'lassortissant', 'lanticapitalisme', 'amères', 'identique', 'dorénavant', 'élément']"
844,lcr-rouge.org,20020319075357/lieyYEYJF/eOzGWtsEvFoQ==,http://www.lcr-rouge.org/archives/090700/controv.html,"['paires', 'genetics', 'décodage', 'gène', 'myriad', 'génome', 'bases', 'génoplante', 'brevetage', 'brevets']"
845,lcr-rouge.org,20020319075544/GKfJ0RcKQPyeKiGMqM2Fuw==,http://www.lcr-rouge.org/cco/159/huws.html,"['neuburger', 'peut', 'production', 'travailleurs', 'services', 'plus', 'productivité', 'ursula', 'huws', 'travail']"
846,lcr-rouge.org,20020319075544/gXTXbr3FGCqNh4B3heA+mQ==,http://www.lcr-rouge.org/cco/159/bousset.html,"['gens', 'mans', 'jeanmarie', 'quon', 'management', 'cgt', 'ça', 'cest', 'bousset', 'renault']"
847,les-verts.org,20020319080026/t/rFKthJnFHKZOwvqypVig==,http://www.les-verts.org/communiq/com2000/com0006.html,"['chômeurs', 'presse', 'communiqués', 'sanspapiers', 'communiqué', 'juin', 'retour', 'liste', 'panneaux', 'verts']"
848,les-verts.org,20020319080026/xpyuiOO1o1g+KMCaSOKT5w==,http://www.les-verts.org/communiq/com2000/com0005.html,"['porteparole', 'pocrain', 'presse', 'communiqués', 'communiqué', 'mai', 'retour', 'liste', 'panneaux', 'verts']"
849,les-verts.org,20020319080054/nJhIR1s58dmlzIBMKcbt6Q==,http://www.les-verts.org/vertcontact/vc97/472/472_1.html,"['transports', 'octobre', 'biodiversité', 'lipietz', 'tél', 'articles', 'retour', 'verts', 'panneaux', 'liste']"
850,lioneljospin.net,20020319080148/lujZC9U3AiRqOCySLMf77A==,http://www.lioneljospin.net/newsletter.php,"['daniel', 'duez', 'dactup', 'savoir', 'campagne', 'newsletter', 'marseille', 'cohen', 'lionel', 'jospin']"
851,lioneljospin.net,20020319080149/zb88rBD6Olm58hBtkqg8ww==,http://www.lioneljospin.net/rejoindre/membre/,"['directeur', 'historien', 'université', 'metteur', 'artiste', 'professeur', 'cinéaste', 'comédien', 'comédienne', 'écrivain']"
852,lioneljospin.net,20020319080151/HWMSwUfcByZBFBorTYvvWg==,http://www.lioneljospin.net/newsletter.php?id=MTE3,"['daniel', 'duez', 'dactup', 'savoir', 'campagne', 'newsletter', 'marseille', 'cohen', 'lionel', 'jospin']"
853,lioneljospin.net,20020319080154/tBJGbhSPkvDg9jmzL8pQTw==,http://www.lioneljospin.net/journal.php?branche=reportage,"['12032002', '09032002', 'campagne', 'candidat', 'mars', 'evènement', '13032002', 'lire', 'jospin', 'lionel']"
854,lioneljospin.net,20020319080158/3PZi0MQI+wIOC2cbXWvfWw==,http://www.lioneljospin.net/ps/commun/imprim.php?qu=Nzcz,"['mobilité', 'supérieur', 'lenseignement', 'années', 'être', 'jeunes', 'chercheurs', 'doit', 'plus', 'recherche']"
855,lioneljospin.net,20020319080619/zn3YW8OGqnlXUeu6rPzOAg==,http://www.lioneljospin.net/ps/commun/imprim.php?qu=NzMx,"['courageuse', 'créative', 'daniel', 'progressiste', 'science', 'domaine', 'jospin', 'lionel', 'peur', 'cohen']"
856,lioneljospin.net,20020319081153/I8nX/a4LTKd2H9VSa/ObMg==,http://www.lioneljospin.net/journal.php?moins=0&fin=20&branche=reportage,"['12032002', '09032002', 'campagne', 'candidat', 'mars', 'evènement', '13032002', 'lire', 'jospin', 'lionel']"
