"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Audiovisuel (AUD)";"http://0100101110101101.org";"1 fois par an";"art numérique";"Art numerique / Mattes, Eva (1976-....) / Mattes, Franco (1976-....)";;"http://www.0100101110101101.org/home/nikeground/index.html (20/03/2013) / http://www.0100101110101101.org (01/10/2013)"
"Audiovisuel (AUD)";"http://10000km-movie.com";"1 fois par an";"sites à thème cinéma et audiovisuel";"non renseigné";"Site de film";
"Audiovisuel (AUD)";"http://1001oeil.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Oparadize Films / Audiovisuel - Production et réalisation";;
"Audiovisuel (AUD)";"http://10kbullets.com";"1 fois par an";"sites à thème cinéma et audiovisuel";"Films -- Comptes rendus / Cinéma bis";;
"Audiovisuel (AUD)";"http://13jumelles.fr";"1 fois par an";"art numérique";"Webdocumentaires";;"http://60-secondes.fr (19/09/2013)"
"Audiovisuel (AUD)";"http://15aout.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Production audiovisuelle";;
"Audiovisuel (AUD)";"http://17000islandsinteractive.com";"1 fois par an";"distribution de contenus";"Webdocumentaires / Indonésie";;
"Audiovisuel (AUD)";"http://17prod.com/nous.html";"1 fois par an";"filières du cinéma et de l'audiovisuel";"17 production / Audiovisuel - Production et réalisation";;"http://17prod.com/mentions.html?symfony=9fbf69c4044426ed08b1330c74bf0306 (10/02/2014) / http://17prod.com/nous.html?symfony=9fbf69c4044426ed08b1330c74bf0306 (06/11/2014)"
"Audiovisuel (AUD)";"http://1895.revues.org";"1 fois par an";"sites à thème cinéma et audiovisuel";"Association française de recherche sur l'histoire du cinéma";;
"Audiovisuel (AUD)";"http://1d-aquitaine.com";"1 fois par an";"filières de la musique et de l'édition phonographique";"Aquitaine / distributeur / indépendants / régions";;
"Audiovisuel (AUD)";"http://1d-paca.com";"1 fois par an";"filières de la musique et de l'édition phonographique";"PACA / distributeur / indépendants / régions";;
"Audiovisuel (AUD)";"http://1d-rhonealpes.com";"1 fois par an";"filières de la musique et de l'édition phonographique";"Rhône-Alpes / distributeur / indépendants / régions";;
"Audiovisuel (AUD)";"http://2.bp.blogspot.com/-qAMZhBtxZ6o/UFxx_3Cfx3I/AAAAAAAAAXk/o6YWgQEJaPg/s1600/Overlook_013.gif";"1 fois par an";"auto-diffusés";"Arts numériques";"oeuvre de net art";
"Audiovisuel (AUD)";"http://240plan.ovh.net/~kolkoz/";"1 fois par an";"auto-diffusés";"art numérique";;
"Audiovisuel (AUD)";"http://2425prod.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"2425 Production / Audiovisuel - Production et réalisation";;
"Audiovisuel (AUD)";"http://25images.over-blog.com";"1 fois par an";"sites à thème cinéma et audiovisuel";"blogs / critique";;
"Audiovisuel (AUD)";"http://3dvasion.fr";"1 fois par an";"sites à thème cinéma et audiovisuel";"blogs / critique / multimedia";;
"Audiovisuel (AUD)";"http://4-16prod.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";;
"Audiovisuel (AUD)";"http://42ndstreetcinema.blogspot.fr";"1 fois par an";"sites à thème cinéma et audiovisuel";"Cinéma bis";;
"Audiovisuel (AUD)";"http://4ecrans.wordpress.com";"1 fois par an";"sites à thème cinéma et audiovisuel";"non renseigné";;
"Audiovisuel (AUD)";"http://5evague.tumblr.com";"1 fois par an";"sites à thème cinéma et audiovisuel";"non renseigné";"Site de film tumblr";
"Audiovisuel (AUD)";"http://5planete.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"5ème Planète / Audiovisuel - Production et réalisation";;
"Audiovisuel (AUD)";"http://5thirtyone.com/unstandard-wordpress-theme/";"1 fois par an";"diffusion des connaissances";"webdocumentaires / football / Afrique";"Le contenu ne correspond plus au document archivé";
"Audiovisuel (AUD)";"http://60-secondes.fr";"1 fois par an";"auto-diffusés";"Web-documentaire";;
"Audiovisuel (AUD)";"http://7eantiquaire.blogspot.fr";"1 fois par an";"sites à thème cinéma et audiovisuel";"Films -- Comptes rendus / Cinéma bis";;
"Audiovisuel (AUD)";"http://99rooms.com";"1 fois par an";"art numérique";"art numérique";;
"Audiovisuel (AUD)";"http://9yb.r.mailjet.com/nl/x4nr/xxpkk.html?a=5Exe6B&b=1d0b7aaf&c=x4nr&d=6501d649&e=df9d2b89&email=cmm%40culture.gouv.fr";"1 fois par an";"communication institutionnelle et associative";"Art interactif";"dispositif interactif";
"Audiovisuel (AUD)";"http://a.denize.free.fr";"1 fois par an";"art numérique";"art numérique";;
"Audiovisuel (AUD)";"http://a3distribution.com/home/";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"Distributeur";"http://a3distribution.com (19/09/2012)"
"Audiovisuel (AUD)";"http://abbasfahdel.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"Réalisateur Fahdel, Abbas";
"Audiovisuel (AUD)";"http://abyssa.netlabel.free.fr/albums.html";"1 fois par an";"filières de la musique et de l'édition phonographique";"netlabel / électro";;"http://abyssa.netlabel.free.fr (01/02/2013)"
"Audiovisuel (AUD)";"http://academy-video.com";"1 fois par an";"distribution de contenus";"Vidéo à la demande / Accompagnement individuel";;
"Audiovisuel (AUD)";"http://acadrafilms.free.fr";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Acadra distribution / Distribution des films";;
"Audiovisuel (AUD)";"http://acapellaprod.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"Producteur";
"Audiovisuel (AUD)";"http://accesaucinemainvisible.tumblr.com";"1 fois par an";"sites à thème cinéma et audiovisuel";"non renseigné";"Blog d'un ciné-club estudiantin (Nantes)";
"Audiovisuel (AUD)";"http://acces-s.org";"1 fois par an";"art numérique";"Festival";;
"Audiovisuel (AUD)";"http://accords-desaccords.blogspot.fr";"1 fois par an";"sites à thème cinéma et audiovisuel";"non renseigné";"Blog";
"Audiovisuel (AUD)";"http://ac-franchise.com";"1 fois par an";"communication institutionnelle et associative";"Concessions (commerce de détail)";;"http://www.acfranchise.tv (11/04/2014)"
"Audiovisuel (AUD)";"http://acg.media.mit.edu/people/fry/";"1 fois par an";"auto-diffusés";"Art numerique";"Ben Fry";
"Audiovisuel (AUD)";"http://actmediadiffusion.org";"1 fois par an";"filières du cinéma et de l'audiovisuel";"documentaire";;
"Audiovisuel (AUD)";"http://actu-culture.nouvelobs.com/convention-collective-cinema.html";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"convention collective du cinéma";
"Audiovisuel (AUD)";"http://actu-film.com";"1 fois par an";"sites à thème cinéma et audiovisuel";"non renseigné";"Webzine";
"Audiovisuel (AUD)";"http://addoc.net";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Réalisateurs de cinéma / Associations professionnelles";;"http://www.addoc.net (13/12/2012)"
"Audiovisuel (AUD)";"http://adele-exarchopoulos.org";"1 fois par an";"sites à thème cinéma et audiovisuel";"non renseigné";"Site de fan Exarchopoulos, Adèle";
"Audiovisuel (AUD)";"http://adnprod.eu";"1 fois par an";"filières du cinéma et de l'audiovisuel";"ADN prod. / Audiovisuel - Production et réalisation";;"http://adnprod.eu/accueil (06/11/2014)"
"Audiovisuel (AUD)";"http://adoptfilms.net";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"Distributeur";
"Audiovisuel (AUD)";"http://adygasy.com";"1 fois par an";"sites à thème cinéma et audiovisuel";"non renseigné";"Site de film";
"Audiovisuel (AUD)";"http://afas.revues.org";"1 fois par an";"filières de la musique et de l'édition phonographique";"Association française des détenteurs de documents sonores, revue";;
"Audiovisuel (AUD)";"http://afcafete.blogspot.fr";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Association française du cinéma d'animation / Animation (cinéma)";;
"Audiovisuel (AUD)";"http://afro-style.com";"1 fois par an";"sites à thème cinéma et audiovisuel";"Noirs -- Au cinéma / Films -- Comptes rendus / Films noirs américains";"Dailymotion";
"Audiovisuel (AUD)";"http://agate-cinema.blogspot.fr";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";;"http://agate-cinema.blogspot.com (07/05/2012)"
"Audiovisuel (AUD)";"http://agn2006.uing.net/8991/dora_garcia.html";"1 fois par an";"communication institutionnelle et associative";"Arts numériques";"Arts Grandeur Nature, biennale d'art contemporain";
"Audiovisuel (AUD)";"http://agnes-jaoui.over-blog.com";"1 fois par an";"sites à thème cinéma et audiovisuel";"non renseigné";;
"Audiovisuel (AUD)";"http://aiweiweineversorry.com";"1 fois par an";"sites à thème cinéma et audiovisuel";"non renseigné";"Site de film";
"Audiovisuel (AUD)";"http://ajamais-lefilm.com";"1 fois par an";"sites à thème cinéma et audiovisuel";"non renseigné";"Site de film";
"Audiovisuel (AUD)";"http://ajourneyintolongevity.axa.com";"1 fois par an";"communication institutionnelle et associative";"Webdocumentaires / Espérance de vie";;
"Audiovisuel (AUD)";"http://alain.montesse.voila.net";"1 fois par an";"art numérique";"Montesse, Alain / Vidéo Ciné Troc / Art vidéo";;
"Audiovisuel (AUD)";"http://alainlioret.fr";"1 fois par an";"art numérique";"art numérique";;
"Audiovisuel (AUD)";"http://alapoursuitedu7emeart.over-blog.net";"1 fois par an";"sites à thème cinéma et audiovisuel";"blogs / critique";;"http://eric-c.blogs.allocine.fr (24/05/2012)"
