"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Audiovisuel (AUD)";"https://0100101110101101.org";"1 fois par an";"art et littérature numériques";"art numérique / Mattes, Eva (1976-....) / Mattes, Franco (1976-....)";"non diffusées";"http://www.0100101110101101.org/home/nikeground/index.html (20/03/2013) / http://www.0100101110101101.org (01/10/2013) / http://0100101110101101.org (04/06/2021)"
"Audiovisuel (AUD)";"https://1001oeil.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Oparadize films / audiovisuel – production et réalisation";"non diffusées";"http://1001oeil.com (10/02/2020)"
"Audiovisuel (AUD)";"http://10kbullets.com";"1 fois par an";"cinéma et audiovisuel";"film – compte rendu / cinéma bis";"non diffusées";
"Audiovisuel (AUD)";"http://15aout.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"production audiovisuelle";"non diffusées";
"Audiovisuel (AUD)";"http://17000islandsinteractive.com";"1 fois par an";"distribution de contenus";"webdocumentaire / Indonésie";"non diffusées";
"Audiovisuel (AUD)";"https://18heures48.fr";"1 fois par an";"musique et son";"label, Paris";"non diffusées";
"Audiovisuel (AUD)";"http://3b-productions.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"3B productions / audiovisuel – production et réalisation";"non diffusées";"http://www.3b-productions.com (06/05/2019)"
"Audiovisuel (AUD)";"http://4-16prod.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"http://42ndstreetcinema.blogspot.com";"1 fois par an";"cinéma et audiovisuel";"cinéma bis";"non diffusées";"http://42ndstreetcinema.blogspot.fr (12/02/2019)"
"Audiovisuel (AUD)";"http://50nuancesplussombre.com";"1 fois par an";"cinéma et audiovisuel";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"http://5planete.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"5ème Planète / audiovisuel – production et réalisation";"non diffusées";
"Audiovisuel (AUD)";"http://7eantiquaire.blogspot.com";"1 fois par an";"cinéma et audiovisuel";"film – compte rendu / cinéma bis";"non diffusées";"http://7eantiquaire.blogspot.fr (12/02/2019)"
