"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Dépôt légal (DDL)";"www.ac-clermont.fr";"1 fois par mois";"demandes externes";"Clermont-Ferrand(académie)";"non diffusées";
"Dépôt légal (DDL)";"www.ac-lyon.fr";"1 fois par mois";"demandes externes";"Lyon(académie)";"non diffusées";
"Dépôt légal (DDL)";"www.ac-martinique.fr";"1 fois par mois";"demandes externes";"Martinique(académie)";"non diffusées";
"Dépôt légal (DDL)";"www.ac-montpellier.fr";"1 fois par mois";"demandes externes";"Montpellier(académie)";"non diffusées";
"Dépôt légal (DDL)";"www.ac-nancy-metz.fr";"1 fois par mois";"demandes externes";"Nancy-Metz(académie)";"non diffusées";
"Dépôt légal (DDL)";"www.ac-nantes.fr";"1 fois par mois";"demandes externes";"Nantes(académie)";"non diffusées";
"Dépôt légal (DDL)";"www.ac-nice.fr";"1 fois par mois";"demandes externes";"Nice(académie)";"non diffusées";
"Dépôt légal (DDL)";"https://0130110z.esidoc.fr";"1 fois par an";"demandes externes";"follower Twitter / CDI / Marseille / urgence";"non diffusées";"http://0130110z.esidoc.fr (26/04/2018)"
"Dépôt légal (DDL)";"https://13.agendaculturel.fr";"1 fois par an";"demandes externes";"Marseille capitale 2013";"non diffusées";"http://13.agendaculturel.fr (17/01/2019)"
"Dépôt légal (DDL)";"http://147ri.canalblog.com";"1 fois par mois";"demandes externes";"Blogs histoire";"non diffusées";
"Dépôt légal (DDL)";"http://1picture1word.com";"1 fois par an";"demandes externes";"follower Twitter / photographie / Lyon / urgence";"non diffusées";
"Dépôt légal (DDL)";"https://66v09.r.ah.d.sendibm4.com/mk/mr/JRWK1-9wfvTItFBFSrV_GTzuTDMYNqPVCu3W9Z6yt_UJgDrp-6qX8wDqE3_QjJMBUB0yqO8XiLslsCQOImipRh8zl0I5xjyUoWmcNqcOse8";"1 fois par semaine";"demandes externes";"lettre d'information / Les infos de la copro / Hauts de France / Union Régionale CLCV";"non diffusées";
"Dépôt légal (DDL)";"https://8000mondes.fr";"1 fois par an";"demandes externes";"roman feuilleton / urgence / CLN ?";"non diffusées";"http://8000mondes.fr (05/06/2020)"
