"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Dépôt légal (DDL)";"http://0130110z.esidoc.fr";"1 fois par an";"demandes externes";"follower Twitter / CDI / Marseille / urgence";;
"Dépôt légal (DDL)";"http://13.agendaculturel.fr";"1 fois par an";"demandes externes";"Marseille capitale 2013";"sélection BDLI de décembre 2013";
"Dépôt légal (DDL)";"http://1picture1word.com";"1 fois par an";"demandes externes";"follower Twitter / photographie / Lyon / urgence";;
"Dépôt légal (DDL)";"http://404-editions.fr";"2 fois par an";"culture technologique";"404 éditions / geek / livres numériques / jeux vidéo";;
"Dépôt légal (DDL)";"http://8000mondes.fr";"1 fois par an";"demandes externes";"roman feuilleton / urgence";"Boîte générique DLweb le 4 mai 2016";
"Dépôt légal (DDL)";"http://8e-art-magazine.fr/category/marseille-2013";"1 fois par an";"demandes externes";"Marseille capitale 2013";"sélection BDLI de décembre 2013";
"Dépôt légal (DDL)";"http://9740738j.esidoc.fr";"1 fois par an";"demandes externes";"follower Twitter / lycée / CDI";;
"Dépôt légal (DDL)";"http://aeda-up.blogspot.fr";"1 fois par an";"demandes externes";"follower Twitter / étudiants / archivistique / Aix-Marseille / urgence";;
"Dépôt légal (DDL)";"http://aer.eu";"1 fois par an";"publications en série";"périodiques migrés";"ARE dossier  [Texte imprimé] : dossier thématique de l'Assemblée des régions d'Europe / [dir. publ. Klaus Klipp]	1811-282X AER dossier  [Texte imprimé] : thematic dossier of the Assembly of european regions / [dir. publ. Klaus Klipp]	1811-2846 VRE dossier  [Texte imprimé] : themenspezifisches Dossier der Versammlung der Regionen Europas / [dir. publ. Klaus Klipp]	1811-2854";
"Dépôt légal (DDL)";"http://afec-etudeschinoises.com";"1 fois par an";"demandes externes";"urgence";"le site devrait migrer courant mai dans hypothèses";
"Dépôt légal (DDL)";"http://affects.hypotheses.org";"1 fois par an";"demandes externes";"follower Twitter / recherche / urgence";;
"Dépôt légal (DDL)";"http://afhe.hypotheses.org";"1 fois par an";"demandes externes";"follower Twitter / recherche / histoire / économie";;
"Dépôt légal (DDL)";"http://agnesquemper-genealogie.blogspot.fr";"1 fois par an";"demandes externes";"follower Twitter / généalogie / Bretagne / Limousin / urgence";;
"Dépôt légal (DDL)";"http://ahnenslyon.hypotheses.org";"2 fois par an";"culture technologique";"ENS Lyon / DH / Digital Humanities / Atelier des humanités numériques / Humanités numériques";;"https://ahnenslyon.hypotheses.org (18/11/2016)"
"Dépôt légal (DDL)";"http://ajch.fr";"1 fois par an";"demandes externes";"follower Twitter / chercheurs / histoire";;
"Dépôt légal (DDL)";"http://ajlsm.com";"1 fois par an";"demandes externes";"follower Twitter / archivage";"""Depuis 1999, AJLSM propose des solutions ouvertes, pérennes et efficaces pour créer, convertir, gérer, diffuser ou archiver votre information numérique.""";
"Dépôt légal (DDL)";"http://aldeontologia.blogspot.fr";"1 fois par an";"demandes externes";"follower Twitter / urgence";;
"Dépôt légal (DDL)";"http://alfred.loisy.free.fr/index2.htm";"1 fois par an";"demandes externes";"Loisy, Alfred / Scheele, Elisabeth / urgence";"Demande boîte générique du 29 septembre 2016";
"Dépôt légal (DDL)";"http://alfredbinet.univ-lorraine.fr";"1 fois par an";"demandes externes";"urgence";;
"Dépôt légal (DDL)";"http://allierrepublique.wordpress.com";"1 fois par an";"publications en série";"périodiques migrés ";"1636-1814 AllierRepublique (version en ligne de 1631-6827)";"http://www.allier-republique.net (11/07/2012)"
"Dépôt légal (DDL)";"http://aloe-arborescens-cancer.com";"1 fois par an";"demandes externes";"urgence";;
"Dépôt légal (DDL)";"http://alter-editions.org";"1 fois par an";"chaîne du livre";"Édition";"semble désormais diffuser uniquement les versions électroniques de ses livres";"http://alter-editions.org/collections/ (15/11/2016)"
"Dépôt légal (DDL)";"http://amishuma63.over-blog.com";"1 fois par an";"publications en série";"périodiques migrés";"Perspectives  / Amis de l'Humanité [Puy-de-Dôme]	2119-0488";
"Dépôt légal (DDL)";"http://anaispascal.portfoliobox.fr";"1 fois par an";"demandes externes";"follower Twitter / édition / urgence";;
"Dépôt légal (DDL)";"http://annales.ehess.fr";"1 fois par an";"demandes externes";"non renseigné";"demande externe du 10/06/13";
"Dépôt légal (DDL)";"http://app.lespierresparlent.com";"1 fois par an";"demandes externes";"urgence";;
"Dépôt légal (DDL)";"http://appareil.revues.org";"1 fois par an";"publications en série";"non renseigné";"mal collecté en large";"http://revues.mshparisnord.org/appareil/ (04/03/2015)"
"Dépôt légal (DDL)";"http://apparences.hypotheses.org";"1 fois par an";"demandes externes";"follower Twitter / histoire visuelle / histoire culturelle / femmes / presse / urgence";;
"Dépôt légal (DDL)";"http://applis-mobile.fr";"1 fois par an";"demandes externes";"follower Twitter / applications mobile / urgence";;
"Dépôt légal (DDL)";"http://archipedie.citedelarchitecture.fr";"1 fois par an";"demandes externes";"architecture / urgence";"Archipédie, l'encyclopédie collaborative mise en ligne par la Cité de l'architecture.  ";
"Dépôt légal (DDL)";"http://archives.aphp.fr";"1 fois par an";"demandes externes";"follower Twitter / APHP / archives / urgence";;
"Dépôt légal (DDL)";"http://archives.hauts-de-seine.net";"1 fois par an";"demandes externes";"non renseigné";"collecte avant refonte du site";
"Dépôt légal (DDL)";"http://archives.lorient.fr";"1 fois par an";"demandes externes";"follower Twitter / archives / Lorient / urgence";;
"Dépôt légal (DDL)";"http://archivesonline.wordpress.com";"1 fois par an";"demandes externes";"follower Twitter / archives";;
"Dépôt légal (DDL)";"http://archivethe.net/fr/";"1 fois par an";"demandes externes";"follower Twitter / archivage";"""ArchivetheNet (AtN) est un service d'archivage web de l'Internet Memory Research, destiné à ses partenaires et clients afin d’accompagner leurs projets d’archivage de sites Web à des fins de préservation patrimoniale et culturelle.""";
"Dépôt légal (DDL)";"http://archiveweb.hypotheses.org";"1 fois par an";"demandes externes";"follower Twitter / archives du web / recherche / urgence";;
"Dépôt légal (DDL)";"http://archivisteenarchivie.tumblr.com";"1 fois par an";"demandes externes";"follower Twitter / tumblr de gifs animés";"Tumblr de gif animés d'archiviste.";
"Dépôt légal (DDL)";"http://armonyaltinier.fr";"1 fois par an";"demandes externes";"follower Twitter";;
"Dépôt légal (DDL)";"http://asap.hypotheses.org";"1 fois par an";"culture technologique";"Patrimoine né-numérique / nativement numérique / attentats de Paris / Internet studies";;
"Dépôt légal (DDL)";"http://asterix.com";"1 fois par an";"demandes externes";"non renseigné";;
"Dépôt légal (DDL)";"http://asterix33.over-blog.com";"1 fois par an";"demandes externes";"urgence";"renvoyer un message au producteur précisant la qualité du dépôt (Fred Deglas - message du 3/7/13) - réponse donnée le 8/8/13";
"Dépôt légal (DDL)";"http://atelier-dlweb.fr/blog/";"1 fois par an";"demandes externes";"follower Twitter / INA / dépôt légal du web";;
"Dépôt légal (DDL)";"http://atlantide.univ-nantes.fr";"1 fois par an";"demandes externes";"non renseigné";;
"Dépôt légal (DDL)";"http://autant-en-emporte-la-marne.fr";"1 fois par an";"demandes externes";"Urgence ";;
"Dépôt légal (DDL)";"http://aylluvalence.org";"1 fois par an";"demandes externes";"non renseigné";;
"Dépôt légal (DDL)";"http://baamadou.over-blog.fr";"1 fois par an";"demandes externes";"urgence   ";;
"Dépôt légal (DDL)";"http://basarab-nicolescu.fr";"1 fois par an";"demandes externes";"non renseigné";;
"Dépôt légal (DDL)";"http://basstingueul.blogspot.fr";"1 fois par an";"demandes externes";"follower Twitter";"Bassirou Diagne.";
"Dépôt légal (DDL)";"http://batkarereunion.fr";"1 fois par an";"demandes externes";"urgence";;
"Dépôt légal (DDL)";"http://beaune.bibli.fr";"1 fois par an";"demandes externes";"follower Twitter / bibliothèque / Beaune / urgence";;
"Dépôt légal (DDL)";"http://benjamin.sonntag.fr";"1 fois par an";"demandes externes";"follower Twitter / CV";"""Benjamin Sonntag, cofounder of La Quadrature du Net, associate at Octopuce, Home-Hosting, Free Software advocate""";
"Dépôt légal (DDL)";"http://bettylg.tumblr.com";"1 fois par an";"demandes externes";"follower Twitter / histoire de l'art";"Etudiante en histoire de l'art médiéval, Paris Sorbonne.";
"Dépôt légal (DDL)";"http://bfluzin.tumblr.com";"1 fois par an";"demandes externes";"follower Twitter";;
"Dépôt légal (DDL)";"http://bformet.net";"1 fois par an";"demandes externes";"follower Twitter";"""Bertrand Formet, blog professionnel. Usages numériques - Éducation aux médias - TICE - Twittclasses sur http://www.twittclasses.fr """;
"Dépôt légal (DDL)";"http://bioua.org";"1 fois par an";"demandes externes";"non renseigné";;
"Dépôt légal (DDL)";"http://blockchainfrance.net";"2 fois par an";"culture technologique";"Blockchain";;
"Dépôt légal (DDL)";"http://blog.crdp-versailles.fr/francaisferry/";"1 fois par an";"demandes externes";"follower Twitter / TIC / collège / enseignement";"Blog professoral et de classe, par une prof de collège de Mantes-la-Jolie, Gaëlle Chevineau";
"Dépôt légal (DDL)";"http://blog.crdp-versailles.fr/lsaintex/";"1 fois par an";"demandes externes";"follower Twitter / lycée";"Blog d'une classe de 1re L du lycée de Mantes-la-Jolie.";
"Dépôt légal (DDL)";"http://blog.innovimax.fr";"1 fois par an";"demandes externes";"follower Twitter / web / XML / consultant / urgence";;
"Dépôt légal (DDL)";"http://blog.marklor.org";"1 fois par an";"demandes externes";"follower Twitter / web";;
"Dépôt légal (DDL)";"http://blog.marsatwork.fr/marseille-provence-2013-les-histoires-vraies/";"1 fois par an";"demandes externes";"Marseille capitale 2013";"sélection BDLI de décembre 2013";
"Dépôt légal (DDL)";"http://blog.voyagesmillebornes.com";"1 fois par an";"demandes externes";"urgence ";;
"Dépôt légal (DDL)";"http://blog.xn--unebouteillelamer-zob.eu";"1 fois par an";"demandes externes";"urgence  ";;
"Dépôt légal (DDL)";"http://blog-philatelie-timbrephosphonews.blogspot.fr";"1 fois par an";"demandes externes";"non renseigné";;"http://blog-philatelie-timbrephosphonews.blogspot.com (05/08/2014)"
"Dépôt légal (DDL)";"http://blogs.mediapart.fr/blog/journal-cesar/010813/marseille-provence-2013-enquete-dans-les-quartiers-creatifs";"1 fois par an";"demandes externes";"Marseille capitale 2013";"sélection BDLI de décembre 2013";
"Dépôt légal (DDL)";"http://boleravel.blogspot.fr";"1 fois par an";"demandes externes";"follower Twitter / Ravel, Maurice / association / urgence ";"Compte : @amisderavel ""Association loi 1901 des Amis de Maurice Ravel reconnue d'intérêt général. Fondateur: Manuel Cornejo.Devise: «La ravelophilie est un bonheur !» (Paul Danblon)""";
"Dépôt légal (DDL)";"http://boricuolandia.wordpress.com";"1 fois par an";"demandes externes";"follower Twitter";"Porto-Ricain vivant en France ""PhD student in Economics currently living in Paris, France. University of the French West Indies and Guiana""";
"Dépôt légal (DDL)";"http://bretagneici.gwalarn.org";"1 fois par an";"demandes externes";"follower Twitter / Bretagne / urgence";;
"Dépôt légal (DDL)";"http://brigittegrenet.blogs-de-voyage.fr";"1 fois par an";"demandes externes";"non renseigné";;
"Dépôt légal (DDL)";"http://brigittesimonnot.wordpress.com";"1 fois par an";"demandes externes";"follower Twitter";"""Professeur en sciences de l’information et de la communication à l’Université de Lorraine, Nancy, France""";
"Dépôt légal (DDL)";"http://bringuier.free.fr";"1 fois par an";"demandes externes";"follower Twitter / généalogie";;
"Dépôt légal (DDL)";"http://brouillard-definitif.fr/fr/";"1 fois par an";"demandes externes";"follower Twitter / musique / label";"Label de musique cold wave";
