"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Solidarité(s) (SOL)";"http://acajou.org";"1 fois par an";"solidarité locale et nationale";"handicapés visuels / danse";"Compagnie Acajou";"http://acajou.m4ne.com (30/08/2012) / http://acajou.m4ne.com/new_acajou_joomla/index.php (14/06/2013) / http://acajou.m4ne.com (16/06/2016)"
"Solidarité(s) (SOL)";"http://addes.asso.fr";"1 fois par an";"économie solidaire";"recherche / évaluation";"assoc pour le développement de la documentation sur l'économie sociale";"http://www.addes.asso.fr (11/06/2015)"
"Solidarité(s) (SOL)";"http://afev.org";"1 fois par an";"solidarité locale et nationale";"jeunesse / éducation / étudiants / quartiers";"association de la fondation étudiante pour la ville";"http://www.afev.fr (29/06/2016)"
"Solidarité(s) (SOL)";"http://afrique.aide-et-action.org";"1 fois par an";"solidarité internationale";"Afrique / aide à l'éducation";"aide et action Afrique";"http://www.aeaafrique.org (10/06/2016)"
"Solidarité(s) (SOL)";"http://afs.fr";"1 fois par an";"solidarité internationale";"échanges culturels / éducation / étudiants étrangers";"AFS vivre sans frontière";"http://www.afs-fr.org (15/03/2017)"
"Solidarité(s) (SOL)";"http://agence-limite.fr";"1 fois par an";"solidarité généralités";"développement durable / responsabilité sociétale / communication responsable / technologies de l'information et de la communication";"agence Limite";"http://agence-limite.fr/blog/ (02/10/2012)"
"Solidarité(s) (SOL)";"http://aiderlesrefugies.fr";"1 fois par an";"solidarité internationale";"réfugiés";"Versé à l'occasion de la collecte d'urgence sur le sujet des réfugiés.";
"Solidarité(s) (SOL)";"http://aidvertising.blog.youphil.com";"1 fois par an";"solidarité généralités";"Declomesnil, Sacha / blog";"philanthropie dons / marketing responsable";
"Solidarité(s) (SOL)";"http://amd-france.over-blog.org";"1 fois par an";"solidarité internationale";"aide sanitaire / blog";"aide médicale et développement";"http://www.amd-blog.org (06/02/2017)"
"Solidarité(s) (SOL)";"http://amis-sans-frontieres.org";"1 fois par an";"solidarité internationale";"accompagnement social / diffusion de la culture";;"http://www.amis-sans-frontieres.com (16/06/2016)"
"Solidarité(s) (SOL)";"http://amtm.org";"1 fois par an";"solidarité internationale";"santé / parrainage d'enfants / Inde / Népal";"assistance médicale toit du monde";
"Solidarité(s) (SOL)";"http://ardhis.org/WP3/";"1 fois par an";"solidarité locale et nationale";"homosexuels appartenant à des minorités / minorités sexuelles / immigrés";"association pour la reconnaissance des droits des personnes homosexuelles et transsexuelles à l'immigration et au séjour";"http://www.ardhis.org (12/06/2014) / http://ardhis.org/WP3/ (18/06/2015) / http://ardhis.org (16/06/2016)"
"Solidarité(s) (SOL)";"http://arutam.free.fr";"1 fois par an";"solidarité internationale";"Jivaro (indiens) / aide sanitaire / ethnomédecine";"association d'aide aux peuples premiers";
"Solidarité(s) (SOL)";"http://aurore.asso.fr";"1 fois par an";"économie solidaire";"exclusion sociale / intégration sociale / insertion professionnelle / réfugiés";"Aurore";
"Solidarité(s) (SOL)";"http://benevole-accompagnant-fin-de-vie.blogspot.fr";"1 fois par an";"solidarité locale et nationale";"santé / fin de vie";"Accompagnement de la personne en fin de vie.";
"Solidarité(s) (SOL)";"http://cartonplein.weebly.com";"1 fois par an";"solidarité locale et nationale";"insertion professionnelle / intégration sociale / recyclage / cartonnages";"Collecte, tri et revente de cartons de déménagement";
"Solidarité(s) (SOL)";"http://cathonimes.catholique.fr";"1 fois par an";"solidarité internationale";"Réfugiés / Eglise catholique / Nîmes";"Fiche créée à l'occasion de la collecte d'urgence sur le sujet des réfugiés.";
"Solidarité(s) (SOL)";"http://chaire-philanthropie.essec.edu";"1 fois par an";"solidarité généralités";"altruisme / recherche / École supérieure des sciences économiques et commerciales (ESSEC)";"Chaire de philanthropie de l'ESSEC";
"Solidarité(s) (SOL)";"http://chantierecole.org";"1 fois par an";"économie solidaire";"formation / entrepreneurs sociaux";"Chantier école insertion formation";
"Solidarité(s) (SOL)";"http://chateau-des-vaux.blog.apprentis-auteuil.org";"1 fois par an";"solidarité locale et nationale";"blog / jeunes / éducation";"apprentis Auteuil";"http://chateau-des-vaux.blog.fondation-auteuil.org (30/08/2012)"
"Solidarité(s) (SOL)";"http://chmp.org";"1 fois par an";"solidarité internationale";"santé / pharmacologie";"centrale humanitaire médico pharmaceutique";
"Solidarité(s) (SOL)";"http://cofades.canalblog.com";"1 fois par an";"économie solidaire";"coopérative / finance";"coopérative de financement et d'appui au financement solidaire";
"Solidarité(s) (SOL)";"http://conseils-seniors.com";"1 fois par an";"solidarité locale et nationale";"personnes agées";;
"Solidarité(s) (SOL)";"http://contrelaviolence.canalblog.com";"1 fois par an";"solidarité locale et nationale";"blog / victimes";"sortir de l'emprise de la violence";
"Solidarité(s) (SOL)";"http://cpca.asso.fr";"1 fois par an";"économie solidaire";"généralités";"conférence permanente des coordinations associatives";
"Solidarité(s) (SOL)";"http://dessinemoiunparrain.org";"1 fois par an";"solidarité locale et nationale";"jeunes";;
"Solidarité(s) (SOL)";"http://dette-developpement.org";"1 fois par an";"solidarité internationale";"aide économique / dettes publiques / réseaux associatifs";"Plateforme d'action et d'information sur la dette des pays du Sud";"http://www.dette2000.org (10/06/2016)"
"Solidarité(s) (SOL)";"http://dev.lachorba.com";"1 fois par an";"solidarité locale et nationale";"exclusion sociale / aide alimentaire";;"http://lachorba.com (19/04/2017)"
"Solidarité(s) (SOL)";"http://devienstonboss.skyrock.com";"1 fois par an";"solidarité locale et nationale";"jeunes / travail";"association pour le droit à l'initiative économique";"http://www.creajeunes.org (28/08/2012)"
"Solidarité(s) (SOL)";"http://dicolsf.free.fr";"1 fois par an";"solidarité locale et nationale";"santé / sourds / langue des signes française";"diversifier l'information, la communication préventive, l'ouverture vers la langue des signes française";
"Solidarité(s) (SOL)";"http://earthinaid.free.fr";"1 fois par an";"solidarité généralités";"dons / philanthropie";"un artiste une cause";"http://earthinaid.org (18/12/2012)"
"Solidarité(s) (SOL)";"http://ela-asso.com";"1 fois par an";"solidarité internationale";"enfants / enfants malades / leucodystrophies / oeuvres de bienfaisance";"association européenne contre les leucodystrophies";"http://www.ela-asso.com (28/08/2012)"
"Solidarité(s) (SOL)";"http://emes.net";"1 fois par an";"économie solidaire";"recherche / évaluation";"réseau européen de recherche sur l'economie sociale et solidaire";"http://www.emes.net (24/09/2012) / http://www.emes.net/index.php?id=60/ (02/10/2012) / http://www.emes.net (17/05/2013) / http://www.emes.net/what-we-do/?no_cache=1 (12/06/2015) / http://emes.net/what-we-do/?no_cache=1 (18/06/2015)"
