"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Audiovisuel (AUD)";"http://0100101110101101.org";"1 fois par an";"art et littérature numériques";"art numerique / Mattes, Eva (1976-....) / Mattes, Franco (1976-....)";"non diffusées";"http://www.0100101110101101.org/home/nikeground/index.html (20/03/2013) / http://www.0100101110101101.org (01/10/2013)"
"Audiovisuel (AUD)";"https://1001oeil.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Oparadize Films / audiovisuel / Production et réalisation";"non diffusées";"http://1001oeil.com (10/02/2020)"
"Audiovisuel (AUD)";"http://10kbullets.com";"1 fois par an";"cinéma et audiovisuel";"Films / Comptes rendus / Cinéma bis";"non diffusées";
"Audiovisuel (AUD)";"http://15aout.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"production audiovisuelle";"non diffusées";
"Audiovisuel (AUD)";"http://17000islandsinteractive.com";"1 fois par an";"distribution de contenus";"Webdocumentaires / Indonésie";"non diffusées";
"Audiovisuel (AUD)";"http://3b-productions.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"3B Productions / audiovisuel / Production et réalisation";"non diffusées";"http://www.3b-productions.com (06/05/2019)"
"Audiovisuel (AUD)";"http://4-16prod.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"http://42ndstreetcinema.blogspot.com";"1 fois par an";"cinéma et audiovisuel";"Cinéma bis";"non diffusées";"http://42ndstreetcinema.blogspot.fr (12/02/2019)"
"Audiovisuel (AUD)";"http://50nuancesplussombre.com";"1 fois par an";"cinéma et audiovisuel";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"http://5planete.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"5ème Planète / audiovisuel / Production et réalisation";"non diffusées";
"Audiovisuel (AUD)";"http://7eantiquaire.blogspot.com";"1 fois par an";"cinéma et audiovisuel";"Films / Comptes rendus / Cinéma bis";"non diffusées";"http://7eantiquaire.blogspot.fr (12/02/2019)"
"Audiovisuel (AUD)";"http://7et8.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Boulenger, Nicolas / Réalisateur";"non diffusées";"http://www.7et8.com (11/12/2019)"
"Audiovisuel (AUD)";"https://7vague.com";"1 fois par an";"filières de la musique et de l'édition phonographique";"Festival musiques actuelles Brétignolles-sur-Mer Vendée Pays-de-Loire mai";"non diffusées";"http://www.7vague.com (17/01/2019) / https://www.7vague.com (29/04/2020)"
"Audiovisuel (AUD)";"https://8artcity.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"non diffusées";"http://www.8artcity.com (19/02/2020)"
"Audiovisuel (AUD)";"https://90bpm.net";"1 fois par an";"musique et son";"non renseigné";"non diffusées";"http://www.90bpm.net (11/12/2019)"
"Audiovisuel (AUD)";"http://a3distribution.com/home/";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"non diffusées";"http://a3distribution.com (19/09/2012)"
"Audiovisuel (AUD)";"http://abandonlistings.free.fr";"1 fois par an";"multimédia";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"https://abbasfahdel.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"non diffusées";"http://abbasfahdel.com (17/01/2019)"
"Audiovisuel (AUD)";"http://academiedeslumieres.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"récompenses";"non diffusées";"http://www.academielumieres.com (07/02/2019)"
"Audiovisuel (AUD)";"http://acadrafilms.free.fr";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Acadra distribution / Distribution des films";"non diffusées";
"Audiovisuel (AUD)";"https://acces-s.org";"1 fois par an";"art et littérature numériques";"festival";"non diffusées";"http://acces-s.org (17/01/2019)"
"Audiovisuel (AUD)";"http://accidentalqueens.com";"1 fois par an";"filières du multimédia";"jeu vidéo / éditeur";"non diffusées";
"Audiovisuel (AUD)";"https://acseries.net";"1 fois par an";"cinéma et audiovisuel";"Séries télévisées";"non diffusées";
"Audiovisuel (AUD)";"http://actmediadiffusion.org";"1 fois par an";"filières du cinéma et de l'audiovisuel";"documentaire";"non diffusées";
"Audiovisuel (AUD)";"https://actu-film.com";"1 fois par an";"cinéma et audiovisuel";"non renseigné";"non diffusées";"http://actu-film.com (17/01/2019)"
"Audiovisuel (AUD)";"https://addoc.net";"1 fois par an";"filières du cinéma et de l'audiovisuel";"réalisateurs de cinéma / association professionnelle";"non diffusées";"http://www.addoc.net (13/12/2012) / http://addoc.net (09/06/2020)"
"Audiovisuel (AUD)";"http://a.denize.free.fr";"1 fois par an";"art et littérature numériques";"art numérique";"non diffusées";
"Audiovisuel (AUD)";"http://adoptfilms.net";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"https://adrc-asso.org";"1 fois par an";"filières du cinéma et de l'audiovisuel";"aide à la production";"non diffusées";"http://www.adrc-asso.org (17/01/2019) / https://www.adrc-asso.org (08/02/2019)"
"Audiovisuel (AUD)";"https://adygasy.com";"1 fois par an";"cinéma et audiovisuel";"non renseigné";"non diffusées";"http://adygasy.com (10/02/2020)"
"Audiovisuel (AUD)";"http://afcafete.blogspot.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Association française du cinéma d'animation / Animation (cinéma)";"non diffusées";"http://afcafete.blogspot.fr (24/04/2019)"
"Audiovisuel (AUD)";"http://afpf.lesproducteursindependants.org";"1 fois par an";"communication institutionnelle et associative";"Association Française des Producteurs de Films";"non diffusées";"http://www.afpf.net (09/04/2019)"
"Audiovisuel (AUD)";"http://africultures.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"base de données / Afrique / cinéma";"non diffusées";"http://www.africultures.com (16/05/2012) / http://www.africultures.com/php/ (13/12/2016) / http://www.africultures.com (20/02/2019)"
"Audiovisuel (AUD)";"https://afrikafilmfestival.be";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"non diffusées";"http://www.afrikafilmfestival.be (17/01/2019) / https://www.afrikafilmfestival.be (20/02/2019)"
"Audiovisuel (AUD)";"https://afsr.fr";"1 fois par an";"communication institutionnelle et associative";"associations / DVD";"non diffusées";"http://www.afsr.net (04/05/2019)"
"Audiovisuel (AUD)";"https://agi-son.org";"1 fois par an";"musique et son";"sensibilisation risques auditifs";"non diffusées";"http://www.agi-son.org (17/01/2019) / https://www.agi-son.org (11/12/2019)"
"Audiovisuel (AUD)";"http://agnes-jaoui.over-blog.com";"1 fois par an";"cinéma et audiovisuel";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"https://aguyandhishero.github.io";"2 fois par an";"filières du multimédia";"site jeu vidéo";"non diffusées";
"Audiovisuel (AUD)";"https://ajc-jazz.eu";"1 fois par an";"filières de la musique et de l'édition phonographique";"Association des festivals innovants en jazz et musiques actuelles";"non diffusées";"http://www.afijma.asso.fr (11/07/2014) / http://www.ajc-jazz.eu (17/01/2019) / https://www.ajc-jazz.eu (11/12/2019)"
"Audiovisuel (AUD)";"http://alainlioret.fr";"1 fois par an";"art et littérature numériques";"art numérique";"non diffusées";
"Audiovisuel (AUD)";"http://alapoursuitedu7emeart.over-blog.net";"1 fois par an";"cinéma et audiovisuel";"blogs / critique";"non diffusées";"http://eric-c.blogs.allocine.fr (24/05/2012)"
"Audiovisuel (AUD)";"http://aldabrafilms.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Aldabra Films / audiovisuel / Production et réalisation";"non diffusées";"http://www.aldabrafilms.com/fr/ (09/05/2019)"
"Audiovisuel (AUD)";"https://aldus2006.typepad.fr";"1 fois par an";"multimédia";"livre électronique";"non diffusées";"http://aldus2006.typepad.fr (17/01/2019)"
"Audiovisuel (AUD)";"https://alexandraloewe.com";"1 fois par an";"art et littérature numériques";"art numérique / Loewe, Alexandra";"non diffusées";"http://www.alexandraloewe.com (05/02/2019) / http://alexandraloewe.com/#_=_ (10/02/2020)"
"Audiovisuel (AUD)";"http://alexandre-films.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Alexandre Films / audiovisuel / Production et réalisation";"non diffusées";"http://www.alexandre-films.com (09/05/2019)"
"Audiovisuel (AUD)";"https://alfamafilms.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"distributeurs / producteurs";"non diffusées";"http://www.alfamafilms.com (07/02/2019) / http://alfamafilms.com (10/02/2020)"
"Audiovisuel (AUD)";"http://aliasmaria.com";"1 fois par an";"cinéma et audiovisuel";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"http://alighanem.ilyatoo.com/fr/";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"http://alleluia-lefilm.com";"1 fois par an";"cinéma et audiovisuel";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"http://allemand.univercine-nantes.org";"1 fois par an";"cinéma et audiovisuel";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"http://alligatographe.blogspot.com";"1 fois par an";"cinéma et audiovisuel";"Films / Comptes rendus";"non diffusées";"http://alligatographe.blogspot.fr (12/02/2019)"
"Audiovisuel (AUD)";"http://allrecordlabels.com";"1 fois par an";"filières de la musique et de l'édition phonographique";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"http://allsoluces.com";"2 fois par an";"multimédia";"jeu vidéo";"non diffusées";
"Audiovisuel (AUD)";"http://altamira-films.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Altamira films / audiovisuel / production et réalisation / Distribution des films";"non diffusées";
"Audiovisuel (AUD)";"https://amenmeryt.pagesperso-orange.fr";"1 fois par an";"pédagogie";"Égyptien ancien (langue) / écriture hiéroglyphique";"non diffusées";"http://amenmeryt.pagesperso-orange.fr (17/07/2019)"
"Audiovisuel (AUD)";"http://amostviolentyear.com";"1 fois par an";"cinéma et audiovisuel";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"http://anachronicon.blogspot.com";"1 fois par an";"art et littérature numériques";"art numérique / Histoire de l'art";"non diffusées";"http://anachronicon.blogspot.fr (05/02/2019)"
"Audiovisuel (AUD)";"http://andre-lozano.org";"1 fois par an";"art et littérature numériques";"art numérique";"non diffusées";
"Audiovisuel (AUD)";"http://andylau-france.blogspot.com";"1 fois par an";"cinéma et audiovisuel";"non renseigné";"non diffusées";"http://andylau-france.blogspot.fr (07/02/2019)"
"Audiovisuel (AUD)";"https://animedigitalnetwork.fr";"2 fois par an";"distribution de contenus";"vidéo à la demande / dessins animé / fiction télévisée";"non diffusées";"http://animedigitalnetwork.fr (17/01/2019)"
"Audiovisuel (AUD)";"https://animeland.fr";"1 fois par an";"cinéma et audiovisuel";"non renseigné";"non diffusées";"http://www.animeland.com (07/02/2019)"
"Audiovisuel (AUD)";"http://anjaunger.blogspot.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Unger, Anja / Documentaristes";"non diffusées";"http://anjaunger.blogspot.fr (31/05/2019)"
"Audiovisuel (AUD)";"https://annadumitriu.tumblr.com";"1 fois par an";"art et littérature numériques";"art numerique / Dinitriu, Anna";"non diffusées";"http://www.normalflora.co.uk (05/02/2019) / http://annadumitriu.tumblr.com (04/05/2019)"
"Audiovisuel (AUD)";"https://annecycinemaitalien.com/fr/bienvenue/";"2 fois par an";"filières du cinéma et de l'audiovisuel";"cinéma italien / festival / août / octobre";"non diffusées";"http://www.annecycinemaitalien.com (17/01/2019) / https://www.annecycinemaitalien.com (08/02/2019)"
"Audiovisuel (AUD)";"http://annhardingstreasures.blogspot.com";"1 fois par an";"cinéma et audiovisuel";"non renseigné";"non diffusées";"http://annhardingstreasures.blogspot.fr (07/02/2019)"
"Audiovisuel (AUD)";"http://annyas.com";"1 fois par an";"cinéma et audiovisuel";"générique (audiovisuel) / typographie";"non diffusées";
"Audiovisuel (AUD)";"http://anousdevoir.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"festivals de cinéma / cinéma et sciences";"non diffusées";"http://www.anousdevoir.com (20/02/2019)"
"Audiovisuel (AUD)";"http://anthologyfilmarchives.org";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Cinéma expérimental / New York (N.Y.)";"non diffusées";
"Audiovisuel (AUD)";"https://anthonyantonellis.com";"1 fois par an";"art et littérature numériques";"art numérique";"non diffusées";"http://anthonyantonellis.com/bluebrightness/ (16/11/2012) / http://anthonyantonellis.com (17/01/2019)"
"Audiovisuel (AUD)";"https://antioch.midnightmoodstudio.com";"2 fois par an";"filières du multimédia";"jeu vidéo / site";"non diffusées";"http://antiochgame.com (26/02/2019)"
"Audiovisuel (AUD)";"https://antipub.org";"1 fois par an";"cinéma et audiovisuel";"non renseigné";"non diffusées";"http://www.antipub.org (17/01/2019) / https://www.antipub.org (11/12/2019)"
"Audiovisuel (AUD)";"http://antoinedelach.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"Antoine Delach / audiovisuel / production et réalisation / Animation (cinéma)";"non diffusées";
"Audiovisuel (AUD)";"http://anyflo.com";"2 fois par an";"art et littérature numériques";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"http://apartcatoutvabien.com";"1 fois par an";"distribution de contenus";"non renseigné";"non diffusées";"http://www.apartcatoutvabien.com (20/02/2020)"
"Audiovisuel (AUD)";"http://a-parts-distribution.com";"1 fois par an";"filières du cinéma et de l'audiovisuel";"non renseigné";"non diffusées";
"Audiovisuel (AUD)";"https://api-and-you.com";"1 fois par an";"pédagogie";"non renseigné";"non diffusées";"http://www.receptionfrance.com (10/06/2020)"
"Audiovisuel (AUD)";"http://applicationswindowsphone.com";"1 fois par an";"multimédia";"high tech";"non diffusées";
