"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Sciences et techniques (SCT)";"http://abcmathsblog.blogspot.fr";"1 fois par an";"mathématiques";"Marion, Guy / blogs / mathématiques";"Blog de Guy Marion professeur de mathématiques.";
"Sciences et techniques (SCT)";"http://acsbe.asso.fr";"1 fois par jour";"santé";"association / Éducation sanitaire";"Association communautaire santé bien être, du quatier Franc Moisin / Bel Air, Saint-Denis";
"Sciences et techniques (SCT)";"http://adesesleus.cowblog.fr";"1 fois par an";"gastronomie";"blog / cuisine / cuisine recettes";"http://coffeebreak.cowblog.fr  http://adesesleus.cowblog.fr URL valide";
"Sciences et techniques (SCT)";"http://afcas-asso.org";"1 fois par an";"agronomie";"Association française de la canne à sucre / canne à sucre";"Association française de la canne à sucre (AFCAS)";"http://www.afcas.info (24/02/2016)"
"Sciences et techniques (SCT)";"http://afidol.org";"1 fois par an";"agronomie";"Association française interprofessionnelle de l'olive / associations professionnelles / olives / huile d'olive";;"http://www.afidol.org (04/04/2017)"
"Sciences et techniques (SCT)";"http://aftoc.org";"1 fois par jour";"santé";"association / syndrome de Tourette / trouble obsessionnel-compulsif";"Site de l'association AFTOC-Tourette";
"Sciences et techniques (SCT)";"http://agastache29.canalblog.com";"1 fois par an";"gastronomie";"blog / cuisine / cuisine recettes";;
"Sciences et techniques (SCT)";"http://agriculture-moyenne-montagne.org";"1 fois par an";"agronomie";"Agriculture durable de moyenne montagne / association / agriculture durable / montagnes / agriculture en montagne";"Réseau agriculture durable en moyenne montagne (ADMM) : réseau de paysans et de structures qui les accompagnent dans leurs réflexions et leurs démarches vers une agriculture durable, économe et autonome, avec les spécificités de la moyenne montagne.";
"Sciences et techniques (SCT)";"http://algorythmes.blogspot.fr";"1 fois par an";"mathématiques";"blogs / mathématiques";"Blog professeur de mathématiques";"http://algorythmes.blogspot.com (07/05/2012)"
"Sciences et techniques (SCT)";"http://algosource.com";"1 fois par an";"ingénierie";"entreprises / microalgues";;"http://www.algosource.com (05/04/2017)"
"Sciences et techniques (SCT)";"http://alimentation-generale.fr";"1 fois par jour";"gastronomie";"presse et revue / alimentation / goût";"Alimentation générale est  un magazine et uns société de conseil lié à la nourriture, au champ de l'assiette.";
"Sciences et techniques (SCT)";"http://alimentation-sante.org";"1 fois par an";"santé";"santé / nutrition / aliments";"Le Fonds français pour l’alimentation et la santé (FFAS) est une structure inédite et fédératrice qui a pour mission l’étude et la mise en valeur d’une alimentation source de plaisir et de santé";"http://www.alimentation-sante.org (29/03/2017)"
"Sciences et techniques (SCT)";"http://alliancegreenit.org";"1 fois par an";"informatique";"Alliance green it / informatique / nouvelles technologies de l'information et de la communication / écoconception";"Alliance green it (AGIT) a pour mission de fédérer les acteurs du green IT pour contribuer au débat public sur la place des TIC dans le développement durable.";"http://www.alliancegreenit.org (24/03/2015)"
"Sciences et techniques (SCT)";"http://amgar.blog.processalimentaire.com";"1 fois par an";"ingénierie";"Amgar, Albert / blogs / agroalimentaire / risques alimentaires";"Veille technologique dans le domaine de l’hygiène et de la sécurité des aliments.";
"Sciences et techniques (SCT)";"http://ansm.sante.fr";"2 fois par an";"santé";"médicaments / sécurité sanitaire";"Agence française de sécurité sanitaire des produits de santé";"http://www.afssaps.fr (21/06/2012)"
"Sciences et techniques (SCT)";"http://apiculture.beehoo.com";"1 fois par an";"agronomie";"Riondet, Jean / blogs / apiculture / apiculteurs";"Blog de conseil en apiculture de Jean Riondet";
"Sciences et techniques (SCT)";"http://aquaculture-aquablog.blogspot.fr";"1 fois par an";"agronomie";"blogs / aquaculture / pêche / conchyliculture";"blog de pêcheurs et de conchyliculteurs";"http://aquaculture-aquablog.blogspot.com (07/05/2012)"
"Sciences et techniques (SCT)";"http://arbres42.overblog.com";"1 fois par an";"sciences de la vie";"Arbres--diversité";;
"Sciences et techniques (SCT)";"http://ascete.org/fr/accueil/";"1 fois par jour";"sciences de la vie";"entomocénoses";"Association pour la caractérisation et l'étude des entomocénoses";"http://www.ascete.org (21/07/2017)"
"Sciences et techniques (SCT)";"http://assohqe.org";"1 fois par an";"ingénierie";"Association HQE / construction durable / aménagement durable";;
"Sciences et techniques (SCT)";"http://astro.unistra.fr";"1 fois par an";"astronomie";"Observatoire de Strasbourg";;
"Sciences et techniques (SCT)";"http://asts.paris";"1 fois par an";"sciences--généralités";"science / technologie";"Association Science Technologie  Société";"http://www.asts.asso.fr (31/03/2015)"
"Sciences et techniques (SCT)";"http://atee.fr";"1 fois par an";"ingénierie";"Association technique énergie environnement / énergie / énergies renouvelables";"L'association technique énergie environnement (ATEE) regroupe tous les acteurs concernés dans leur activité professionnelle par les questions énergétiques et environnementales.";"http://www.atee.fr (10/03/2016)"
