"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Mouvements sociaux (MOUV)";"https://1001heroines.fr";"1 fois par an";"femmes et féminisme";"contre le sexisme / héroïnes / femmes / féminisme / livres / séries";"non diffusées";
"Mouvements sociaux (MOUV)";"http://10ans-violette.over-blog.com";"1 fois par an";"femmes et féminisme";"féminisme / librairie / égalité / parité / sexualité / genre / littérature";"non diffusées";
"Mouvements sociaux (MOUV)";"https://13.snuipp.fr/spip.php?rubrique103";"1 fois par an";"femmes et féminisme";"droits des femmes / contre le féminicide / contre les violences sexuelles / contre les violences sexistes / féminisme / femmes";"non diffusées";
"Mouvements sociaux (MOUV)";"https://17juin.noblogs.org";"1 fois par an";"militantismes écologistes";"coronavirus / écologie / stopreintox";"non diffusées";
"Mouvements sociaux (MOUV)";"http://1libertaire.free.fr/MariePasClaire01.html";"1 fois par an";"femmes et féminisme";"humour / journal / militantisme";"non diffusées";
"Mouvements sociaux (MOUV)";"https://44vilainesfilles.weebly.com";"1 fois par an";"femmes et féminisme";"féminisme / homosexualité / lesbienne / égalité / droits / violence / Nantes";"non diffusées";
"Mouvements sociaux (MOUV)";"https://8mars15h40.fr";"1 fois par an";"femmes et féminisme";"féminisme / lutte / droit / violence / égalité / travail";"non diffusées";
"Mouvements sociaux (MOUV)";"http://8mars.info";"1 fois par an";"femmes et féminisme";"8 mars / journée internationale des droits des femmes / égalité / droit / justice";"non diffusées";
"Mouvements sociaux (MOUV)";"http://9emecollectif.net";"1 fois par an";"mobilisations protestataires";"droit d'asile / sans-papiers / migrants";"non diffusées";
"Mouvements sociaux (MOUV)";"https://aafa-asso.info";"1 fois par an";"femmes et féminisme";"sexisme / culture / cinéma / discrimination";"non diffusées";"http://aafa-asso.info (11/01/2019) / http://aafa-asso.info (17/01/2019)"
"Mouvements sociaux (MOUV)";"http://abolition-ms.org";"1 fois par an";"femmes et féminisme";"abolition GPA / féministe / droits";"non diffusées";
"Mouvements sociaux (MOUV)";"http://abolitionniste.blogspot.com";"1 fois par an";"femmes et féminisme";"prostitution / abolitionnisme";"non diffusées";"http://abolitionniste.blogspot.fr (10/05/2019)"
"Mouvements sociaux (MOUV)";"https://about.make.org/about-vff";"1 fois par an";"femmes et féminisme";"contre les violences faites aux femmes / femmes / féminisme / droits des femmes";"non diffusées";
"Mouvements sociaux (MOUV)";"https://actioncatholiquedesfemmes.org";"1 fois par an";"femmes et féminisme";"place des femmes dans l'église / catholicisme / femmes et religion catholique";"non diffusées";"http://actioncatholiquedesfemmes.org (17/01/2019)"
"Mouvements sociaux (MOUV)";"https://adsfasso.org";"1 fois par an";"femmes et féminisme";"féminisme / santé des femmes / femmes / droits des femmes / aide des femmes en grande précarité";"non diffusées";
"Mouvements sociaux (MOUV)";"http://aeroportnddl.fr";"1 fois par an";"militantismes écologistes";"Notre-Dame-Des-Landes";"non diffusées";
"Mouvements sociaux (MOUV)";"http://afem.itane.com/index.php";"1 fois par an";"femmes et féminisme";"droits des femmes / femmes / féminisme / européennes";"non diffusées";
"Mouvements sociaux (MOUV)";"https://affdlehavre.fr";"1 fois par an";"femmes et féminisme";"femmes / féminisme / famille en difficulté / contre les violences faites aux femmes";"non diffusées";
"Mouvements sociaux (MOUV)";"https://affm-asso.fr";"1 fois par an";"femmes et féminisme";"femmes / féminisme / réflexion des femmes sur la médecine / amélioration de la santé des femmes et des enfants";"non diffusées";
"Mouvements sociaux (MOUV)";"https://affq.org";"1 fois par an";"femmes et féminisme";"finance / économie / banques / carrière / mixité";"non diffusées";
"Mouvements sociaux (MOUV)";"https://afrofeminista.com";"1 fois par an";"femmes et féminisme";"genre / Afrique / diaspora / violences / sexisme / droits des femmes";"non diffusées";
"Mouvements sociaux (MOUV)";"https://agir17.noblogs.org";"1 fois par an";"militantismes écologistes";"coronavirus / écologie / stopreintox";"non diffusées";
"Mouvements sociaux (MOUV)";"https://allianceanticorrida.fr";"1 fois par an";"militantismes écologistes";"cause animale / anticorrida";"non diffusées";"http://www.anticorrida.org (13/08/2012) / http://www.allianceanticorrida.fr (29/05/2020)"
"Mouvements sociaux (MOUV)";"https://alternatiba.eu";"1 fois par an";"militantismes écologistes";"changement climatique";"non diffusées";
"Mouvements sociaux (MOUV)";"http://alternatives-et-autogestion.org";"1 fois par an";"mobilisations protestataires";"anticapitalisme / écologie / autogestion / décroissance";"non diffusées";"http://alternatives-et-autogestion.org/blog/ (13/05/2018)"
"Mouvements sociaux (MOUV)";"http://ambivalence67.free.fr";"1 fois par an";"femmes et féminisme";"LGBT / bisexualité / pan-sexualité / biphobie";"non diffusées";
"Mouvements sociaux (MOUV)";"https://amicaledunid.org";"1 fois par an";"femmes et féminisme";"associations / violence / sexisme / prostitution / droit";"non diffusées";"http://amicaledunid.org (29/05/2020)"
"Mouvements sociaux (MOUV)";"http://amidelegalite.free.fr";"1 fois par an";"mobilisations protestataires";"collectif / communisme";"non diffusées";
"Mouvements sociaux (MOUV)";"https://amongestedefendant.wordpress.com";"1 fois par an";"femmes et féminisme";"féminisme / intersectionnalité / handicap / LGBT";"non diffusées";
"Mouvements sociaux (MOUV)";"https://anchor.fm/betty-piccioli";"1 fois par an";"femmes et féminisme";"podcast / Toutes les femmes de ta vie / femmes historiques / femmes / féminisme";"non diffusées";
"Mouvements sociaux (MOUV)";"https://anchor.fm/lesrencontresdegaia";"1 fois par an";"femmes et féminisme";"podcast / féminisme / écoféminisme / les rencontres de Gaia";"non diffusées";
"Mouvements sociaux (MOUV)";"https://ancrages.org";"1 fois par an";"mémoires maghrébines";"Marseille / Estaque / mémoires / immigration / associations / quartier / algérien / tunisien / marocain";"non diffusées";"http://ancrages.org (29/05/2020)"
"Mouvements sociaux (MOUV)";"http://anlcf.free.fr";"1 fois par an";"femmes et féminisme";"chasse / sport";"non diffusées";
"Mouvements sociaux (MOUV)";"https://anticons.wordpress.com";"1 fois par an";"mobilisations protestataires";"anticonservatisme";"non diffusées";"http://anticons.wordpress.com (28/01/2015)"
"Mouvements sociaux (MOUV)";"https://antimasculinisme.wordpress.com";"1 fois par an";"femmes et féminisme";"anti-masculinisme / féminisme / femmes / droits des femmes";"non diffusées";
"Mouvements sociaux (MOUV)";"https://antipub.org";"1 fois par an";"mobilisations protestataires";"antipub / collectif";"non diffusées";"http://antipub.org (11/05/2018)"
"Mouvements sociaux (MOUV)";"https://antisexisme.net";"1 fois par an";"femmes et féminisme";"sexisme / sciences humaines / clichés / inégalités entre les femmes et les hommes";"non diffusées";"http://antisexisme.net (11/05/2018)"
"Mouvements sociaux (MOUV)";"https://antitht.noblogs.org";"1 fois par an";"militantismes écologistes";"environnement";"non diffusées";"http://antitht.noblogs.org (14/04/2016) / https://antitht.noblogs.org (12/05/2017) / http://antitht.noblogs.org (17/01/2019)"
"Mouvements sociaux (MOUV)";"http://apel.egalite.free.fr";"1 fois par an";"femmes et féminisme";"algériennes / luttes / droits / démocratie / manifestation / solidarité";"non diffusées";
"Mouvements sociaux (MOUV)";"https://apiaf.fr";"1 fois par an";"femmes et féminisme";"femmes / difficultés / violences conjugales / accompagnement / prévention / culture / citoyenneté";"non diffusées";"http://apiaf.fr (11/05/2018)"
