"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Solidarité(s) (SOL)";"http://13onze15.org";"1 fois par an";"solidarité locale et nationale";"attentats / aide aux victimes";"non diffusées";
"Solidarité(s) (SOL)";"https://3977.fr";"1 fois par an";"solidarité locale et nationale";"handicapés / personnes âgées / violence";"non diffusées";"http://www.alma-france.org (17/06/2016) / http://www.3977contrelamaltraitance.org (14/05/2018) / http://www.le3977.info (18/04/2019)"
"Solidarité(s) (SOL)";"http://acajou.org";"1 fois par an";"solidarité locale et nationale";"handicapés visuels / danse";"non diffusées";"http://acajou.m4ne.com (30/08/2012) / http://acajou.m4ne.com/new_acajou_joomla/index.php (14/06/2013) / http://acajou.m4ne.com (16/06/2016)"
"Solidarité(s) (SOL)";"https://addes.asso.fr";"1 fois par an";"économie solidaire";"recherche / évaluation";"non diffusées";"http://www.addes.asso.fr (11/06/2015) / http://addes.asso.fr (17/06/2021)"
"Solidarité(s) (SOL)";"https://admical.org";"1 fois par an";"solidarité";"mécénat / entreprises / réfugiés";"non diffusées";"http://www.admical.org (16/04/2019) / http://admical.org (18/04/2019) / http://www.admical.org (17/06/2021)"
"Solidarité(s) (SOL)";"https://afev.org";"1 fois par an";"solidarité locale et nationale";"jeunesse / éducation / étudiants / quartiers";"non diffusées";"http://www.afev.fr (29/06/2016) / http://afev.org (17/06/2021)"
"Solidarité(s) (SOL)";"https://afrique.aide-et-action.org";"1 fois par an";"solidarité internationale";"Afrique / aide à l'éducation";"non diffusées";"http://www.aeaafrique.org (10/06/2016) / http://afrique.aide-et-action.org (29/05/2020)"
"Solidarité(s) (SOL)";"https://afs.fr";"1 fois par an";"solidarité internationale";"échanges culturels / éducation / étudiants étrangers";"non diffusées";"http://www.afs-fr.org (15/03/2017) / http://afs.fr (17/01/2019)"
"Solidarité(s) (SOL)";"https://agence-limite.fr";"1 fois par an";"solidarité";"développement durable / responsabilité sociétale / communication responsable / technologies de l'information et de la communication";"non diffusées";"http://agence-limite.fr/blog/ (02/10/2012) / http://agence-limite.fr (29/05/2020)"
"Solidarité(s) (SOL)";"https://aide-et-action.org";"1 fois par an";"solidarité internationale";"aide à l'éducation";"non diffusées";"http://www.aide-et-action.org (29/05/2020) / https://www.aide-et-action.org (21/06/2021)"
"Solidarité(s) (SOL)";"http://amd-france.over-blog.org";"1 fois par an";"solidarité internationale";"aide sanitaire / blog";"non diffusées";"http://www.amd-blog.org (06/02/2017) / http://amd-france.over-blog.org (04/05/2018) / http://amd-blog.org (29/05/2020)"
"Solidarité(s) (SOL)";"https://amicaledunid.org";"1 fois par an";"solidarité locale et nationale";"prostitution";"non diffusées";"http://www.amicaledunid.org (29/05/2020) / https://www.amicaledunid.org (21/06/2021)"
"Solidarité(s) (SOL)";"https://ardhis.org";"1 fois par an";"solidarité locale et nationale";"homosexuels appartenant à des minorités / minorités sexuelles / immigrés";"non diffusées";"http://www.ardhis.org (12/06/2014) / http://ardhis.org/WP3/ (18/06/2015) / http://ardhis.org (16/06/2016) / http://ardhis.org/WP3/ (04/05/2018) / https://ardhis.org/WP3/ (23/05/2018) / https://ardhis.org (18/04/2019) / http://www.ardhis.org/WP3/ (13/05/2019)"
"Solidarité(s) (SOL)";"http://arutam.free.fr";"1 fois par an";"solidarité internationale";"Jivaro (indiens) / aide sanitaire / ethnomédecine";"non diffusées";
"Solidarité(s) (SOL)";"https://aurore.asso.fr";"1 fois par an";"économie solidaire";"exclusion sociale / intégration sociale / insertion professionnelle / réfugiés";"non diffusées";"http://aurore.asso.fr (17/06/2021)"
"Solidarité(s) (SOL)";"https://baamasso.org/fr/";"1 fois par an";"solidarité locale et nationale";"immigrés / intégration sociale";"non diffusées";
"Solidarité(s) (SOL)";"https://beit-haverim.com";"1 fois par an";"solidarité locale et nationale";"homosexuels juifs / minorités sexuelles / judaïsme";"non diffusées";"http://www.beit-haverim.com (03/05/2018) / https://www.beit-haverim.com (18/06/2021)"
"Solidarité(s) (SOL)";"http://benevole-accompagnant-fin-de-vie.blogspot.com";"1 fois par an";"solidarité locale et nationale";"santé / fin de vie";"non diffusées";"http://benevole-accompagnant-fin-de-vie.blogspot.fr (19/04/2019)"
"Solidarité(s) (SOL)";"https://blogofficielautremonde.wordpress.com";"1 fois par an";"solidarité locale et nationale";"exclusion sociale / jeunesse / Paris (France)";"non diffusées";
"Solidarité(s) (SOL)";"http://blog.solidarites.info";"1 fois par an";"solidarité internationale";"enfants / aide à l'éducation / aide sanitaire";"non diffusées";
"Solidarité(s) (SOL)";"http://cartonplein.weebly.com";"1 fois par an";"solidarité locale et nationale";"insertion professionnelle / intégration sociale / recyclage / cartonnages";"non diffusées";
"Solidarité(s) (SOL)";"https://ceras-projet.org";"1 fois par an";"solidarité locale et nationale";"recherche / action sociale";"non diffusées";"http://www.ceras-projet.org (17/06/2021)"
"Solidarité(s) (SOL)";"https://cfcv.asso.fr";"1 fois par an";"solidarité locale et nationale";"femmes / violence";"non diffusées";"http://www.cfcv.asso.fr (07/05/2018)"
"Solidarité(s) (SOL)";"http://chaire-philanthropie.essec.edu";"1 fois par an";"solidarité";"altruisme / recherche / École supérieure des sciences économiques et commerciales (ESSEC)";"non diffusées";
"Solidarité(s) (SOL)";"http://chantierecole.org";"1 fois par an";"économie solidaire";"formation / entrepreneurs sociaux";"non diffusées";
"Solidarité(s) (SOL)";"https://comnonprofit.wordpress.com";"1 fois par an";"solidarité";"communication / responsabilité sociétale / blog";"non diffusées";"http://www.com-nonprofit.com (17/05/2013) / http://comnonprofit.wordpress.com (12/06/2015)"
"Solidarité(s) (SOL)";"https://concordeurope.org";"1 fois par an";"solidarité internationale";"économie du développement / gestion des situations d'urgence / réseaux associatifs";"non diffusées";"http://www.concordeurope.org (30/08/2012) / http://www.concordeurope.org/Page.php?ID=4&language=eng (17/05/2013) / http://www.concordeurope.org (17/06/2016) / http://concordeurope.org (15/03/2017)"
"Solidarité(s) (SOL)";"https://cooperer.coop";"1 fois par an";"économie solidaire";"emploi / coopératives / réseaux professionnels";"non diffusées";"http://www.cooperer.coop (05/05/2018)"
"Solidarité(s) (SOL)";"https://depaulfrance.org/services/";"1 fois par an";"solidarité locale et nationale";"exclusion sociale / sans-domicile / hygiène / établissements sanitaires mobiles / accueil de jour / Ile-de-France";"non diffusées";
"Solidarité(s) (SOL)";"https://dette-developpement.org";"1 fois par an";"solidarité internationale";"aide économique / dettes publiques / réseaux associatifs";"non diffusées";"http://www.dette2000.org (10/06/2016) / http://dette-developpement.org (29/05/2020)"
"Solidarité(s) (SOL)";"http://dicolsf.free.fr";"1 fois par an";"solidarité locale et nationale";"santé / sourds / langue des signes française";"non diffusées";
"Solidarité(s) (SOL)";"https://dondesang.efs.sante.fr";"1 fois par an";"solidarité locale et nationale";"santé / dons du sang / Établissement français du sang";"non diffusées";"http://www.dondusang.net (28/08/2012) / http://www.dondusang.net/rewrite/site/37/etablissement-francais-du-sang.htm?idRubrique=756 (08/07/2014) / http://www.dondusang.net (18/06/2016) / https://www.dondusang.net (11/05/2018)"
"Solidarité(s) (SOL)";"https://educationparlesport.com";"1 fois par an";"solidarité locale et nationale";"jeunesse / éducation / sports";"non diffusées";"http://www.apels.org (22/07/2015) / http://www.educationparlesport.com (29/05/2020) / https://www.educationparlesport.com (18/06/2021)"
"Solidarité(s) (SOL)";"https://ela-asso.com";"1 fois par an";"solidarité internationale";"enfants / enfants malades / leucodystrophies / oeuvres de bienfaisance";"non diffusées";"http://www.ela-asso.com (28/08/2012) / http://ela-asso.com (29/05/2020)"
"Solidarité(s) (SOL)";"https://electriciens-sans-frontieres.org";"1 fois par an";"solidarité internationale";"aide économique / ressources énergétique / électriciens";"non diffusées";"http://www.electriciens-sans-frontieres.org (17/05/2013) / http://www.electriciens-sans-frontieres.org/fr/ (18/06/2015) / http://www.electriciens-sans-frontieres.org (14/03/2017) / https://www.electriciens-sans-frontieres.org (18/06/2021)"
"Solidarité(s) (SOL)";"https://elevagessansfrontieres.org";"1 fois par an";"solidarité internationale";"assistance agricole / élevage / microfinance";"non diffusées";"http://www.elevagessansfrontieres.org (17/01/2019) / https://www.elevagessansfrontieres.org (18/06/2021)"
"Solidarité(s) (SOL)";"https://emes.net";"1 fois par an";"économie solidaire";"recherche / évaluation";"non diffusées";"http://www.emes.net (24/09/2012) / http://www.emes.net/index.php?id=60/ (02/10/2012) / http://www.emes.net (17/05/2013) / http://www.emes.net/what-we-do/?no_cache=1 (12/06/2015) / http://emes.net/what-we-do/?no_cache=1 (18/06/2015) / http://emes.net (17/01/2019)"
"Solidarité(s) (SOL)";"https://enfance-et-partage.org";"1 fois par an";"solidarité internationale";"enfants / enfants maltraités / Enfance et partage (France)";"non diffusées";"http://www.enfance-et-partage.org (05/05/2018) / https://www.enfance-et-partage.org (18/06/2021)"
"Solidarité(s) (SOL)";"https://enfantsdasie.com";"1 fois par an";"solidarité internationale";"Asie / aide économique / aide à l'éducation / enfants";"non diffusées";"http://www.enfantsdasie.com (05/05/2018) / https://www.enfantsdasie.com (18/06/2021)"
"Solidarité(s) (SOL)";"https://enfantsdudesert.org";"1 fois par an";"solidarité internationale";"enfants / éducation / Maroc";"non diffusées";"http://www.enfantsdudesert.org (24/06/2014) / http://enfantsdudesert.org (14/05/2018)"
"Solidarité(s) (SOL)";"https://enfants-du-monde.org";"1 fois par an";"solidarité internationale";"enfants / aide à l'éducation / ailde alimentaire / aide sanitaire";"non diffusées";"http://www.edm.org (14/05/2019)"
"Solidarité(s) (SOL)";"https://entraides-citoyennes.org";"1 fois par an";"solidarité locale et nationale";"personnes défavorisées / sans-abri / réfugiés";"non diffusées";"http://entraides-citoyennes.org (17/06/2021)"
"Solidarité(s) (SOL)";"https://entre4roues.com";"1 fois par an";"solidarité locale et nationale";"handicapés / aidants naturels";"non diffusées";"http://www.entre4roues.com (18/06/2016) / http://entre4roues.com (14/05/2018)"
"Solidarité(s) (SOL)";"https://ernop.eu";"1 fois par an";"solidarité";"altruisme / recherche";"non diffusées";"http://www.ernop.eu (16/06/2016) / http://ernop.eu (29/05/2020)"
"Solidarité(s) (SOL)";"https://ess-france.org";"1 fois par an";"économie solidaire";"économie sociale et solidaire (ESS) / observatoire / statistiques / atlas de l'ESS";"non diffusées";
"Solidarité(s) (SOL)";"https://ethique-sur-etiquette.org";"1 fois par an";"économie solidaire";"éthique appliquée / information des consommateurs / travail décent";"non diffusées";"http://www.ethique-sur-etiquette.org (07/05/2018)"
"Solidarité(s) (SOL)";"https://euromedrights.org";"1 fois par an";"solidarité internationale";"droits de l'homme / Méditerranée (région) / Europe / réfugiés";"non diffusées";"http://euromedrights.org/fr/ (15/11/2016) / http://www.euromedrights.org (07/05/2018)"
"Solidarité(s) (SOL)";"https://evpa.eu.com";"1 fois par an";"solidarité";"oeuvres de bienfaisance / sociétés d'inverstissement";"non diffusées";"http://evpa.eu.com (17/01/2019)"
"Solidarité(s) (SOL)";"https://fifdh.org";"1 fois par an";"solidarité internationale";"droits de l'homme / films documentaire / Festival internation du film des droits de l'homme / FIFDH / Genève / Suisse";"non diffusées";"http://www.festival-droitsdelhomme.org (30/08/2012) / http://www.festival-droitsdelhomme.org/paris/ (14/12/2012) / http://www.festival-droitsdelhomme.org (25/06/2014) / http://www.festival-droitsdelhomme.org/paris/ (17/06/2021)"
"Solidarité(s) (SOL)";"https://filsdelacharite.org";"1 fois par an";"solidarité locale et nationale";"Fils de la charité / jeunesse / éducation chrétienne / chantiers internationaux";"non diffusées";"http://www.filsdelacharite.org (18/06/2016) / http://filsdelacharite.org (19/04/2019)"
"Solidarité(s) (SOL)";"https://financeparticipative.org";"1 fois par an";"solidarité";"finances / financement participatif";"non diffusées";"http://financeparticipative.org (29/05/2020)"
"Solidarité(s) (SOL)";"https://fncidff.info";"1 fois par an";"solidarité locale et nationale";"famille / femmes / égalité hommes femmes / féminisme / citoyenneté";"non diffusées";"http://www.infofemmes.com (21/06/2021)"
"Solidarité(s) (SOL)";"https://fondationlafrancesengage.org";"1 fois par an";"solidarité";"développement humain / certification";"non diffusées";"http://lafrancesengage.fr (14/05/2018) / http://www.fondationlafrancesengage.org (17/01/2019) / https://www.fondationlafrancesengage.org (18/06/2021)"
"Solidarité(s) (SOL)";"https://fondationsaintegenevieve.org";"1 fois par an";"solidarité locale et nationale";"accompagnement social / christianisme";"non diffusées";"http://fondationsaintegenevieve.org (17/01/2019)"
"Solidarité(s) (SOL)";"https://forus-international.org";"1 fois par an";"solidarité internationale";"aide humanitaire / organisations non gouvernementales";"non diffusées";"http://www.ong-ngo.org (01/09/2012) / http://www.ong-ngo.org/fr (18/06/2015) / http://www.ong-ngo.org (22/07/2015) / http://ifp-fip.org (18/04/2019) / http://forus-international.org (17/06/2021)"
"Solidarité(s) (SOL)";"https://fr.ulule.com";"1 fois par an";"solidarité locale et nationale";"financement participatif / économie de la culture";"non diffusées";"http://fr.ulule.com (14/05/2018)"
"Solidarité(s) (SOL)";"https://fr.wfp.org";"1 fois par an";"solidarité internationale";"aide alimentaire / programme alimentaire mondial";"non diffusées";"http://fr.wfp.org (16/04/2019) / http://fr1.wfp.org (29/05/2020) / https://fr1.wfp.org (18/06/2021)"
"Solidarité(s) (SOL)";"http://grandsparrains.franceserv.fr";"1 fois par an";"solidarité locale et nationale";"enfants / parrainage d'enfants";"non diffusées";"http://www.grandsparrains.fr (14/12/2012)"
"Solidarité(s) (SOL)";"https://grotius.fr";"1 fois par an";"solidarité internationale";"aide humanitaire / géopolitique / réfugiés";"non diffusées";"http://www.grotius.fr (07/05/2018)"
