"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Sciences et techniques (SCT)";"https://350.org/fr/";"1 fois par an";"sciences de l'environnement";"militantisme / hydrocarbures / pollution / énergies fossiles / pollution / changement climatique / énergies renouvelables";"non diffusées";"http://350.org/fr/ (17/01/2019)"
"Sciences et techniques (SCT)";"http://abcmathsblog.blogspot.com";"1 fois par an";"mathématiques";"Marion, Guy / blogs / mathématiques";"non diffusées";"http://abcmathsblog.blogspot.fr (24/04/2019)"
"Sciences et techniques (SCT)";"http://acsbe.asso.fr";"1 fois par an";"santé";"association / éducation sanitaire";"non diffusées";
"Sciences et techniques (SCT)";"https://actualiteinformatique.fr";"1 fois par mois";"informatique";"actualités / nouvelles technologies / sciences des données / cloud / intelligence artificielle / blockchain / marketing digital";"non diffusées";
"Sciences et techniques (SCT)";"https://aerospacelab.onera.fr/fr/";"1 fois par an";"ingénierie";"aéronautique / sciences spatiales / presse et revues";"non diffusées";"http://www.aerospacelab-journal.org/fr/ (14/11/2016) / http://www.aerospacelab-journal.org (07/04/2018) / http://www.aerospacelab-journal.org/fr/ (01/03/2021)"
"Sciences et techniques (SCT)";"http://afcas-asso.org";"1 fois par an";"agronomie";"Association française de la canne à sucre / canne à sucre";"non diffusées";"http://www.afcas.info (24/02/2016)"
"Sciences et techniques (SCT)";"https://afeid.irstea.fr";"1 fois par an";"agronomie";"Association Française pour l’Eau l’Irrigation et le Drainage / irrigation / drainage / gestion de l'eau";"non diffusées";"http://afeid.org (14/04/2016) / http://www.afeid.org (03/03/2021)"
"Sciences et techniques (SCT)";"https://afidol.org";"1 fois par an";"agronomie";"Association française interprofessionnelle de l'olive / associations professionnelles / olives / huile d'olive";"non diffusées";"http://www.afidol.org (04/04/2017) / http://afidol.org (25/02/2020)"
"Sciences et techniques (SCT)";"http://aftoc.org";"1 fois par an";"santé";"association / syndrome de Tourette / trouble obsessionnel-compulsif";"non diffusées";
"Sciences et techniques (SCT)";"https://agence-api.ouest-france.fr/societe/aei-association-internationale-pour-une-agriculture-acologiquement-intensive";"1 fois par an";"agronomie";"Association internationale pour une agriculture écologiquement intensive / agriculture / agriculture durable";"non diffusées";"http://www.aei-asso.org (03/04/2020) / http://www.aei-asso.org/fr (03/03/2021)"
"Sciences et techniques (SCT)";"https://agence.eau-loire-bretagne.fr/home.html";"1 fois par an";"ingénierie";"Agence de l'eau Loire Bretagne / eau / eau gestion / eau pollution / eau ressources";"non diffusées";"http://www.eau-loire-bretagne.fr (02/05/2018) / http://agence.eau-loire-bretagne.fr (17/01/2019) / https://agence.eau-loire-bretagne.fr (27/02/2020)"
"Sciences et techniques (SCT)";"https://agorapaleobotanica.wordpress.com";"1 fois par an";"paléontologie";"Association / Paleobotanique / Palynologie";"non diffusées";
"Sciences et techniques (SCT)";"https://agriculture.gouv.fr/securite-sanitaire-des-aliments-comprendre-le-dispositif-de-controle-et-de-veille";"1 fois par mois";"santé";"Alimentation / Sécurité sanitaire";"non diffusées";
"Sciences et techniques (SCT)";"http://agriculture-moyenne-montagne.org";"1 fois par an";"agronomie";"Agriculture durable de moyenne montagne / association / agriculture durable / montagnes / agriculture en montagne";"non diffusées";
"Sciences et techniques (SCT)";"https://agroof.net";"1 fois par an";"agronomie";"agroforesterie";"non diffusées";"http://www.agroof.net (31/10/2018) / https://www.agroof.net (12/06/2020)"
"Sciences et techniques (SCT)";"http://algorythmes.blogspot.com";"1 fois par an";"mathématiques";"blogs / mathématiques";"non diffusées";"http://algorythmes.blogspot.com (07/05/2012) / http://algorythmes.blogspot.fr (22/11/2019)"
"Sciences et techniques (SCT)";"https://algosource.com";"1 fois par an";"ingénierie";"entreprises / microalgues";"non diffusées";"http://www.algosource.com (05/04/2017) / http://algosource.com (17/01/2019) / https://algosource.com (27/02/2020) / https://algosource.com/fr/ (09/03/2021)"
"Sciences et techniques (SCT)";"https://alimentation-generale.fr";"1 fois par an";"gastronomie";"presse et revue / alimentation / goût";"non diffusées";"http://alimentation-generale.fr (06/11/2018)"
"Sciences et techniques (SCT)";"https://alimentation-sante.org";"1 fois par an";"santé";"Fonds français pour l’alimentation et la santé (FFAS) / santé / nutrition / aliments";"non diffusées";"http://www.alimentation-sante.org (29/03/2017) / http://alimentation-sante.org (25/02/2020)"
"Sciences et techniques (SCT)";"http://alliancegreenit.org";"1 fois par an";"informatique";"Alliance green it / informatique / nouvelles technologies de l'information et de la communication / écoconception";"non diffusées";"http://www.alliancegreenit.org (24/03/2015)"
"Sciences et techniques (SCT)";"http://allodoxia.odilefillod.fr";"1 fois par an";"santé";"blogs / Fillod, Odile / sciences médicales / psychologie / vulgarisation scientifique";"non diffusées";
"Sciences et techniques (SCT)";"http://amgar.blog.processalimentaire.com";"1 fois par an";"ingénierie";"Amgar, Albert / blogs / agroalimentaire / risques alimentaires";"non diffusées";
"Sciences et techniques (SCT)";"https://anr.fr";"1 fois par an";"sciences";"Agence nationale de la recherche / sciences / recherche";"non diffusées";
"Sciences et techniques (SCT)";"https://ansm.sante.fr";"2 fois par an";"santé";"médicaments / sécurité sanitaire";"non diffusées";"http://www.afssaps.fr (21/06/2012) / http://ansm.sante.fr (17/01/2019)"
"Sciences et techniques (SCT)";"https://ap32.fr";"1 fois par an";"agronomie";"arbres et paysage 32 / association / Gers / écologie agricole / arbres champêtres / haies";"non diffusées";"http://www.arbre-et-paysage32.com (14/05/2016) / http://www.ap32.fr (09/06/2020)"
"Sciences et techniques (SCT)";"http://apiculture.beehoo.com";"1 fois par an";"agronomie";"Riondet, Jean / blogs / apiculture / apiculteurs";"non diffusées";
"Sciences et techniques (SCT)";"https://aquaculture-aquablog.blogspot.com";"1 fois par an";"agronomie";"blogs / aquaculture / pêche / conchyliculture";"non diffusées";"http://aquaculture-aquablog.blogspot.com (07/05/2012) / http://aquaculture-aquablog.blogspot.fr (26/04/2019)"
