"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Vidéos (VIDEO)";"https://www.youtube.com/channel/UC_i8X3p8oZNaik8X513Zn1Q";"2 fois par an";"cinéma";"Filmsactu";"Créée en octobre 2009 par Mixicom (jeuxactu.com), la chaîne Filmsactu compte en juillet 2018 plus de 2 300 000 abonnés. Elle propose des bandes annonces, des critiques de films et de séries télévisées, ainsi que des avis sur les éditions DVD et Bluray.";
"Vidéos (VIDEO)";"https://www.youtube.com/channel/UC0t9HSnAFStdSrlHs5K7raA";"2 fois par an";"musique";"Vevo France";"La plateforme de clips musicaux Vevo a été créée en 2009 en Grande-Bretagne à l'initiative de YouTube, Universal et Sony. Vevo France apparait en avril 2014. Elle fédère les clips, interviews, concerts... d'artistes français qui peuvent par ailleurs disposer de leur propre chaîne Vevo.";
"Vidéos (VIDEO)";"https://www.youtube.com/channel/UC3gLc4GpTsOQOT4BPJvqqhQ";"2 fois par an";"société";"SOL / réfugiés";;
"Vidéos (VIDEO)";"https://www.youtube.com/channel/UC5Twj1Axp_-9HLsZ5o_cEQQ";"2 fois par an";"éducation";"Doc Seven";"William Van de Walle propose depuis janvier 2015 des vidéos éducatives concernant l'histoire, la géographie, les arts et les sciences. Sa chaîne dépasse les 1 732 000 abonnés en juillet 2018.";
"Vidéos (VIDEO)";"https://www.youtube.com/channel/UC5wpkffQSa3_jZqCGQagypg";"2 fois par an";"cinéma";"What's the Mashup ?";"Le principe du mashup est de mixer des éléments hétérogènes pour obtenir une œuvre nouvelle : c'est ce que Julien, l'auteur de cette chaîne, pratique en mixant le son d'un film sur une séquence d'un autre. What's the mashup (abrégé en WTM), compte en 2018 plus de 85 000 abonnés.";
"Vidéos (VIDEO)";"https://www.youtube.com/channel/UCAcAnMF0OrCtUep3Y4M-ZPw";"2 fois par an";"information";"HugoDécrypte";"Un étudiant de Sciences Po, Hugo Travers, commente l'actualité et interroge les femmes et hommes politiques. Sa chaîne compte en 2018 près de 228 000 abonnés.";
"Vidéos (VIDEO)";"https://www.youtube.com/channel/UCeOp9CWBaW2tVIBAzCobzow";"2 fois par an";"éducation";"L'Antisèche";"Cyrus North, déjà auteur de la chaîne Coup de philo, propose des vidéos d'aide aux révisions pour le brevet des collèges et le bac. Créée en mai 2017, la chaîne compte à l'été 2018 près de 254 000 abonnés.";
"Vidéos (VIDEO)";"https://www.youtube.com/channel/UCFcM0GoHEl6vNBdff0jBHDw";"2 fois par an";"société";"AndyRaconte";"Nadège Dabrowski raconte depuis mars 2013 dans ses vidéos ""des trucs de fille"", sur sa vie quotidienne, ses amis… Elle compte plus de 3 400 000 abonnés en 2018. Le nom de sa chaîne est parfois abrégé en ""Andy"".";
"Vidéos (VIDEO)";"https://www.youtube.com/channel/UCFqGa9uitcB-fWyNZK2xImw";"2 fois par an";"politique";"Macron, Emmanuel";"La chaîne officielle du Président de la République, élu en mai 2017, a été créée en octobre 2017. Elle compte plus de 27 000 abonnés à l'été 2018.";
"Vidéos (VIDEO)";"https://www.youtube.com/channel/UCj92xvc8e7s1mTgq1Jou-Sg";"2 fois par an";"éducation";"Améliorer ma culture générale";"Cette chaîne présente des vidéos à très bas coût de production (diaporamas notamment) répondant à des questions très diverses, à mi-chemin entre la fourniture d'informations et le divertissement.";
