"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Mouvements sociaux (MOUV)";"http://17octobre1961.free.fr";"1 fois par an";"mémoires maghrébines";"17.10.1961 / mémoires / immigration / algérie / FLN / Paris / association";"Blog de l'association 17 octobre 1961 : contre l'oubli.";
"Mouvements sociaux (MOUV)";"http://8mars.info";"1 fois par an";"féminisme";"8 mars / journée internationale des droits des femmes";;
"Mouvements sociaux (MOUV)";"http://9emecollectif.net";"1 fois par an";"mobilisations protestataires";"droit d'asile / sans papiers / migrants";"9e collectif des sans-papiers";
"Mouvements sociaux (MOUV)";"http://abolitionniste.blogspot.fr";"1 fois par an";"féminisme";"prostitution / abolitionnisme";"Ce site plaide pour l'abolition de la prostitution considérée comme la première violence contre les femmes et les enfants";
"Mouvements sociaux (MOUV)";"http://acdc2007.free.fr";"1 fois par an";"mobilisations protestataires";"chômage / collectif";"les autres chiffres du chômage";
"Mouvements sociaux (MOUV)";"http://aclefeu.blogspot.fr";"1 fois par an";"mémoires maghrébines";"banlieue / émeutes / révoltes / immigration / Clichy / mémoires";"Site du collectif d'association ACLEFEU (Association Collectif Liberté, Egalité, Fraternité, Ensemble, Unis) né suite aux révoltes urbaines de novembre 2005.";
"Mouvements sociaux (MOUV)";"http://acort.org";"1 fois par an";"féminisme";"immigration turque, intégration, sans-papiers, discrimination";;
"Mouvements sociaux (MOUV)";"http://actioncatholiquedesfemmes.org";"1 fois par an";"féminisme";"place des femmes dans l'église / catholicisme / femmes et religion catholique";"L'ACF (Action Catholique des Femmes) œuvre pour le respect des libertés, des droits et de la dignité des femmes dans la société et dans l’Église";
"Mouvements sociaux (MOUV)";"http://action-directe.over-blog.com";"1 fois par an";"mobilisations protestataires";"révolution";"action directe";"http://action-directe.net (20/05/2014)"
"Mouvements sociaux (MOUV)";"http://actu.adoc-france.org";"1 fois par an";"mobilisations protestataires";"décroissance";"association d'objecteurs de croissance";
"Mouvements sociaux (MOUV)";"http://aeroportnddl.fr";"1 fois par an";"militantismes écologistes";"Notre-Dame-Des-Landes";"CEDPA le collectif d'élu-e-s doutant de la pertinence de l'aéroport";
"Mouvements sociaux (MOUV)";"http://afepec.org";"1 fois par an";"féminisme";"égalité hommes-femmes, lutte contre les discriminations sexistes, lutte contre les violences sexistes, citoyenneté";;
"Mouvements sociaux (MOUV)";"http://algerienetwork.com/france/";"1 fois par an";"mémoires maghrébines";"diaspora / islam";;
"Mouvements sociaux (MOUV)";"http://algerina.skyrock.com";"1 fois par an";"mémoires maghrébines";"non renseigné";;
"Mouvements sociaux (MOUV)";"http://aliceswonderverden.blogspot.fr";"1 fois par an";"féminisme";"viol, image des femmes, violence, sexisme, patriarcat, travail";;
"Mouvements sociaux (MOUV)";"http://alsarando.fr";"1 fois par an";"féminisme";"homosexualité, randonnée pédestre";;
"Mouvements sociaux (MOUV)";"http://altern87.org/angmar/scalp87/";"1 fois par an";"mobilisations protestataires";"antifasciste / collectif";"SCALP / section carrément anti-Le Pen";
"Mouvements sociaux (MOUV)";"http://altern87.org/angmar/torchon_brule/";"1 fois par an";"mobilisations protestataires";"féministes";"le torchon brule";
"Mouvements sociaux (MOUV)";"http://alternativelibertaire.org";"1 fois par an";"mobilisations protestataires";"collectif / communistes libertaires";"alternative libertaire";
"Mouvements sociaux (MOUV)";"http://ambivalence67.free.fr";"1 fois par an";"féminisme";"bisexualité, pansexualité, biphobie";;
"Mouvements sociaux (MOUV)";"http://amidelegalite.free.fr";"1 fois par an";"mobilisations protestataires";"collectif / communisme";"ami de l'égalité";
"Mouvements sociaux (MOUV)";"http://ancrages.org";"1 fois par an";"mémoires maghrébines";"Marseille / Estaque / mémoires / immigration / association / quartier / algérien / tunisien / marocain";"Association marseillaise dédiées aux mémoires de l'immigration. Action locale.";
"Mouvements sociaux (MOUV)";"http://angrywomenymous.blogspot.fr";"1 fois par an";"féminisme";"Sexisme en politique";"Groupe de féministes francophones, indignées par le sexisme qui s'est déployé à l'occasion de ""l'affaire DSK""";
"Mouvements sociaux (MOUV)";"http://antidemolition.blogspot.fr";"1 fois par an";"mémoires maghrébines";"quartiers / ghetto / mémoires / banlieue / exclusion / HLM / local / blog";"blog de banlieue";
"Mouvements sociaux (MOUV)";"http://antiporno.canalblog.com";"1 fois par an";"féminisme";"pornographie, sexisme, misogynie";;
"Mouvements sociaux (MOUV)";"http://antipub.org";"1 fois par an";"mobilisations protestataires";"antipub / collectif";"résistance à l'agression publicitaire";
"Mouvements sociaux (MOUV)";"http://antisexisme.net";"1 fois par an";"féminisme";"Sexisme, Sciences humaines, Clichés, Inégalités entre les femmes et les hommes";"Blog féministe qui cherche à déceler les mécanismes sexistes qui maintiennent les inégalités entre femmes et hommes";
"Mouvements sociaux (MOUV)";"http://antitht.noblogs.org";"1 fois par an";"militantismes écologistes";"environnement";;"http://antitht.noblogs.org (14/04/2016) / https://antitht.noblogs.org (12/05/2017)"
"Mouvements sociaux (MOUV)";"http://apiaf.fr";"1 fois par an";"féminisme";"Femmes, Difficultés, Violences conjugales, Accompagnement, Prévention, Culture, Citoyenneté";;
"Mouvements sociaux (MOUV)";"http://arabedu82.skyrock.com";"1 fois par an";"mémoires maghrébines";"Photographie de famille";;
"Mouvements sociaux (MOUV)";"http://archive.org/embed/DocuMemoireEnMarche2003/";"1 fois par an";"mémoires maghrébines";"non renseigné";;
"Mouvements sociaux (MOUV)";"http://assembleedesfemmes-paris-idf.fr";"1 fois par an";"féminisme";"Paris, parité politique, droits des femmes, laïcité";;
"Mouvements sociaux (MOUV)";"http://assoarcaf.wordpress.com";"1 fois par an";"féminisme";"autodéfense, autonomie des femmes, lesbiennes";;
"Mouvements sociaux (MOUV)";"http://associationartemisia.wordpress.com";"1 fois par an";"féminisme";"bande dessinée féminine, dessinatrices";;
