"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Publications officielles (PO)";"http://administration-durable.gouv.fr";"1 fois par an";"administration centrale";"France / services interministériels / Indicateurs de l'exemplarité des services de l'Etat et de ses établissements publics en matière de développement durable";"non diffusées";
"Publications officielles (PO)";"http://aft.gouv.fr";"1 fois par an";"administration centrale";"France / pouvoirs constitutionnels / Agence France Trésor";"non diffusées";
"Publications officielles (PO)";"http://agglo-caen.fr";"1 fois par an";"administration territoriale";"groupements de collectivités locales / Basse-Normandie / Agglomération de Caen";"non diffusées";
"Publications officielles (PO)";"http://agriculture.gouv.fr";"1 fois par an";"administration centrale";"France / ministères / Ministère de l'agriculture, de l'agroalimentaire et de la forêt / Périodiques migrés";"non diffusées";
"Publications officielles (PO)";"http://airparif.fr";"1 fois par an";"associations financées par des biens publics";"Île-de-France / Paris / environnement / santé publique";"non diffusées";
"Publications officielles (PO)";"http://alsace-champagne-ardenne-lorraine.direccte.gouv.fr";"1 fois par an";"déconcentration administrative";"France / services déconcentrés / Direction régionale des entreprises, de la concurrence, de la consommation, du travail et de l'emploi / Lorraine";"non diffusées";
"Publications officielles (PO)";"http://ambafrance-es.org";"1 fois par an";"services diplomatiques et consulaires";"ambassade française à l'étranger / Espagne";"non diffusées";
"Publications officielles (PO)";"http://anlci.gouv.fr";"1 fois par an";"groupements d'intérêt public, partenariat public-privé";"France / groupements d'intérêt / Agence de lutte contre l'illetrisme";"non diffusées";
"Publications officielles (PO)";"http://ants.gouv.fr";"1 fois par an";"information électronique des administrés";"France / Agence nationale des titres sécurisés (ANTS) : immatriculation des véhicules, passeports";"non diffusées";
"Publications officielles (PO)";"http://apf.francophonie.org";"1 fois par an";"organisations internationales";"Assemblée parlementaire de la francophonie";"non diffusées";
"Publications officielles (PO)";"http://archives.dividende-numerique.fr";"1 fois par an";"information électronique des administrés";"France / Commission du dividende numérique";"non diffusées";
"Publications officielles (PO)";"http://archives.etatsgenerauxdeloutremer.fr";"1 fois par an";"information électronique des administrés";"France / Etats généraux de l'Outre-mer";"non diffusées";
"Publications officielles (PO)";"http://archives.forum.gouv.fr";"1 fois par an";"information électronique des administrés";"France / débat public";"non diffusées";
"Publications officielles (PO)";"http://archives.internet.gouv.fr";"1 fois par an";"information électronique des administrés";"France / Internet";"non diffusées";
