"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Publications officielles (PO)";"http://academie.arles.free.fr";"1 fois par an";"déconcentration administrative";"France / académies / Arles";"non diffusées";
"Publications officielles (PO)";"http://administration-durable.gouv.fr";"1 fois par an";"administration centrale";"France / services interministériels / Indicateurs de l'exemplarité des services de l'Etat et de ses établissements publics en matière de développement durable";"non diffusées";
"Publications officielles (PO)";"http://aft.gouv.fr";"1 fois par an";"administration centrale";"France / pouvoirs constitutionnels / Agence France Trésor";"non diffusées";
"Publications officielles (PO)";"http://ambafrance-cy.org";"1 fois par an";"services diplomatiques et consulaires";"ambassade française à l'étranger / Chypre";"non diffusées";
"Publications officielles (PO)";"http://ambafrance-es.org";"1 fois par an";"services diplomatiques et consulaires";"ambassade française à l'étranger / Espagne";"non diffusées";
"Publications officielles (PO)";"http://ambafrance-sk.org";"1 fois par an";"services diplomatiques et consulaires";"ambassade française à l'étranger / Slovaquie";"non diffusées";
"Publications officielles (PO)";"http://anlci.gouv.fr";"1 fois par an";"groupements d'intérêt public, partenariat public-privé";"France / groupements d'intérêt / Agence de lutte contre l'illetrisme";"non diffusées";
"Publications officielles (PO)";"http://aquitaine.fr";"1 fois par an";"administration territoriale";"France / conseils régionaux / Aquitaine";"non diffusées";
"Publications officielles (PO)";"http://archives.europe.gouv.fr";"1 fois par an";"Europe";"Union européenne / Archives des institutions européennes";"non diffusées";
"Publications officielles (PO)";"http://bbf.enssib.fr";"1 fois par an";"établissements publics";"France / établissements d'enseignement / Enssib / périodiques migrés";"non diffusées";
"Publications officielles (PO)";"http://bjfp.fonction-publique.gouv.fr";"1 fois par an";"éditeurs officiels";"France / Base de données juridiques de la fonction publique";"non diffusées";
"Publications officielles (PO)";"http://cfca.europa.eu";"1 fois par an";"Europe";"Union européenne / Agence européenne du contrôle des pêches";"non diffusées";
"Publications officielles (PO)";"http://cg41.fr";"1 fois par an";"administration territoriale";"conseils généraux / Loir-et-Cher";"non diffusées";
"Publications officielles (PO)";"http://charente-maritime.fr";"1 fois par an";"administration territoriale";"conseils généraux / Charente-Maritime";"non diffusées";
"Publications officielles (PO)";"http://chs.univ-paris1.fr";"1 fois par an";"établissements publics";"France / centres de recherche / Centre d'Histoire Sociale du XXe siècle / périodiques migrés";"non diffusées";
"Publications officielles (PO)";"http://circulaires.legifrance.gouv.fr";"1 fois par an";"information électronique des administrés";"France / droit / circulaires administratives";"non diffusées";
"Publications officielles (PO)";"http://cna-alimentation.fr";"1 fois par an";"autorités indépendantes";"France / autorités consultatives indépendantes / Conseil national de l'alimentation";"non diffusées";
"Publications officielles (PO)";"http://competitivite.gouv.fr";"1 fois par an";"information électronique des administrés";"France / économie / Délégation interministérielle à l’aménagement du territoire et à l’attractivité régionale / Direction générale de la compétitivité, de l'industrie et des services";"non diffusées";
"Publications officielles (PO)";"http://corpusdelaparole.in2p3.fr";"1 fois par an";"administration centrale";"France / politique publique / Corpus de la parole";"non diffusées";
"Publications officielles (PO)";"http://curia.europa.eu";"1 fois par an";"Europe";"Union européenne / Cour de justice de l'Union européenne";"non diffusées";
"Publications officielles (PO)";"http://draaf.alsace.agriculture.gouv.fr";"1 fois par an";"déconcentration administrative";"France / services déconcentrés / alimentation / agriculture / forêt / Alsace";"non diffusées";
"Publications officielles (PO)";"http://draaf.aquitaine.agriculture.gouv.fr";"1 fois par an";"déconcentration administrative";"France / services déconcentrés / alimentation / agriculture / forêt / Aquitaine";"non diffusées";
"Publications officielles (PO)";"http://draaf.auvergne.agriculture.gouv.fr";"1 fois par an";"déconcentration administrative";"France / services déconcentrés / alimentation / agriculture / forêt / Auvergne";"non diffusées";
"Publications officielles (PO)";"http://draaf.midi-pyrenees.agriculture.gouv.fr";"1 fois par an";"déconcentration administrative";"France / services déconcentrés / alimentation / agriculture / forêt / Midi-Pyrénées";"non diffusées";
"Publications officielles (PO)";"http://draaf.nord-pas-de-calais.agriculture.gouv.fr";"1 fois par an";"déconcentration administrative";"France / services déconcentrés / alimentation / agriculture / forêt / Nord-Pas de Calais / périodiques migrés / alimentation / forêt";"non diffusées";
"Publications officielles (PO)";"http://draaf.paca.agriculture.gouv.fr";"1 fois par an";"déconcentration administrative";"France / services déconcentrés / alimentation / agriculture / forêt / Provence Alpes Côte d'azur / périodiques migrés";"non diffusées";
"Publications officielles (PO)";"http://draaf.poitou-charentes.agriculture.gouv.fr";"1 fois par an";"déconcentration administrative";"France / services déconcentrés / alimentation / agriculture / forêt / Poitou-Charentes / périodiques migrés";"non diffusées";
"Publications officielles (PO)";"http://draaf.rhone-alpes.agriculture.gouv.fr";"1 fois par an";"déconcentration administrative";"France / services déconcentrés / alimentation / agriculture / forêt / Rhône-Alpes";"non diffusées";
"Publications officielles (PO)";"http://draf.bretagne.agriculture.gouv.fr";"1 fois par an";"déconcentration administrative";"France / services déconcentrés / alimentation agriculture forêt / Bretagne";"non diffusées";
"Publications officielles (PO)";"http://driaf.ile-de-france.agriculture.gouv.fr";"1 fois par an";"déconcentration administrative";"France / services déconcentrés / agriculture / Île-de- France / périodiques migrés";"non diffusées";
"Publications officielles (PO)";"http://eacea.ec.europa.eu";"1 fois par an";"Europe";"Union européenne / Agence exécutive éducation, audiovisual et culture";"non diffusées";
"Publications officielles (PO)";"http://easa.europa.eu";"1 fois par an";"Europe";"Union européenne / Agence europénne de la sécurité aérienne";"non diffusées";
