"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Publications officielles (PO)";"https://ad.ambafrance.org/-Francais-";"1 fois par an";"services diplomatiques et consulaires";"ambassade française à l'étranger / Andorre";"non diffusées";"http://www.ambafrance-ad.org (21/06/2017) / https://ad.ambafrance.org (27/04/2019)"
"Publications officielles (PO)";"http://administration-durable.gouv.fr";"1 fois par an";"administration centrale";"France / services interministériels / Indicateurs de l'exemplarité des services de l'Etat et de ses établissements publics en matière de développement durable";"non diffusées";
"Publications officielles (PO)";"http://agreste.agriculture.gouv.fr";"1 fois par an";"administration centrale";"France / ministères / Ministère de l'agriculture, de l'agroalimentaire et de la fôret / statistiques";"non diffusées";"http://www.agreste.agriculture.gouv.fr (05/07/2017)"
"Publications officielles (PO)";"https://agriculture.gouv.fr";"1 fois par an";"administration centrale";"France / ministères / Ministère de l'agriculture, de l'agroalimentaire et de la forêt / Périodiques migrés";"non diffusées";"http://www.agriculture.gouv.fr (16/06/2015) / http://agriculture.gouv.fr (17/01/2019)"
"Publications officielles (PO)";"http://airparif.fr";"1 fois par an";"associations financées par des biens publics";"Île-de-France / Paris / environnement / santé publique";"non diffusées";
"Publications officielles (PO)";"https://al.ambafrance.org";"1 fois par an";"services diplomatiques et consulaires";"ambassade française à l'étranger / Albanie";"non diffusées";"http://www.ambafrance-al.org (21/06/2017)"
"Publications officielles (PO)";"https://am.ambafrance.org";"1 fois par an";"services diplomatiques et consulaires";"ambassade française à l'étranger / Arménie";"non diffusées";"http://www.ambafrance-am.org (21/06/2017)"
"Publications officielles (PO)";"https://amenagement.parisladefense.com";"1 fois par an";"établissements publics";"France / établissements publics / Defacto / La Défense / Île-de-France";"non diffusées";"http://www.ladefense.fr (09/05/2018)"
"Publications officielles (PO)";"https://ants.gouv.fr";"1 fois par an";"information électronique des administrés";"France / Agence nationale des titres sécurisés (ANTS) : immatriculation des véhicules, passeports";"non diffusées";"http://www.ants.interieur.gouv.fr (28/07/2014) / https://ants.gouv.fr (23/06/2015) / http://ants.gouv.fr (21/06/2017)"
"Publications officielles (PO)";"http://apf.francophonie.org";"1 fois par an";"organisations internationales";"Assemblée parlementaire de la francophonie";"non diffusées";
"Publications officielles (PO)";"http://archives.dividende-numerique.fr";"1 fois par an";"information électronique des administrés";"France / Commission du dividende numérique";"non diffusées";
"Publications officielles (PO)";"http://archives.etatsgenerauxdeloutremer.fr";"1 fois par an";"information électronique des administrés";"France / Etats généraux de l'Outre-mer";"non diffusées";"http://etatsgenerauxdeloutremer.fr (15/07/2013)"
"Publications officielles (PO)";"http://archives.forum.gouv.fr";"1 fois par an";"information électronique des administrés";"France / débat public";"non diffusées";
"Publications officielles (PO)";"http://archives.internet.gouv.fr";"1 fois par an";"information électronique des administrés";"France / Internet";"non diffusées";
"Publications officielles (PO)";"https://at.ambafrance.org";"1 fois par an";"services diplomatiques et consulaires";"ambassade française à l'étranger / Autriche";"non diffusées";"http://www.ambafrance-at.org (21/06/2017)"
"Publications officielles (PO)";"http://atlas.patrimoines.culture.fr/atlas/trunk/";"1 fois par an";"information électronique des administrés";"France / culture / Ministère de la culture et de la communication";"non diffusées";
"Publications officielles (PO)";"https://aveyron.fr";"1 fois par an";"administration territoriale";"conseils départementaux / Aveyron";"non diffusées";"http://www.cg12.fr (19/04/2013) / http://aveyron.fr (17/01/2019)"
"Publications officielles (PO)";"https://az.ambafrance.org";"1 fois par an";"services diplomatiques et consulaires";"ambassade française à l'étranger / Azerbaïdjan";"non diffusées";"http://www.ambafrance-az.org (21/06/2017)"
"Publications officielles (PO)";"https://ba.ambafrance.org";"1 fois par an";"services diplomatiques et consulaires";"ambassade française à l'étranger / Bosnie-Herzégovine";"non diffusées";"http://www.ambafrance-ba.org (21/06/2017)"
"Publications officielles (PO)";"http://barthes.enssib.fr";"1 fois par an";"établissements publics";"France / établissements d'enseignement / Enssib / publications";"non diffusées";"http://www.barthes.ens.fr (17/04/2019)"
"Publications officielles (PO)";"http://bbf.enssib.fr";"1 fois par an";"établissements publics";"France / établissements d'enseignement / Enssib / périodiques migrés";"non diffusées";
"Publications officielles (PO)";"https://be.ambafrance.org";"1 fois par an";"services diplomatiques et consulaires";"ambassade française à l'étranger / Belgique";"non diffusées";"http://www.ambafrance-be.org (21/06/2017)"
"Publications officielles (PO)";"https://beta.gouv.fr";"1 fois par an";"*non classé";"Secrétariat général à la modernisation de l’action publique";"non diffusées";
"Publications officielles (PO)";"https://bg.ambafrance.org";"1 fois par an";"services diplomatiques et consulaires";"ambassade française à l'étranger / Bulgarie";"non diffusées";"http://www.ambafrance-bg.org (21/06/2017)"
