"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Dépôt légal (DDL)";"http://0130110z.esidoc.fr";"1 fois par an";"demandes externes";"follower Twitter / CDI / Marseille / urgence";;
"Dépôt légal (DDL)";"http://123.fr";"1 fois par an";"demandes externes";"non renseigné";;
"Dépôt légal (DDL)";"http://13.agendaculturel.fr";"1 fois par an";"demandes externes";"Marseille capitale 2013";"sélection BDLI de décembre 2013";
"Dépôt légal (DDL)";"http://1picture1word.com";"1 fois par an";"demandes externes";"follower Twitter / photographie / Lyon / urgence";;
"Dépôt légal (DDL)";"http://60gp.ovh.net/~aiesb/";"1 fois par an";"périodiques";"Périodiques migrés";"1959-4267 Nouvelles brèves AIESB ; 1959-4267 Docs sur cette page";
"Dépôt légal (DDL)";"http://8000mondes.fr";"1 fois par an";"demandes externes";"roman feuilleton / urgence ";;
"Dépôt légal (DDL)";"http://8e-art-magazine.fr/category/marseille-2013";"1 fois par an";"demandes externes";"Marseille capitale 2013";"sélection BDLI de décembre 2013";
"Dépôt légal (DDL)";"http://9740738j.esidoc.fr";"1 fois par an";"demandes externes";"follower Twitter / lycée / CDI";;
"Dépôt légal (DDL)";"http://aaeb.fr";"1 fois par an";"périodiques";"Périodiques migrés";"Bulletin des anciens élèves de saint-Julien la Baronnerie";
"Dépôt légal (DDL)";"http://aars.fr";"1 fois par an";"périodiques";"Périodiques migrés";"la lettre";
"Dépôt légal (DDL)";"http://about.me/hervelc/";"1 fois par an";"Web";"follower Twitter / CV";"Hervé Le Crosnier";"http://about.me/hervelc (31/10/2013)"
"Dépôt légal (DDL)";"http://actena.alsaeco.com";"1 fois par an";"périodiques";"Périodiques migrés";"Bulletin environnement & entreprise";
"Dépôt légal (DDL)";"http://acteurs.tourismebretagne.com";"1 fois par an";"périodiques";"Périodiques migrés";"Bilans de saison et chiffres clés";"http://pro.tourismebretagne.com (26/04/2012)"
"Dépôt légal (DDL)";"http://aeda-up.blogspot.fr";"1 fois par an";"demandes externes";"follower Twitter / étudiants / archivistique / Aix-Marseille / urgence";;
"Dépôt légal (DDL)";"http://afec-etudeschinoises.com";"1 fois par an";"demandes externes";"urgence";"le site devrait migrer courant mai dans hypothèses";
"Dépôt légal (DDL)";"http://affects.hypotheses.org";"1 fois par an";"demandes externes";"follower Twitter / recherche / urgence";;
"Dépôt légal (DDL)";"http://afhe.hypotheses.org";"1 fois par an";"demandes externes";"follower Twitter / recherche / histoire / économie";;
"Dépôt légal (DDL)";"http://africa2009.net";"2 fois par an";"périodiques";"Périodiques migrés";"Chronique Africa 2009 Texte imprimé Africa 2009";
"Dépôt légal (DDL)";"http://agnesquemper-genealogie.blogspot.fr";"1 fois par an";"demandes externes";"follower Twitter / généalogie / Bretagne / Limousin / urgence";;
"Dépôt légal (DDL)";"http://ahnenslyon.hypotheses.org";"2 fois par an";"culture technologique";"ENS Lyon / DH / Digital Humanities / Atelier des humanités numériques / Humanités numériques";;"https://ahnenslyon.hypotheses.org (18/11/2016)"
"Dépôt légal (DDL)";"http://ailp.ens-lyon.fr";"1 fois par mois";"demandes externes";"urgence";;
