"Collecte";"URL de départ";"Fréquence";"Thème";"Mots clés";"Informations descriptives complémentaires";"Historique des URL"
"Mouvements sociaux (MOUV)";"http://1libertaire.free.fr/MariePasClaire01.html";"1 fois par an";"féminisme";"humour, journal, militantisme";;
"Mouvements sociaux (MOUV)";"http://343connards.fr";"1 fois par an";"féminisme";"sexisme, hommes, discrimination, manifeste";;
"Mouvements sociaux (MOUV)";"http://8mars.info";"1 fois par an";"féminisme";"8 mars / journée internationale des droits des femmes";;
"Mouvements sociaux (MOUV)";"http://9emecollectif.net";"1 fois par an";"mobilisations protestataires";"droit d'asile / sans papiers / migrants";"9e collectif des sans-papiers";
"Mouvements sociaux (MOUV)";"http://aafa-asso.info";"1 fois par an";"féminisme";"sexisme, culture";"Actrices et Acteurs de France Associés lutte contre toutes les formes de discrimination dans le domaine du spectacle et de la scène.";
"Mouvements sociaux (MOUV)";"http://abolitionniste.blogspot.fr";"1 fois par an";"féminisme";"prostitution / abolitionnisme";"Ce site plaide pour l'abolition de la prostitution considérée comme la première violence contre les femmes et les enfants";
"Mouvements sociaux (MOUV)";"http://actioncatholiquedesfemmes.org";"1 fois par an";"féminisme";"place des femmes dans l'église / catholicisme / femmes et religion catholique";"L'ACF (Action Catholique des Femmes) œuvre pour le respect des libertés, des droits et de la dignité des femmes dans la société et dans l’Église";
"Mouvements sociaux (MOUV)";"http://aeroportnddl.fr";"1 fois par an";"militantismes écologistes";"Notre-Dame-Des-Landes";"CEDPA le collectif d'élu-e-s doutant de la pertinence de l'aéroport";
"Mouvements sociaux (MOUV)";"http://afepec.org";"1 fois par an";"féminisme";"égalité hommes-femmes, lutte contre les discriminations sexistes, lutte contre les violences sexistes, citoyenneté";;
"Mouvements sociaux (MOUV)";"http://ailespourelles.typepad.fr";"1 fois par an";"féminisme";"aviation, égalité";;
"Mouvements sociaux (MOUV)";"http://aliceswonderverden.blogspot.fr";"1 fois par an";"féminisme";"viol, image des femmes, violence, sexisme, patriarcat, travail";;
"Mouvements sociaux (MOUV)";"http://alternativelibertaire.org";"1 fois par an";"mobilisations protestataires";"collectif / communistes libertaires";"alternative libertaire";
"Mouvements sociaux (MOUV)";"http://alternatives-et-autogestion.org";"1 fois par an";"mobilisations protestataires";"anticapitalisme / écologie / autogestion / décroissance";"Alternatives et autogestion : mouvement politique créé suite à la dissolution de l'association ""Les alternatifs"" en 2015";"http://alternatives-et-autogestion.org/blog/ (13/05/2018)"
"Mouvements sociaux (MOUV)";"http://alternatives-non-violentes.org";"1 fois par an";"mobilisations protestataires";"non-violence / revue";"ANV : Alternatives non-violentes, revue trimestrielle";
"Mouvements sociaux (MOUV)";"http://ambivalence67.free.fr";"1 fois par an";"féminisme";"bisexualité, pansexualité, biphobie";;
"Mouvements sociaux (MOUV)";"http://amicaledunid.org";"1 fois par an";"féminisme";"association, violences sexistes, prostitution";;
"Mouvements sociaux (MOUV)";"http://amidelegalite.free.fr";"1 fois par an";"mobilisations protestataires";"collectif / communisme";"ami de l'égalité";
"Mouvements sociaux (MOUV)";"http://ancrages.org";"1 fois par an";"mémoires maghrébines";"Marseille / Estaque / mémoires / immigration / association / quartier / algérien / tunisien / marocain";"Association marseillaise dédiées aux mémoires de l'immigration. Action locale.";
"Mouvements sociaux (MOUV)";"http://angrywomenymous.blogspot.fr";"1 fois par an";"féminisme";"Sexisme en politique";"Groupe de féministes francophones, indignées par le sexisme qui s'est déployé à l'occasion de ""l'affaire DSK""";
"Mouvements sociaux (MOUV)";"http://anlcf.free.fr";"1 fois par an";"féminisme";"chasse, sport";;
"Mouvements sociaux (MOUV)";"http://antiporno.canalblog.com";"1 fois par an";"féminisme";"pornographie, sexisme, misogynie";;
"Mouvements sociaux (MOUV)";"http://antitht.noblogs.org";"1 fois par an";"militantismes écologistes";"environnement";;"http://antitht.noblogs.org (14/04/2016) / https://antitht.noblogs.org (12/05/2017)"
"Mouvements sociaux (MOUV)";"http://archivesautonomies.org";"1 fois par an";"mobilisations protestataires";"extrême gauche / sources";"Collectif Archives Autonomie : archives et sources de la gauche radicale et/ou extraparlementaire";
"Mouvements sociaux (MOUV)";"http://asfadinfo.free.fr";"1 fois par an";"féminisme";"droits, migrants, algérie";;
"Mouvements sociaux (MOUV)";"http://assembleedesfemmes-paris-idf.fr";"1 fois par an";"féminisme";"Paris, parité politique, droits des femmes, laïcité";;
"Mouvements sociaux (MOUV)";"http://association.centraliens.net/group/centrale-au-feminin/73";"1 fois par an";"féminisme";"centralien, groupe, université";;
"Mouvements sociaux (MOUV)";"http://associationdesbidonvillesetdescitesdetransits.overblog.com";"1 fois par an";"mémoires maghrébines";"bidonvilles / Nanterre";"ASSOCIATION DE LA CITÉ BLANCHE GUTENBERG";
"Mouvements sociaux (MOUV)";"http://attarikh.over-blog.com";"1 fois par an";"mémoires maghrébines";"non renseigné";;
