label,year,degree,betweennessCentrality
fr.Wikipedia.org /.../Front_de_gauche_(France),2017,0,0
fr.Wikipedia.org /.../Front_de_gauche_(France),2022,,
fr.Wikipedia.org /.../Jean-Luc_Mélenchon,2017,10,0.005883962780514504
fr.Wikipedia.org /.../Jean-Luc_Mélenchon,2022,,
fr.Wikipedia.org /.../La_France_insoumise,2017,12,0.0072796934865900385
fr.Wikipedia.org /.../La_France_insoumise,2022,,
fr.Wikipedia.org /.../Parti_de_gauche,2017,0,0
fr.Wikipedia.org /.../Parti_de_gauche,2022,,
Gauche-Anticapitaliste.org,2017,0,0
Gauche-Anticapitaliste.org,2022,,
Frontdegauche.eu,2017,3,0
Frontdegauche.eu,2022,2,0
Lafederation.org,2017,3,0
Lafederation.org,2022,,
Pcf.fr,2017,8,0.018746579091406677
Pcf.fr,2022,,
Placeaupeuple2012.fr,2017,4,0
Placeaupeuple2012.fr,2022,4,0
Placeaupeuple.fr,2017,15,0.05365079365079365
Placeaupeuple.fr,2022,4,0
Frontdegauche-Europe.fr,2017,1,0
Frontdegauche-Europe.fr,2022,1,0
Lepartidegauche.fr,2017,9,0.01095785440613027
Lepartidegauche.fr,2022,6,0.011904761904761904
Pcf-Gresivaudan.blogspot.com,2017,0,0
Pcf-Gresivaudan.blogspot.com,2022,,
Gauche-Unitaire.fr,2017,2,0
Gauche-Unitaire.fr,2022,,
Convergencesetalternative.blogspot.fr,2017,10,0.01264367816091954
Convergencesetalternative.blogspot.fr,2022,,
Eurocitoyenne.fr,2017,5,0.001532567049808429
Eurocitoyenne.fr,2022,,
Jean-Luc-Melenchon.fr,2017,9,0.010952380952380951
Jean-Luc-Melenchon.fr,2022,12,0.05411255411255411
M6R.fr,2017,4,0
M6R.fr,2022,3,0
Melenchon.fr,2017,19,0.11575259989053092
Melenchon.fr,2022,7,0.022727272727272728
Jeanluc-Melenchon2017.fr,2017,1,0
Jeanluc-Melenchon2017.fr,2022,0,0
Ensemble-Fdg.org,2017,11,0.034811165845648605
Ensemble-Fdg.org,2022,2,0
Antoineleaument.fr,2017,2,0
Antoineleaument.fr,2022,,
Marxiste.org,2017,1,0
Marxiste.org,2022,,
Youtube.com /.../PlaceauPeuple,2017,7,0.02008757525998905
Youtube.com /.../PlaceauPeuple,2022,,
Lavenirencommun.fr,2017,1,0
Lavenirencommun.fr,2022,0,0
Jlm2017.fr,2017,8,0.00425287356321839
Jlm2017.fr,2022,0,0
Insoumis.online,2017,5,0
Insoumis.online,2022,,
Laec.fr,2017,5,0
Laec.fr,2022,1,0
Gaucherevolutionnaire.fr,2017,1,0
Gaucherevolutionnaire.fr,2022,,
Initiative-Communiste.fr,2017,3,0
Initiative-Communiste.fr,2022,,
fraternitecitoyenne.Blog4Ever.com,2017,1,0
fraternitecitoyenne.Blog4Ever.com,2022,,
Lafranceinsoumise.fr,2017,,
Lafranceinsoumise.fr,2022,4,0.012987012987012988
Lemediatv.fr,2017,,
Lemediatv.fr,2022,0,0
Le-Bon-Sens.com,2017,,
Le-Bon-Sens.com,2022,11,0
Opiam.fr,2017,,
Opiam.fr,2022,4,0
Twitter.com /JLMelenchon,2017,,
Twitter.com /JLMelenchon,2022,4,0
Avenirencommun.fr,2017,,
Avenirencommun.fr,2022,2,0
Martine-Billard.fr,2017,,
Martine-Billard.fr,2022,2,0
Guengl.eu,2017,,
Guengl.eu,2022,1,0
Facebook - Les Artistes avec Mélenchon,2017,,
Facebook - Les Artistes avec Mélenchon,2022,0,0
Lafaqdelavenirencommun.com,2017,,
Lafaqdelavenirencommun.com,2022,0,0
