web_entity_id,name,Thème,candidat,parti
1,"01net.com /.../1,4068,100288+{}+1014,00.html",sites à thème multimédia,,
4,Abg.asso.fr,économie,,
8,Ac-Bordeaux.fr /.../Maths,déconcentration administrative,,
9,Ac-Bordeaux.fr /.../SVT,demandes externes,,
10,Ac-Lille.fr,demandes externes,,
11,Ac-Lyon.fr,demandes externes,,
12,Ac-Martinique.fr,demandes externes,,
13,Ac-Montpellier.fr,demandes externes,,
14,Ac-Nancy-Metz.fr,demandes externes,,
15,Ac-Orleans-Tours.fr,demandes externes,,
16,Ac-Poitiers.fr,demandes externes,,
17,Ac-Versailles.fr,déconcentration administrative,,
18,Academie-Sciences.fr,sciences--généralités,,
22,Acta.asso.fr,agronomie,,
33,Afp.com,presse,,
36,Agora21.org,sciences de l'environnement,,
37,Agriculture.gouv.fr,administration centrale,,
39,Agrisalon.com,agronomie,,
40,Agropolis.fr,agronomie,,
61,Anrt.asso.fr,ingénierie,,
75,Archi.fr,demandes externes,,
108,Bnf.fr,établissements publics,,
137,Ccip.fr,chambres de commerce,,
142,Cea.fr,ingénierie,,
154,Chu-Rouen.fr,santé,,
162,Cirad.fr,agronomie,,
165,Cite-Sciences.fr,sciences,,
171,Cnam.fr,ingénierie,,
173,Cnrs.fr,sciences généralités,,
203,Culture.fr,information électronique des administrés,,
210,Dauphine.fr,établissements publics,,
221,Diplomatie.gouv.fr,administration centrale,,
235,Educagri.fr,information électronique des administrés,,
237,Education.gouv.fr,administration centrale,,
243,Ela-Asso.com,solidarité internationale,,
248,Emath.fr,mathématiques,,
254,Enpc.fr,demandes externes,,
268,Esf.org,sciences,,
272,Essonne.cci.fr,chambres de commerce,,
284,Evariste.org,économie,,
314,Francophonie.org,organisations internationales,,
324,Genethon.fr,santé,,
365,In2p3.fr,physique,,
366,Indexa.fr,économie,,
367,Industrie.gouv.fr,administration centrale,,
369,Ined.fr,établissements publics,,
372,Info-Europe.fr,Sites officiels et institutionnels,,
381,Inra.fr,agronomie,,
383,Inria.fr,informatique,,
386,Insa-Lyon.fr,demandes externes,,
387,Inserm.fr,santé,,
396,Ircam.fr,filières de la musique et de l'édition phonographique,,
398,Irit.fr,informatique,,
407,Laas.fr,ingénierie,,
410,Latribune.fr,presse,,
416,Lemonde.fr,presse,,
417,Lepoint.fr,presse nationale,,
420,Lesechos.fr,presse,,
424,Lexpress.fr,presse nationale,,
429,Liberation.fr,presse,,
430,Lifl.fr,informatique,,
434,Lip6.fr,informatique,,
469,Midilibre.com,Médias traditionnels,TOUS,
474,Mnhn.fr,acteurs économiques,,
475,Monde-Diplomatique.fr,presse,,
490,Neurosciences.asso.fr,santé,,
499,Nouvelobs.com,presse nationale,,
511,Oecd.org,organisations internationales,,
512,Ofdt.fr,santé,,
521,Palais-Decouverte.fr,sciences--généralités,,
524,Pasteur.fr,santé,,
526,Pcf.fr,Formations politiques,HUE Robert,
542,Portstnicolas.org,religions chrétiennes,,
546,Premier-Ministre.gouv.fr,Officiels et institutionnels,divers,
547,Premiere.fr,filières du cinéma et de l'audiovisuel,,
548,Pressindex.com,économie,,
556,Radio-France.fr,Médias traditionnels,TOUS,
564,Regards.fr,presse,,
580,Sante.gouv.fr,administration centrale,,
590,Senat.fr,Officiels et institutionnels,TOUS,
615,Terre-Net.fr,agronomie,,
629,U-Bordeaux.fr,établissements publics,,
631,U-Bourgogne.fr,établissements publics,,
633,U-Picardie.fr,établissements publics,,
634,U-Psud.fr,établissements publics,,
646,Unapei.org,solidarité locale et nationale,,
649,Unicaen.fr,établissements publics,,
650,Unice.fr,établissements publics,,
651,Unilim.fr,établissements publics,,
654,Univ-Angers.fr,établissements publics,,
655,Univ-Bpclermont.fr,établissements publics,,
