web_entity_id,name,Thème,candidat,parti
656,Univ-Brest.fr,établissements publics,,
657,Univ-Evry.fr,établissements publics,,
658,Univ-Fcomte.fr,établissements publics,,
659,Univ-Lehavre.fr,établissements publics,,
660,Univ-Lemans.fr,établissements publics,,
661,Univ-Lille1.fr,établissements publics,,
662,Univ-Lille2.fr,établissements publics,,
663,Univ-Lille3.fr,établissements publics,,
665,Univ-Lyon1.fr,établissements publics,,
666,Univ-Lyon2.fr,établissements publics,,
668,Univ-Mlv.fr,établissements publics,,
669,Univ-Montp1.fr,établissements publics,,
670,Univ-Montp2.fr,établissements publics,,
672,Univ-Nantes.fr,établissements publics,,
673,Univ-Orleans.fr,établissements publics,,
674,Univ-Paris1.fr,établissements publics,,
676,Univ-Paris13.fr,établissements publics,,
677,Univ-Paris5.fr,établissements publics,,
678,Univ-Paris8.fr,établissements publics,,
679,Univ-Pau.fr,établissements publics,,
680,Univ-Perp.fr,établissements publics,,
681,Univ-Poitiers.fr,établissements publics,,
682,Univ-Reims.fr,établissements publics,,
683,Univ-Rennes1.fr,établissements publics,,
684,Univ-Rouen.fr,établissements publics,,
685,Univ-Tln.fr,établissements publics,,
686,Univ-Tours.fr,établissements publics,,
690,Upmf-Grenoble.fr,établissements publics,,
695,Utc.fr,ingénierie,,
696,Uvsq.fr,établissements publics,,
702,Vih.org,santé,,
725,01Net.com,sites à thème multimédia,,
848,Ac-Toulouse.fr,déconcentration administrative,,
853,Cnes.fr,astronomie,,
907,Airparif.asso.fr,sciences de l'environnement,,
918,Rivernet.org,géographie,,
919,Pollutec.com,ingénierie,,
923,Bdl.fr,astronomie,,
930,Ordre.pharmacien.fr,santé,,
931,Psfci.org,solidarité internationale,,
939,Elysee.fr,administration centrale,CHIRAC Jacques,
942,Ccomptes.fr,administration centrale,,
943,Ac-Strasbourg.fr,demandes externes,,
944,Interieur.gouv.fr,administration centrale,TOUS,
946,Justice.gouv.fr,administration centrale,,
947,Defense.gouv.fr,administration centrale,,
949,Adminet.com,économie,,
950,Assemblee-Nationale.fr,Officiels et institutionnels,TOUS,
955,Pratique.fr,économie,,
960,Epita.fr,informatique,,
972,Croix-Rouge.fr,solidarité internationale,,
999,Legalis.net,droit,,
1002,Journal-Officiel.gouv.fr,éditeurs officiels,,
1003,Legifrance.gouv.fr,éditeurs officiels,,
1012,Jde.fr,presse,,
1027,Nytimes.com,presse,,
1021,Bienpublic.com,presse locale,,
1035,Lefigaro.fr,presse,,
1037,Leprogres.fr,presse locale,,
1038,Republicain-Lorrain.fr,presse locale,,
1041,Dna.fr,presse locale,,
1060,Tombraider.com,filières du multimédia,,
1139,Jeuxvideo.com,multimédia,,
1151,Fuaj.org,solidarité locale et nationale,,
1160,Starwars.com,filières du multimédia,,
1169,Festival-Cannes.com,filières du cinéma et de l'audiovisuel,,
1196,Artotal.com,musique et son,,
1198,Photographie.com,sites à thème cinéma et audiovisuel,,
1205,Bpi.fr,établissements publics,,
1309,Microsoft.com,filières du multimédia,,
1323,Cnil.fr,autorités indépendantes,,
1404,Michelin.fr,ingénierie,,
1416,Ilo.org,organisations internationales,,
1419,Medecinsdumonde.org,solidarité internationale,,
1425,Cadresonline.com,économie,,
1437,Insee.fr,éditeurs officiels,,
1478,Allocine.fr,cinéma et audiovisuel,,
1507,Ac-Paris.fr,demandes externes,,
1526,U-Clermont1.fr,établissements publics,,
1553,Amisdelaterre.org,"associations, syndicats et ONG",,
1554,Greenpeace.fr,militantismes écologistes,,
1555,Leparisien.fr,presse,,
1564,Journaldunet.com,mathématiques informatique,,
1571,Pagesjaunes.fr,demandes externes,,
1599,Commerce-Exterieur.gouv.fr,administration centrale,,
1600,Acta-Informatique.fr,informatique,,
1601,Confederationpaysanne.fr,"Associations, syndicats et autres organisations",,
1606,Onf.fr,acteurs économiques,,
1607,Afpp.net,agronomie,,
1624,Web-Agri.fr,économie,,
1651,Farre.org,sciences de l'environnement,,
1665,Fnsea.fr,science politique,,
1680,Afssa.fr,autorités indépendantes,,
1684,Prolea.com,agronomie,,
1687,Ctifl.fr,agronomie,,
1693,Simaonline.com,agronomie,,
1725,Maison-Du-Lait.com,économie,,
1734,Alapage.com,filières du cinéma et de l'audiovisuel,,
1801,Zdnet.fr,informatique,,
1810,Onera.fr,ingénierie,,
1812,Cstb.fr,établissements publics,,
1813,Ademe.fr,sites officiels et institutionnels,,
1827,Overgame.com,sites à thème cinéma et audiovisuel,,
1840,Banque-France.fr,établissements publics,,
1862,Rennes-Atalante.fr,éducation,,
1884,Cndp.fr,autre administration,,
2130,Drire.gouv.fr,publications officielles,,
2153,Rajf.org,droit,,
2202,Afaa.asso.fr,Soutiens et antis,divers,
2207,Sidaweb.com,solidarité locale et nationale,,
2246,Drogues.gouv.fr,administration centrale,,
2276,Vet-Alfort.fr,agronomie,,
2360,Iap.fr,astronomie,,
2368,Cr-Rhone-Alpes.fr,Sites officiels et institutionnels,,
2379,Allergienet.com,santé,,
2622,Usinenouvelle.com,économie,,
2623,Cadremploi.fr,économie,,
2637,Monster.fr,économie,,
2644,Inpi.fr,ingénierie,,
2734,Coface.fr,économie,,
2739,Ac-Dijon.fr,demandes externes,,
2865,Mp3.com,distribution de contenus,,
2934,Miptv.com,filières du cinéma et de l'audiovisuel,,
3104,Obspm.fr,astronomie,,
3184,Sfen.org,ingénierie,,
3190,Cnisf.org,ingénierie,,
3203,Abes.fr,publications en série,,
3206,Ciep.fr,établissements publics,,
3275,Univ-Savoie.fr,établissements publics,,
3315,Univ-Montp3.fr,établissements publics,,
3317,Voix-Romane.com,filières de la musique et de l'édition phonographique,,
3318,Cpu.fr,établissements publics,,
3402,Alternatives.ca,mobilisations protestataires,,
3407,Resacoop.org,solidarité internationale,,
3503,Icp.fr,religions,,
3504,U-Paris10.fr,histoire,,
3512,Infocomnantes.net,distribution de contenus,,
3526,Univ-Lyon3.fr,établissements publics,,
3541,Univ-St-Etienne.fr,établissements publics,,
3545,Univ-Littoral.fr,établissements publics,,
3610,Aphp.fr,établissements publics,,
3673,Boulangerie.net,filières du cinéma et de l'audiovisuel,,
3683,Ird.fr,établissements publics,,
3698,Legalnews.fr,droit,,
3716,Cepii.fr,économie,,
3846,Ac-Nice.fr,demandes externes,,
3857,Isipca.fr,ingénierie,,
3872,Esj-Lille.fr,presse,,
3930,Supelec.fr,ingénierie,,
4121,Ac-Aix-Marseille.fr,déconcentration administrative,,
4240,Univ-Paris3.fr,établissements publics,,
4337,Hec.fr,économie,,
4338,Idris.fr,informatique,,
4373,Esigelec.fr,presse,,
4414,Univ-Valenciennes.fr,établissements publics,,
4496,Ac-Amiens.fr,déconcentration administrative,,
4498,Devinci.fr,économie,,
4540,Ac-Grenoble.fr,demandes externes,,
4015,Ac-Rennes.fr,demandes externes,,
4613,Utbm.fr,établissements publics,,
4719,Africultures.com,filières du cinéma et de l'audiovisuel,,
4736,Ipsen.com,santé,,
4776,Cramif.fr,périodiques,,
4817,Fnac.com,distribution de contenus,,
4838,Univ-Tlse2.fr,établissements publics,,
4894,Inrs.fr,information électronique des administrés,,
4916,Chu-Toulouse.fr,publications en série,,
4944,Zkm.de,communication institutionnelle et associative,,
4945,Aec.at,sites à thème multimédia,,
4974,Nantes.fr,*non classé,,
4991,Greenpeace.org,sciences de l'environnement,,
5049,Airliquide.com,ingénierie,,
5064,Ladocumentationfrancaise.fr,éditeurs officiels,,
5066,Obs-Ost.fr,ingénierie,,
5068,Ifn.asso.fr,ingénierie,,
5132,Ireb.com,économie,,
5172,Ac-Rouen.fr,déconcentration administrative,,
5266,Sfar.org,santé,,
5271,Bmlweb.org,santé,,
5276,Conseil-National.medecin.fr,santé,,
5373,Dalloz.fr,droit,,
5425,Edouard.com,géographie,,
5441,Edf.fr,ingénierie,,
5461,Ac-Creteil.fr,demandes externes,,
5466,Onisep.fr,établissements publics,,
5473,Droitsdesjeunes.gouv.fr,information électronique des administrés,,
5474,Enac.fr,ingénierie,,
5480,Outre-Mer.gouv.fr,administration centrale,,
5722,Service-Public.fr,information électronique des administrés,,
5819,Ratp.fr,établissements publics,,
6025,Science.gouv.fr,sciences généralités,,
6023,Europe.gouv.fr,Sites officiels et institutionnels,,
6027,Ineris.fr,sciences de l'environnement,,
6029,Ses.com,ingénierie,,
6097,Ena.fr,demandes externes,,
6176,Oieau.fr,sciences de l'environnement,,
6220,Editionsatlas.fr,filières du multimédia,,
6340,Iifiir.org,filières du multimédia,,
6342,Centre-Inffo.fr,économie,,
6348,Tourisme.gouv.fr,administration centrale,,
6366,Sortirdunucleaire.org,militantismes écologistes,,
6412,Espace-Sciences.org,sciences,,
6557,Telerama.fr,filières du cinéma et de l'audiovisuel,,
6710,France-Biotech.org,ingénierie,,
6809,Beatitudes.org,religions chrétiennes,,
6889,Cereq.fr,économie,,
6937,Univ-Ubs.fr,établissements publics,,
7021,Ipsl.fr,sciences de l'environnement,,
7109,Pcastuces.com,informatique,,
7121,St.com,ingénierie,,
7163,College-De-France.fr,sciences généralités,,
7198,Astrosurf.com,astronomie,,
7223,Inpl-Nancy.fr,autorités indépendantes,,
7227,Aujourdhui.com,filières de la musique et de l'édition phonographique,,
7233,H2O.net,sciences de l'environnement,,
7238,Afs.fr,solidarité internationale,,
7239,Archeophile.com,préhistoire,,
7269,Culture.gouv.fr,administration centrale,,
7272,Oiseaux.net,sciences de la vie,,
7293,Reggaefrance.com,musique et son,,
7306,Infosmd.com,économie,,
7311,Planetecologie.org,militantismes écologistes,,
7465,Fonction-Publique.gouv.fr,administration centrale,,
7511,Ifn.fr,agronomie,,
7523,Geves.fr,"groupements d'intérêt public, partenariat public-privé",,
7614,Roc.asso.fr,sciences de la vie,,
7655,Poitou-Charentes.fr,administration territoriale,,
7745,Sorbonne.fr,établissements publics,,
7747,Conseil-Constitutionnel.fr,administration centrale,,
7810,Biofutur.com,ingénierie,,
7907,Orpha.net,santé,,
7930,Comite21.org,géographie,,
8041,Rueducommerce.fr,demandes externes,,
8043,Strategic-Road.com,économie,,
8195,Mrap.asso.fr,Divers,LE PEN Jean-Marie,
8228,Lafriche.org,demandes externes,,
8250,Upmc.fr,établissements publics,,
8259,Cieletespace.fr,astronomie,,
8364,Ouragans.com,géographie,,
8446,Col.fr,religions chrétiennes,,
8629,Courrier-Picard.fr,presse locale,,
8631,Midilibre.fr,presse,,
8633,Lavoixdunord.fr,presse locale,,
8636,Soficom.fr,économie,,
8678,Datar.gouv.fr,administration centrale,,
8745,Aria-Database.com,musique et son,,
8816,Ramdam.com,filières de la musique et de l'édition phonographique,,
8826,Allmusic.com,musique et son,,
8920,Centrepompidou.fr,établissements publics,,
8933,Interlingua.com,demandes externes,,
8953,Godf.org,religions et spiritualité,,
9038,Toulouseweb.com,distribution de contenus,,
9058,Lemulot.com,Soutiens et antis,CHIRAC Jacques,
9167,Eke.org,sites à thème musique et son,,
9212,Printemps-Bourges.com,filières du cinéma et de l'audiovisuel,,
9225,Andra.fr,sciences de l'environnement,,
9702,Patrickbloche.org,Candidats,,
9735,Phare.org,solidarité locale et nationale,,
9738,Observateurocde.org,sociologie,,
9817,Rezo.net,mobilisations protestataires,,
9820,Davduf.net,filières du cinéma et de l'audiovisuel,,
9973,Www.cci.fr,chambres de commerce,,
9989,Lefilmfrancais.com,filières du cinéma et de l'audiovisuel,,
9995,Gaumont.fr,filières du cinéma et de l'audiovisuel,,
10012,Culturekiosque.com,musique et son,,
10026,Sonymusic.fr,filières de la musique et de l'édition phonographique,,
10201,Ddm.gouv.fr,administration centrale,,
10246,Iabfrance.com,économie,,
10327,Yanous.com,solidarité locale et nationale,,
10341,Soda.co.uk,art et littérature numériques,,
10433,Rootsworld.com,musique et son,,
10453,Opht-Sans-Frontieres.org,solidarité internationale,,
10714,Ameli.fr,établissements publics,,
10717,Doctissimo.fr,santé,,
11187,Afb.fr,économie,,
11262,U-Paris2.fr,établissements publics,,
11291,Airbus.com,ingénierie,,
11313,Csa.fr,autorités indépendantes,,
11440,Filmfestivals.com,filières du cinéma et de l'audiovisuel,,
11554,Lesannuaires.com,presse,,
11590,Ac-Reims.fr,demandes externes,,
11667,U-Cergy.fr,établissements publics,,
11738,Univ-Nc.nc,établissements publics,,
11928,Perce-Neige.org,solidarité locale et nationale,,
12011,Caf.fr,établissements publics,,
12084,Atd-Quartmonde.org,demandes externes,,
12090,Ac-Noumea.nc,demandes externes,,
12126,Caissedesdepots.fr,établissements publics,,
12270,Napoleon.org,histoire,,
12283,Force-Ouvriere.fr,science politique,TOUS,
12286,Cfdt.fr,"Associations, syndicats et autres organisations",,
12297,Parti-Socialiste.fr,Formations politiques,JOSPIN Lionel,
12298,Cgt.fr,science politique,,
12354,Mlp.fr,périodiques,,
12441,Reims.cci.fr,chambres de commerce,,
12610,Ac-Bordeaux.fr,demandes externes,,
12636,Iut-Lannion.fr,presse,,
12652,Unilat.org,histoire,,
12658,U-Grenoble3.fr,établissements publics,,
12692,Obs-Nancay.fr,astronomie,,
12693,Snes.edu,filières du cinéma et de l'audiovisuel,,
12734,Infogreffe.fr,décentralisation administrative,,
12930,Taize.fr,religions et spiritualité,,
13173,Remy-Cointreau.com,ingénierie,,
13231,Ubisoft.com,filières du multimédia,,
13331,Cr-Mip.fr,Sites officiels et institutionnels,,
13384,Cncpi.fr,économie,,
13403,Cdmail.fr,sites à thème musique et son,,
13418,Cg29.fr,administration territoriale,,
13429,Ac-Reunion.fr,demandes externes,,
13431,Laprovence.com,presse locale,,
13471,Cg19.fr,administration territoriale,,
13480,Nancy.fr,administration territoriale,,
13495,Erasme.org,filières du multimédia,,
13277,Certu.fr,établissements publics,,
13286,Cg93.fr,administration territoriale,,
13615,Place-Publique.fr,,,
13654,Mosarca.com,périodiques,,
13698,Loubavitch.fr,religions non chrétiennes,,
13852,Efl.fr,droit,,
13768,Emploi.org,économie,,
13946,Textile.fr,économie,,
13819,Elunet.org,Sites officiels et institutionnels,,Autre
14243,Absynthe.net,cinéma et audiovisuel,,
14246,Cg24.fr,administration territoriale,,
14443,Biotribune.com,sciences de la vie,,
14499,Teleimages.com,filières du cinéma et de l'audiovisuel,,
14591,Cfpj.com,presse,,
14604,Ecrannoir.fr,cinéma et audiovisuel,,
14650,Cg13.fr,administration territoriale,,
14664,Samizdat.net,presse,,
14707,Haute-Savoie.cci.fr,chambres de commerce,,
14737,Academie-Medecine.fr,santé,,
14744,Lesucre.com,ingénierie,,
14773,Univ-Avignon.fr,établissements publics,,
14774,April.org,informatique,,
14839,Ceolas.org,sites à thème musique et son,,
14952,Lesinrocks.com,presse nationale,,
14955,Cinefil.com,cinéma et audiovisuel,,
14956,Feteducinema.com,filières du cinéma et de l'audiovisuel,,
15130,Eaurmc.fr,sciences de la terre,,
15184,Cg59.fr,administration territoriale,,
15249,Univ-Reunion.fr,établissements publics,,
15253,Ouest-France.fr,presse locale,,
15256,Courrierinternational.com,presse,,
15312,Sidaction.org,solidarité locale et nationale,,
15405,Olympiades-De-Chimie.org,chimie,,
15414,Mathkang.org,mathématiques,,
15455,Aide-Et-Action.org,solidarité internationale,,
15536,Luc-Besson.com,sites à thème cinéma et audiovisuel,,
15560,Rprparis.org,Formations politiques,divers,
15561,Politique-Opinion.com,Analyses et observatoires,TOUS,
15564,Upian.com,filières du cinéma et de l'audiovisuel,,
15575,Annales.org,administration centrale,,
15576,Revues.org,culture technologique,,
15585,Orange.com,ingénierie,,
