Segment;Name;Regex
Domain;perso.neuf.fr;^(.+)\.perso\.neuf\.fr$
Domain;revues.org;^(.+)\.revues\.org$
Domain;simplesite.com;^(.+)\.simplesite\.com$
Domain;skyrock.com;(.+)\.skyrock\.com$
Domain;squarespace.com;^(.+)\.squarespace\.com$
Domain;srwebworks.com;^(.+)\.srwebworks\.com$
Domain;tempslibres.org;^(.+)\.tempslibres\.org$
Domain;togocultures.com;^(.+)\.togocultures\.com$
Domain;toile-libre.org;^(.+)\.toile-libre\.org$
Domain;unblog.fr;^(.+)\.unblog\.fr$
Domain;voila.net;^(.+)\.voila\.net$
Domain;web.officelive.com;^(.+)\.web\.officelive\.com$
Domain;webobjet.com;^(.+)\.webobjet\.com$
Domain;weebly.com;(.+)\.weebly\.com$
Domain;wifeo.com;^(.+)\.wifeo\.com$
Domain;wixsite.com;(.+)\.wixsite\.com$
Domain;xanga.com;^(.+)\.xanga\.com$
Domain;zeblog.com;(.+)\.zeblog\.com$
