URL	Type d'acteur	Santé	Présence dans les archives du web du 31 janvier 2020 au 31 juillet 2020	Présence dans les archives du web en 2021	Crawl lancé ou pas dans les archives du web 2020	Crawl lancé ou pas dans les archives du web 2021	Crawl lancé ou pas sur le web vivant 2022	Notes
https://popsciences.universite-lyon.fr/ressources/covid-19-des-enquetes-en-cours-sur-les-effets-du-confinement/	Institutionnel		TRUE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://solidarites-sante.gouv.fr/soins-et-maladies/maladies/maladies-infectieuses/coronavirus	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://solidarites-sante.gouv.fr/soins-et-maladies/maladies/maladies-infectieuses/coronavirus/article/points-de-situation-coronavirus-covid-19	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://solidarites-sante.gouv.fr/actualites/presse/dossiers-de-presse/	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://solidarites-sante.gouv.fr/soins-et-maladies/maladies/maladies-infectieuses/coronavirus/covid-19-informations-aux-professionnels-de-sante/article/covid-19-prise-en-charge-en-ambulatoire	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://solidarites-sante.gouv.fr/img/pdf/covid-19_consignes_services_psychiatrie.pdf	Institutionnel	Santé	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://solidarites-sante.gouv.fr/actualites/presse/	Institutionnel	Santé	TRUE	TRUE	Crawlé	Crawlé	Crawlé	
https://solidarites-sante.gouv.fr/img/pdf/guide_methodologique_covid-19-2.pdf	Institutionnel	Santé	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://solidarites-sante.gouv.fr/img/pdf/point-de-vigilance-20-avril-2021.pdf	Institutionnel	Santé	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
https://www.academie-sciences.fr/fr/rapports-ouvrages-avis-et-recommandations-de-l-academie/questions-scientifiques-sur-la-maladie-a-coronavirus-covid-19.html	Institutionnel	Science, Santé	FALSE	FALSE	Crawlé	Pas crawlé	Crawlé	
