NAME	PREFIXES AS URL	STATUS
10.1084	http://10.1084 http://www.10.1084 https://10.1084 https://www.10.1084	OUT
10.15252	http://10.15252 http://www.10.15252 https://10.15252 https://www.10.15252	OUT
194.214.230.203	http://194.214.230.203 https://194.214.230.203	OUT
20Minutes.fr	http://20minutes.fr http://www.20minutes.fr https://20minutes.fr https://www.20minutes.fr	UNDECIDED
academic.Oup.com	http://academic.oup.com http://www.academic.oup.com https://academic.oup.com https://www.academic.oup.com	UNDECIDED
Acce-O.fr	http://acce-o.fr http://www.acce-o.fr https://acce-o.fr https://www.acce-o.fr	UNDECIDED
Accueil-Etrangers.gouv.fr	http://accueil-etrangers.gouv.fr http://www.accueil-etrangers.gouv.fr https://accueil-etrangers.gouv.fr https://www.accueil-etrangers.gouv.fr	UNDECIDED
Ac-Dijon.fr	http://ac-dijon.fr http://www.ac-dijon.fr https://ac-dijon.fr https://www.ac-dijon.fr	UNDECIDED
Adobe.com	http://adobe.com http://www.adobe.com https://adobe.com https://www.adobe.com	OUT
Afnor.org	http://afnor.org http://www.afnor.org https://afnor.org https://www.afnor.org	UNDECIDED
Agefiph.fr	http://agefiph.fr http://www.agefiph.fr https://agefiph.fr https://www.agefiph.fr	UNDECIDED
Agence-Biomedecine.fr	http://agence-biomedecine.fr http://www.agence-biomedecine.fr https://agence-biomedecine.fr https://www.agence-biomedecine.fr	UNDECIDED
Agence-Nationale-Recherche.fr	http://agence-nationale-recherche.fr http://www.agence-nationale-recherche.fr https://agence-nationale-recherche.fr https://www.agence-nationale-recherche.fr	UNDECIDED
Amazon.fr	http://amazon.fr http://www.amazon.fr https://amazon.fr https://www.amazon.fr	OUT
Amcsti.fr	http://amcsti.fr http://www.amcsti.fr https://amcsti.fr https://www.amcsti.fr	UNDECIDED
Anr.fr	http://anr.fr http://www.anr.fr https://anr.fr https://www.anr.fr	UNDECIDED
Anses.fr	http://anses.fr http://www.anses.fr https://anses.fr https://www.anses.fr	UNDECIDED
Ants.gouv.fr	http://ants.gouv.fr http://www.ants.gouv.fr https://ants.gouv.fr https://www.ants.gouv.fr	OUT
Apple.com	http://apple.com http://www.apple.com https://apple.com https://www.apple.com	OUT
apps.Apple.com	http://apps.apple.com http://www.apps.apple.com https://apps.apple.com https://www.apps.apple.com	OUT
Arcgis.com	http://arcgis.com http://www.arcgis.com https://arcgis.com https://www.arcgis.com	OUT
Archives-Ouvertes.fr	http://archives-ouvertes.fr http://www.archives-ouvertes.fr https://archives-ouvertes.fr https://www.archives-ouvertes.fr	UNDECIDED
Arte.tv	http://arte.tv http://www.arte.tv https://arte.tv https://www.arte.tv	UNDECIDED
Asm.org	http://asm.org http://www.asm.org https://asm.org https://www.asm.org	UNDECIDED
Asp-Public.fr	http://asp-public.fr http://www.asp-public.fr https://asp-public.fr https://www.asp-public.fr	UNDECIDED
Assemblee-Nationale.fr	http://assemblee-nationale.fr http://www.assemblee-nationale.fr https://assemblee-nationale.fr https://www.assemblee-nationale.fr	UNDECIDED
Asso-Sps.fr	http://asso-sps.fr http://www.asso-sps.fr https://asso-sps.fr https://www.asso-sps.fr	UNDECIDED
Ate.info	http://ate.info http://www.ate.info https://ate.info https://www.ate.info	OUT
Aviesan.fr	http://aviesan.fr http://www.aviesan.fr https://aviesan.fr https://www.aviesan.fr	UNDECIDED
Bbc.com	http://bbc.com http://www.bbc.com https://bbc.com https://www.bbc.com	UNDECIDED
Bercy.gouv.fr	http://bercy.gouv.fr http://www.bercy.gouv.fr https://bercy.gouv.fr https://www.bercy.gouv.fr	UNDECIDED
Bfmtv.com	http://bfmtv.com http://www.bfmtv.com https://bfmtv.com https://www.bfmtv.com	UNDECIDED
Biomedcentral.com	http://biomedcentral.com http://www.biomedcentral.com https://biomedcentral.com https://www.biomedcentral.com	UNDECIDED
Biorxiv.org	http://biorxiv.org http://www.biorxiv.org https://biorxiv.org https://www.biorxiv.org	UNDECIDED
Bit.ly	http://bit.ly http://www.bit.ly https://bit.ly https://www.bit.ly	OUT
Bmj.com	http://bmj.com http://www.bmj.com https://bmj.com https://www.bmj.com	UNDECIDED
Bnf.fr	http://bnf.fr http://www.bnf.fr https://bnf.fr https://www.bnf.fr	UNDECIDED
books.Google.fr	http://books.google.fr http://www.books.google.fr https://books.google.fr https://www.books.google.fr	OUT
Bourgognefranchecomte.fr	http://bourgognefranchecomte.fr http://www.bourgognefranchecomte.fr https://bourgognefranchecomte.fr https://www.bourgognefranchecomte.fr	UNDECIDED
Bpifrance.fr	http://bpifrance.fr http://www.bpifrance.fr https://bpifrance.fr https://www.bpifrance.fr	UNDECIDED
Browsehappy.com	http://browsehappy.com http://www.browsehappy.com https://browsehappy.com https://www.browsehappy.com	OUT
Budget.gouv.fr	http://budget.gouv.fr http://www.budget.gouv.fr https://budget.gouv.fr https://www.budget.gouv.fr	UNDECIDED
Cairn.info	http://cairn.info http://www.cairn.info https://cairn.info https://www.cairn.info	OUT
Calameo.com	http://calameo.com http://www.calameo.com https://calameo.com https://www.calameo.com	OUT
Campusfrance.org	http://campusfrance.org http://www.campusfrance.org https://campusfrance.org https://www.campusfrance.org	UNDECIDED
Cdc.gov	http://cdc.gov http://www.cdc.gov https://cdc.gov https://www.cdc.gov	UNDECIDED
Cell.com	http://cell.com http://www.cell.com https://cell.com https://www.cell.com	UNDECIDED
Centres-Antipoison.net	http://centres-antipoison.net http://www.centres-antipoison.net https://centres-antipoison.net https://www.centres-antipoison.net	UNDECIDED
Cern.ch	http://cern.ch http://www.cern.ch https://cern.ch https://www.cern.ch	UNDECIDED
Cirad.fr	http://cirad.fr http://www.cirad.fr https://cirad.fr https://www.cirad.fr	UNDECIDED
Circulaires.gouv.fr	http://circulaires.gouv.fr http://www.circulaires.gouv.fr https://circulaires.gouv.fr https://www.circulaires.gouv.fr	UNDECIDED
Cite-Sciences.fr	http://cite-sciences.fr http://www.cite-sciences.fr https://cite-sciences.fr https://www.cite-sciences.fr	UNDECIDED
Clinicaltrials.gov	http://clinicaltrials.gov http://www.clinicaltrials.gov https://clinicaltrials.gov https://www.clinicaltrials.gov	UNDECIDED
Cnam.fr	http://cnam.fr http://www.cnam.fr https://cnam.fr https://www.cnam.fr	UNDECIDED
Cnes.fr	http://cnes.fr http://www.cnes.fr https://cnes.fr https://www.cnes.fr	UNDECIDED
Cnil.fr	http://cnil.fr http://www.cnil.fr https://cnil.fr https://www.cnil.fr	OUT
Cnsa.fr	http://cnsa.fr http://www.cnsa.fr https://cnsa.fr https://www.cnsa.fr	UNDECIDED
Cofrac.fr	http://cofrac.fr http://www.cofrac.fr https://cofrac.fr https://www.cofrac.fr	UNDECIDED
commons.Wikimedia.org	http://commons.wikimedia.org http://www.commons.wikimedia.org https://commons.wikimedia.org https://www.commons.wikimedia.org	OUT
Conseil-Etat.fr	http://conseil-etat.fr http://www.conseil-etat.fr https://conseil-etat.fr https://www.conseil-etat.fr	UNDECIDED
Conseil-National.medecin.fr	http://conseil-national.medecin.fr http://www.conseil-national.medecin.fr https://conseil-national.medecin.fr https://www.conseil-national.medecin.fr	UNDECIDED
Covid19Dataportal.org	http://covid19dataportal.org http://www.covid19dataportal.org https://covid19dataportal.org https://www.covid19dataportal.org	UNDECIDED
Covid-Nma.com	http://covid-nma.com http://www.covid-nma.com https://covid-nma.com https://www.covid-nma.com	UNDECIDED
Creativecommons.org	http://creativecommons.org http://www.creativecommons.org https://creativecommons.org https://www.creativecommons.org	OUT
Curie.fr	http://curie.fr http://www.curie.fr https://curie.fr https://www.curie.fr	UNDECIDED
Dailymotion.com	http://dailymotion.com http://www.dailymotion.com https://dailymotion.com https://www.dailymotion.com	OUT
Defenseurdesdroits.fr	http://defenseurdesdroits.fr http://www.defenseurdesdroits.fr https://defenseurdesdroits.fr https://www.defenseurdesdroits.fr	UNDECIDED
Developpement-Durable.gouv.fr	http://developpement-durable.gouv.fr http://www.developpement-durable.gouv.fr https://developpement-durable.gouv.fr https://www.developpement-durable.gouv.fr	UNDECIDED
Diplomatie.gouv.fr	http://diplomatie.gouv.fr http://www.diplomatie.gouv.fr https://diplomatie.gouv.fr https://www.diplomatie.gouv.fr	UNDECIDED
