"ID","NAME","STATUS","PREFIXES AS URL","PREFIXES AS LRU","HOME PAGE","START PAGES","CRAWLED","CRAWLING STATUS","INDEXING STATUS","INDEGREE","OUTDEGREE","NEIGHBOORS COUNT","TOTAL KNOWN PAGES","CRAWLED PAGES","CREATION TIMESTAMP","CREATION DATE","LAST MODIFICATION TIMESTAMP","LAST MODIFICATION DATE","Crawl Source (TAGS)","forme éditoriale (TAGS)","acteur (TAGS)","mergedWebEntities (TECHNICAL INFO)","recrawlNeeded (TECHNICAL INFO)"
"12","Frontdegauche.eu","IN","http://frontdegauche.eu http://www.frontdegauche.eu https://frontdegauche.eu https://www.frontdegauche.eu","s:https|h:eu|h:frontdegauche| s:https|h:eu|h:frontdegauche|h:www| s:http|h:eu|h:frontdegauche| s:http|h:eu|h:frontdegauche|h:www|","http://www.frontdegauche.eu","http://frontdegauche.eu http://www.frontdegauche.eu http://www.frontdegauche.eu/index.php?option=com_content&view=article&id=459%3Ahenri-pena-ruiz--l-la-laicite-ne-peut-se-dissocier-de-la-justice-sociale-r&catid=98%3Ails-soutiennent-le-front-de-gauche&Itemid=115 http://www.frontdegauche.eu/index.php?option=com_content&view=article&id=543&catid=543&Itemid=69 http://www.frontdegauche.eu/index.php?option=com_content&view=category&layout=blog&id=39&Itemid=41 http://www.frontdegauche.eu/index.php?option=com_content&view=section&layout=blog&id=15&Itemid=2 http://www.frontdegauche.eu/index.php?option=com_petitions&view=petition&id=84&Itemid=48 https://frontdegauche.eu https://www.frontdegauche.eu","true","FINISHED","FINISHED","7","0","7","24","2","1649154147392","2022-04-05T10:22:27.392Z","1649170501828","2022-04-05T14:55:01.828Z","archivesinternet.bnf.fr","site","formation politique","",""
"17","Lafederation.org","IN","http://lafederation.org http://www.lafederation.org https://lafederation.org https://www.lafederation.org","s:https|h:org|h:lafederation| s:https|h:org|h:lafederation|h:www| s:http|h:org|h:lafederation| s:http|h:org|h:lafederation|h:www|","http://www.lafederation.org/refuser-la-confusion-et-la-xenophobie","http://lafederation.org http://www.lafederation.org https://lafederation.org https://www.lafederation.org","true","FINISHED","FINISHED","4","167","168","4034","2934","1649154147392","2022-04-05T10:22:27.392Z","1649170851334","2022-04-05T15:00:51.334Z","archivesinternet.bnf.fr","site","formation politique","",""
"18","Pcf.fr","IN","http://pcf.fr http://www.pcf.fr https://pcf.fr https://www.pcf.fr","s:https|h:fr|h:pcf| s:https|h:fr|h:pcf|h:www| s:http|h:fr|h:pcf| s:http|h:fr|h:pcf|h:www|","http://www.pcf.fr","http://pcf.fr http://www.pcf.fr http://www.pcf.fr/18541 http://www.pcf.fr/spip.php?article3907 https://pcf.fr https://www.pcf.fr","false","CANCELED","FINISHED","20","510","517","128385","15147","1649154147392","2022-04-05T10:22:27.392Z","1649239912675","2022-04-06T10:11:52.675Z","archivesinternet.bnf.fr","site","formation politique","",""
"27","Placeaupeuple2012.fr","IN","http://placeaupeuple2012.fr http://www.placeaupeuple2012.fr https://placeaupeuple2012.fr https://www.placeaupeuple2012.fr","s:https|h:fr|h:placeaupeuple2012| s:https|h:fr|h:placeaupeuple2012|h:www| s:http|h:fr|h:placeaupeuple2012| s:http|h:fr|h:placeaupeuple2012|h:www|","http://www.placeaupeuple2012.fr","http://placeaupeuple2012.fr http://www.placeaupeuple2012.fr http://www.placeaupeuple2012.fr/20336/ http://www.placeaupeuple2012.fr/lorganisation-femmes-egalite-nouvelle-venue-au-front-de-gauche/ http://www.placeaupeuple2012.fr/mobilisons-nous-contre-le-traite-austeritaire/ https://placeaupeuple2012.fr https://www.placeaupeuple2012.fr","true","FINISHED","FINISHED","8","7","15","492","76","1649154147392","2022-04-05T10:22:27.392Z","1649170299759","2022-04-05T14:51:39.759Z","archivesinternet.bnf.fr","site","campagne","",""
"28","Placeaupeuple.fr","IN","http://placeaupeuple.fr http://www.placeaupeuple.fr https://placeaupeuple.fr https://www.placeaupeuple.fr","s:https|h:fr|h:placeaupeuple| s:https|h:fr|h:placeaupeuple|h:www| s:http|h:fr|h:placeaupeuple| s:http|h:fr|h:placeaupeuple|h:www|","http://www.placeaupeuple.fr","http://placeaupeuple.fr http://www.placeaupeuple.fr https://placeaupeuple.fr https://www.placeaupeuple.fr","true","FINISHED","FINISHED","6","94","96","1351","615","1649154147392","2022-04-05T10:22:27.392Z","1649170299758","2022-04-05T14:51:39.758Z","archivesinternet.bnf.fr","site","campagne","",""
"31","Frontdegauche-Europe.fr","IN","http://frontdegauche-europe.fr http://www.frontdegauche-europe.fr https://frontdegauche-europe.fr https://www.frontdegauche-europe.fr","s:https|h:fr|h:frontdegauche-europe| s:https|h:fr|h:frontdegauche-europe|h:www| s:http|h:fr|h:frontdegauche-europe| s:http|h:fr|h:frontdegauche-europe|h:www|","http://nord.frontdegauche-europe.fr","http://frontdegauche-europe.fr http://www.frontdegauche-europe.fr https://frontdegauche-europe.fr https://www.frontdegauche-europe.fr","true","FINISHED","FINISHED","3","3","6","5","2","1649154147392","2022-04-05T10:22:27.392Z","1649170501827","2022-04-05T14:55:01.827Z","archivesinternet.bnf.fr","site","formation politique","",""
"47","Lepartidegauche.fr","IN","http://lepartidegauche.fr http://www.lepartidegauche.fr https://lepartidegauche.fr https://www.lepartidegauche.fr","s:https|h:fr|h:lepartidegauche| s:https|h:fr|h:lepartidegauche|h:www| s:http|h:fr|h:lepartidegauche| s:http|h:fr|h:lepartidegauche|h:www|","http://www.lepartidegauche.fr","http://lepartidegauche.fr http://www.lepartidegauche.fr http://www.lepartidegauche.fr/?option=com_content&view=article&id=127%3Aune-rencontre-dynamisante-et-stimulante&catid=42%3Aeditoriaux&Itemid=90 http://www.lepartidegauche.fr/?option=com_content&view=article&id=528%3Aa-propos-des-decisions-du-npa-et-de-larrivee-de-qgauche-unitaireq-dans-le-front-de-gauche&catid=58%3Aactualites&Itemid=116 http://www.lepartidegauche.fr/index.php?option=com_content&view=article&id=127%3Aune-rencontre-dynamisante-et-stimulante&catid=42%3Aeditoriaux&Itemid=90 http://www.lepartidegauche.fr/index.php?option=com_content&view=article&id=528%3Aa-propos-des-decisions-du-npa-et-de-larrivee-de-qgauche-unitaireq-dans-le-front-de-gauche&catid=58%3Aactualites&Itemid=116 http://www.lepartidegauche.fr/les-elus-du-pg https://lepartidegauche.fr https://www.lepartidegauche.fr","true","FINISHED","FINISHED","19","58","74","647","384","1649154147392","2022-04-05T10:22:27.392Z","1649170501835","2022-04-05T14:55:01.835Z","archivesinternet.bnf.fr","site","formation politique","",""
"53","Gauche-Unitaire.fr","IN","http://gauche-unitaire.fr http://www.gauche-unitaire.fr https://gauche-unitaire.fr https://www.gauche-unitaire.fr","s:https|h:fr|h:gauche-unitaire| s:https|h:fr|h:gauche-unitaire|h:www| s:http|h:fr|h:gauche-unitaire| s:http|h:fr|h:gauche-unitaire|h:www|","http://gauche-unitaire.fr","http://gauche-unitaire.fr http://www.gauche-unitaire.fr http://www.gauche-unitaire.fr/zoom/ https://gauche-unitaire.fr https://www.gauche-unitaire.fr","true","FINISHED","FINISHED","5","0","5","5","3","1649154147393","2022-04-05T10:22:27.393Z","1649170501832","2022-04-05T14:55:01.832Z","archivesinternet.bnf.fr","site","formation politique","",""
"61","Convergencesetalternative.blogspot.fr","IN","http://convergencesetalternative.blogspot.fr http://www.convergencesetalternative.blogspot.fr https://convergencesetalternative.blogspot.fr https://www.convergencesetalternative.blogspot.fr","s:https|h:blogspot.fr|h:convergencesetalternative| s:https|h:blogspot.fr|h:convergencesetalternative|h:www| s:http|h:blogspot.fr|h:convergencesetalternative| s:http|h:blogspot.fr|h:convergencesetalternative|h:www|","http://convergencesetalternative.blogspot.fr","http://convergencesetalternative.blogspot.fr http://www.convergencesetalternative.blogspot.fr https://convergencesetalternative.blogspot.fr https://www.convergencesetalternative.blogspot.fr","true","FINISHED","FINISHED","1","92","92","503","323","1649154147393","2022-04-05T10:22:27.393Z","1649170559126","2022-04-05T14:55:59.126Z","archivesinternet.bnf.fr","blog","formation politique","",""
"62","Eurocitoyenne.fr","IN","http://eurocitoyenne.fr http://www.eurocitoyenne.fr https://eurocitoyenne.fr https://www.eurocitoyenne.fr","s:https|h:fr|h:eurocitoyenne| s:https|h:fr|h:eurocitoyenne|h:www| s:http|h:fr|h:eurocitoyenne| s:http|h:fr|h:eurocitoyenne|h:www|","http://www.eurocitoyenne.fr","http://eurocitoyenne.fr http://www.eurocitoyenne.fr https://eurocitoyenne.fr https://www.eurocitoyenne.fr","true","FINISHED","FINISHED","5","124","126","6160","5946","1649154147393","2022-04-05T10:22:27.393Z","1649170434526","2022-04-05T14:53:54.526Z","archivesinternet.bnf.fr","site","professionnel de la politique","",""
